,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,4074.501184811007,-3850.9097403095866,1183.1355923091637,418.4478696129663,801.1119444770122,1402.437855704919,-617.152397791059,-1512.029992582149,166.0549168083449,298.8579497420448,13.217679529319904,20.708305873706287,-0.09772708668627716,-14.737918977944581,35.480584309253565,172.33568273080152,136.05480932808183,239.75471021171157,397.35604358353993,-0.5680082115040382,722.4644103006542,994.9402909934847,-0.0069382725709933235,0.05494458423453103,34.2221562809058,44.40767483372373,72.94994168802019,51.34589810699099,48.38389914467668,11.93629633797544,57.65794260118715,37.01076947146123,0.025644356090902102,94.42559529023792
qN,-3850.9097403095866,3814.9527036798454,-941.0216537924243,-347.2405708888529,-913.1764773810434,-1406.6482727060773,598.377042460189,1397.292976751098,-125.17048752272015,-242.38060450787228,-10.682778557336018,-88.30300178230169,-5.893396195714153,-73.07692730705521,63.43147807889173,-256.1605922433078,-195.7028335525296,-354.47082436670377,-592.6660440740576,0.8379480517328859,-150.51164916374734,-1044.1190389507021,0.0071765719506756975,-0.041012578135927215,-26.811585156826357,-39.74429389999203,-66.48246003253412,-118.36469656893874,-122.92923801981547,-9.09465342426401,-54.73308887806808,-81.93354283679906,-0.020322846223961858,-75.09938466919036
betaG0,1183.1355923091637,-941.0216537924243,6013.258386866295,1717.6762896020955,-3728.622353860711,-1388.6690337625114,-90.21713481358276,-981.5281691404433,1278.7266906979291,-473.6172996040119,-21.841403032998073,-9.081258255794458,0.26414964341255087,10.514194644797568,-22.129784360573368,-47.327719472410806,-54.732305822937505,-90.40102956760617,-122.578940650371,0.13797190145964772,65.29038983475967,-197.25268094502917,0.0011262085508448314,0.016895564772496083,8.631295881009535,-6.223532680988831,-7.437178849083473,-2.8411771977884133,-26.473491115399327,6.838185928664556,16.764581750372912,47.526419090576866,0.0061817926841226615,22.394090025906564
betaF0,418.4478696129663,-347.2405708888529,1717.6762896020955,520.5758308583404,-978.342122159293,-482.8102939075447,-7.347529616931606,-355.6403313627659,401.61520506049044,-44.92787356405405,-2.0846171743014374,-0.6117438272260971,0.22949478843607884,5.313859940567092,-9.042181407740776,-13.693049368902704,-12.792660434656863,-22.151004901871385,-32.061887027537686,0.04640886872458265,-2.006243227832779,-61.56076575238596,0.0003506540701404878,0.005518680599487126,2.7663128888983204,0.5100455581952237,1.6287221235714995,3.363734001673667,-3.3498842704415748,2.417573345373998,7.042463752284478,16.65399035727808,0.001970461896871742,7.1253581443162295
qEG,801.1119444770122,-913.1764773810434,-3728.622353860711,-978.342122159293,6529.9422008026595,1590.5905229920672,-182.80114926636318,-256.1301374028511,-909.6381885662238,-2077.421911545568,-100.34446049377881,43.44984068817894,2.173480825389812,26.185470733618367,-20.83367354379063,39.608950975468574,116.88736641850033,148.83612904435228,157.54474010111176,-0.019757661517460914,-73.57153305657073,253.62272793967347,-0.0016288299135424162,0.007602490092331322,5.3390056415907585,54.35423768584555,83.63543613244244,61.69874003903416,85.17081908709719,-0.40335936713589027,41.92023071028852,-12.320848594494816,0.004058845591533303,15.057343295310655
qEF,1402.437855704919,-1406.6482727060773,-1388.6690337625114,-482.8102939075447,1590.5905229920672,3285.061935643178,-948.8210427677849,-819.5756576100623,-292.35762911734486,-166.5123321053867,-8.0810085146098,30.841760428226394,1.3969502089703212,18.481579238192374,-17.58570908362526,-16.3501928292275,87.43032527632829,79.00484397935998,30.190678921677865,0.16240029976884263,175.88071473278126,161.0264165158014,-0.0010725626932439542,0.01124816782668091,7.069979289081098,47.22435714949215,73.94991983446866,80.73689432091027,80.69092667392,1.9505842695957927,41.894215163988555,54.51884325997108,0.005288496630192408,19.483351880536944
iG,-617.152397791059,598.377042460189,-90.21713481358276,-7.347529616931606,-182.80114926636318,-948.8210427677849,325.8448131183616,390.63964024442487,-29.019082844059003,20.250168201239816,0.9984171154827736,-13.639744207297268,-0.8164805170450669,-11.751324781431103,12.881061821157067,3.305250092258892,-29.829866680538217,-26.943369901741907,-14.220172282204238,-0.04653766810601627,-19.766519637054472,-38.57062622944679,0.0002788446436335255,-0.0057514142166683185,-3.3310608571767273,-19.319116855024454,-30.35305516340003,-33.216112427324624,-29.674499396427127,-1.4428766120418244,-19.00854836006236,-29.46780731095979,-0.0024462468188667106,-8.957156476093745
iE,-1512.029992582149,1397.292976751098,-981.5281691404433,-355.6403313627659,-256.1301374028511,-819.5756576100623,390.63964024442487,1047.8405988373083,-270.00515909237515,-237.74046716985978,-10.771542614278331,-7.522112150978867,-0.29227324184609027,-5.595042908518064,8.359140530924346,41.61818001472868,-25.76146950830328,-6.644237461525471,49.96235784951669,-0.2158947518672373,-178.463456863874,-12.042500292464027,0.00014615416787044843,-0.015424045917566073,-8.68188914524806,-22.639960117267194,-38.10989793811111,-34.06921254301341,-33.39499989921599,-5.116375166825894,-34.28594455524978,-24.906860648003793,-0.006366357483311154,-23.26323082204278
Kd0,166.0549168083449,-125.17048752272015,1278.7266906979291,401.61520506049044,-909.6381885662238,-292.35762911734486,-29.019082844059003,-270.00515909237515,538.1793118936713,-11.328342288479165,-0.5537954686998804,-0.9590413431701625,0.2145003737556681,6.060673885532596,-11.280902648434722,-36.595433150186764,-18.93354333717572,-43.69104739855954,-78.66924700111767,0.13074437015042467,-3.9496520400440573,-143.2746823715304,0.0008430139629760025,-8.765121169122355e-27,3.4876761778751e-44,-5.259072701473413e-27,8.765121169122355e-28,-0.6895142249922123,-0.734290970282582,-1.753024233824471e-27,1.753024233824471e-27,-0.7465471095367862,-8.765121169122355e-28,8.765121169122355e-28
gammaG0,298.8579497420448,-242.38060450787228,-473.6172996040119,-44.92787356405405,-2077.421911545568,-166.5123321053867,20.250168201239816,-237.74046716985978,-11.328342288479165,3037.9085446738513,143.7147953419643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,13.217679529319904,-10.682778557336018,-21.841403032998073,-2.0846171743014374,-100.34446049377881,-8.0810085146098,0.9984171154827736,-10.771542614278331,-0.5537954686998804,143.7147953419643,6.825120926224486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,20.708305873706287,-88.30300178230169,-9.081258255794458,-0.6117438272260971,43.44984068817894,30.841760428226394,-13.639744207297268,-7.522112150978867,-0.9590413431701625,0.0,0.0,94.49584425228895,8.341288302364669,122.39613063522498,-138.16486145892196,63.21583882953219,21.401343362004397,67.15205346344362,132.65979090004026,-0.22846233931182117,-371.53385093856957,33.64735053946746,-0.000213482383764235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
