,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,60412.74954301781,-44292.4607464912,6784.462629891825,2266.279458299868,14781.820460922467,22185.845353615052,-8676.150204103275,-23757.349321575326,-271.43337695892154,3884.3555792156476,154.75471198309313,40.350000517278644,-16.387479971869066,-288.11186882907265,639.4206861345542,1912.666594570552,909.542902047996,1775.516251008822,3346.169956257393,-7.842868735720655,1446.0808479418765,5791.985361009069,-0.05077258552250958,1.6888815814637748,548.647343176876,533.1798380165978,790.2452589079451,384.1090496461829,288.55251964637637,1110.6234762710192,432.81218057387946,183.33157172580272,0.8329250703733686,2937.752779889335
qN,-44292.4607464912,44895.780263268425,-807.1850927566021,-785.7838570467164,-16316.65613095559,-21145.25859927452,7816.714385401301,19736.86495673015,460.42292247248514,-2764.801739195437,-112.35323353038908,-2124.9969895269637,-85.88352754560286,-1510.4982682245145,1648.180108622057,-3687.14413997291,-2277.6632899892256,-3542.492057324671,-6756.915809856957,14.027134022945845,9524.812532381824,-6193.196782767319,0.05195667423201992,-0.7796441565417541,-324.78758519585665,-465.373754160531,-772.2299736627076,-1340.658112364851,-1057.5166814560018,-437.1648638347101,-407.20499547057204,-479.1639835630406,-0.5392462554041982,-1968.7658071765275
betaG0,6784.462629891825,-807.1850927566021,83385.87314120724,21888.351726830166,-63930.94246847621,-27313.685673819207,1762.9852716641858,-4930.551487976397,4975.45528238635,-4669.075791574859,-199.46520225911112,-355.7749022918783,-9.420045091314153,-170.64959277503237,141.98574377990613,-372.0759690899352,-502.80708963550063,-554.5891404878419,-922.5190496948587,0.8823518781504642,2565.7255643982908,-374.28381032490114,0.0003841368992330977,1.361088219718241,368.5375082147551,-167.57476683559292,-318.91952177208447,-235.06984902037362,-324.00378872242374,1976.575479619753,247.6957186248211,370.35971384795084,0.4166497579509356,1373.0804734130763
betaF0,2266.279458299868,-785.7838570467164,21888.351726830166,6075.4561982233245,-16472.643458929986,-7893.249918527275,586.1636063882103,-1847.1768055912787,1474.1950023376749,-462.77326012330633,-19.930334171105898,-51.22932846809925,-0.7005442831198564,-13.808140321818227,0.4010871067811377,-94.55149696273759,-86.3116893710939,-126.54794405990577,-201.07886074481377,0.3070234502795759,466.6409566362074,-125.315656392028,0.0002555116976291278,0.39582190549657326,109.4600300124635,-7.291878213941981,-32.46913090179933,1.0707704189284954,-49.47081862726155,576.5387504389508,101.94608376054828,157.50790417204385,0.12298494560100753,405.77884775234276
qEG,14781.820460922467,-16316.65613095559,-63930.94246847621,-16472.643458929986,91032.59715508304,30223.404131559706,-4573.073507010899,-9776.690527265604,-3535.9718903036514,-16215.654800963785,-766.3387059447078,1116.6898698721961,39.943418976326285,710.6416752318089,-784.7728282662797,671.6913705465421,1524.2089927371678,1155.3549131967327,2031.9383896455188,-0.6809192953904379,-4223.8422441544235,1443.7292081687397,-0.011590194735919015,-1.0860425351421297,-304.2036139829365,708.7584611493382,998.1966025666871,851.6082966522056,805.1033229684313,-1873.4124695158264,122.67172321987341,-181.21411752085365,-0.34979313965927217,-1161.8606453070015
qEF,22185.845353615052,-21145.25859927452,-27313.685673819207,-7893.249918527275,30223.404131559706,43887.38213836816,-12559.341187906211,-16899.580315523246,-1035.7821688390336,-1082.947284737145,-52.2030426851831,674.2922515578869,21.343901534846598,388.9379116936667,-417.07153295259025,98.49459529658236,1009.4412579657428,588.4148107565923,907.6867504957232,1.4344703792218805,-1425.665522664869,925.9092740023793,-0.007472549136788351,-0.1977273925595029,-47.96640314558425,527.0257959506675,792.3299881055008,704.8269163001988,582.7530342632498,-482.82470641479114,244.0108700240732,170.47724324292793,-0.05653315357770523,-183.7867509098609
iG,-8676.150204103275,7816.714385401301,1762.9852716641858,586.1636063882103,-4573.073507010899,-12559.341187906211,4373.042878742384,6537.42982921382,-121.3500571327317,138.4651483761945,6.7033735662106375,-318.3671577159954,-11.484515630582383,-206.29899175854538,237.7723615015268,-74.45951406411726,-432.290436650359,-228.7002808443165,-400.522901410322,-0.3615120539903379,679.9920492808379,-369.1598206101926,0.003419205120972651,-0.06442560349716148,-19.384843250285265,-235.30242679757532,-317.4523399402566,-317.65401205043935,-230.90664190864186,-23.324197541005717,-142.6481993123205,-145.41189503034428,-0.02054964451810677,-68.16190458099862
iE,-23757.349321575326,19736.86495673015,-4930.551487976397,-1847.1768055912787,-9776.690527265604,-16899.580315523246,6537.42982921382,18137.387893070227,-1110.6176041392584,-3007.7710717038367,-123.33253105208374,-343.75927268329144,-10.049554841710217,-190.14012919954817,205.41651321311332,110.8738217311983,-603.2737101702485,-240.94944133155826,-378.047580934261,-1.9138003396077459,82.3953032558112,-651.5267229534466,0.006796097589241663,-0.28442292975457273,-74.8028108999509,-370.56813347795907,-552.5424513385619,-442.22532675402226,-345.3842934128609,-194.17490018889504,-316.5059300711916,-172.71695161221965,-0.08246085255306654,-269.29065314543743
Kd0,-271.43337695892154,460.42292247248514,4975.45528238635,1474.1950023376749,-3535.9718903036514,-1035.7821688390336,-121.3500571327317,-1110.6176041392584,2048.08315114122,-69.85912989966923,-3.347379394542989,-10.105593389948014,0.9498824407237239,17.95159658514536,-43.693510260416986,-180.41047676203237,-75.78781737365755,-171.00407999154743,-307.85938422885687,0.7904736308302843,165.2310330069184,-456.2825847847994,0.0025721895831197447,-0.02831982537463826,-14.193923037367078,-0.45631513247827826,-1.3189268642208745,-4.199073645208535,-4.20923727207863,-13.127080051256545,-0.3952555803253505,-3.5133755057996283,-0.03518064750025806,-132.72099585449715
gammaG0,3884.3555792156476,-2764.801739195437,-4669.075791574859,-462.77326012330633,-16215.654800963785,-1082.947284737145,138.4651483761945,-3007.7710717038367,-69.85912989966923,26099.46868276964,1173.2243063745861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,154.75471198309313,-112.35323353038908,-199.46520225911112,-19.930334171105898,-766.3387059447078,-52.2030426851831,6.7033735662106375,-123.33253105208374,-3.347379394542989,1173.2243063745861,53.704877121464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,40.350000517278644,-2124.9969895269637,-355.7749022918783,-51.22932846809925,1116.6898698721961,674.2922515578869,-318.3671577159954,-343.75927268329144,-10.105593389948014,0.0,0.0,1921.0212364775225,90.96495245846204,1588.870504854102,-1992.0849660209067,967.707408445231,311.7657699684152,825.8414741466405,1611.949418726343,-4.066147835124962,-4888.730187727982,235.63941879404723,-0.0018744224837777283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-16.387479971869066,-85.88352754560286,-9.420045091314153,-0.7005442831198564,39.943418976326285,21.343901534846598,-11.484515630582383,-10.049554841710217,0.9498824407237239,0.0,0.0,90.96495245846204,6.954107762301577,116.31894882557737,-153.67023036843597,61.22406855133285,12.120569794056127,51.1100764942265,99.49124276008324,-0.26947824592205877,-307.9614612036802,9.963822196667277,-6.595801366438372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-288.11186882907265,-1510.4982682245145,-170.64959277503237,-13.808140321818227,710.6416752318089,388.9379116936667,-206.29899175854538,-190.14012919954817,17.95159658514536,0.0,0.0,1588.870504854102,116.31894882557737,1983.4628675884287,-2647.5387214140446,1053.4556831812379,212.7940208114314,854.7342049761387,1681.2924157082382,-4.6903858000609855,-5206.952837774281,165.56055695389216,-0.0011912132327825033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,639.4206861345542,1648.180108622057,141.98574377990613,0.4010871067811377,-784.7728282662797,-417.07153295259025,237.7723615015268,205.41651321311332,-43.693510260416986,0.0,0.0,-1992.0849660209067,-153.67023036843597,-2647.5387214140446,3723.533936634731,-1370.7385223357646,-236.46240790609912,-1029.9310505612457,-2058.480052620347,6.531398354329518,6470.420317500684,-156.17678089127176,0.0011130133167725337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,1912.666594570552,-3687.14413997291,-372.0759690899352,-94.55149696273759,671.6913705465421,98.49459529658236,-74.45951406411726,110.8738217311983,-180.41047676203237,0.0,0.0,967.707408445231,61.22406855133285,1053.4556831812379,-1370.7385223357646,3592.5234994627053,1122.5789829180424,3139.967509212249,6094.306169600163,-14.854099341453653,-18450.085680945,896.3692869895093,-0.006844375604425054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,909.542902047996,-2277.6632899892256,-502.80708963550063,-86.3116893710939,1524.2089927371678,1009.4412579657428,-432.290436650359,-603.2737101702485,-75.78781737365755,0.0,0.0,311.7657699684152,12.120569794056127,212.7940208114314,-236.46240790609912,1122.5789829180424,1616.4187696866666,1327.9325884320676,2537.5237125775247,-3.0682782584832333,-6657.98114574073,990.8607103366328,-0.009076886070413938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,1775.516251008822,-3542.492057324671,-554.5891404878419,-126.54794405990577,1155.3549131967327,588.4148107565923,-228.7002808443165,-240.94944133155826,-171.00407999154743,0.0,0.0,825.8414741466405,51.1100764942265,854.7342049761387,-1029.9310505612457,3139.967509212249,1327.9325884320676,3283.33687885385,5994.310160687527,-11.287279312856253,-17458.925689974007,1274.5836970823484,-0.009026326821222801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,3346.169956257393,-6756.915809856957,-922.5190496948587,-201.07886074481377,2031.9383896455188,907.6867504957232,-400.522901410322,-378.047580934261,-307.85938422885687,0.0,0.0,1611.949418726343,99.49124276008324,1681.2924157082382,-2058.480052620347,6094.306169600163,2537.5237125775247,5994.310160687527,11401.1010103052,-22.32585551900541,-33410.403237852224,2273.051070039609,-0.01724045423777736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-7.842868735720655,14.027134022945845,0.8823518781504642,0.3070234502795759,-0.6809192953904379,1.4344703792218805,-0.3615120539903379,-1.9138003396077459,0.7904736308302843,0.0,0.0,-4.066147835124962,-0.26947824592205877,-4.6903858000609855,6.531398354329518,-14.854099341453653,-3.0682782584832333,-11.287279312856253,-22.32585551900541,0.07188241838130412,69.57929361406906,-2.0786947908838025,1.52062055133658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1446.0808479418765,9524.812532381824,2565.7255643982908,466.6409566362074,-4223.8422441544235,-1425.665522664869,679.9920492808379,82.3953032558112,165.2310330069184,0.0,0.0,-4888.730187727982,-307.9614612036802,-5206.952837774281,6470.420317500684,-18450.085680945,-6657.98114574073,-17458.925689974007,-33410.403237852224,69.57929361406906,121589.88087275301,4654.646201489941,-0.0421176410019883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,5791.985361009069,-6193.196782767319,-374.28381032490114,-125.315656392028,1443.7292081687397,925.9092740023793,-369.1598206101926,-651.5267229534466,-456.2825847847994,0.0,0.0,235.63941879404723,9.963822196667277,165.56055695389216,-156.17678089127176,896.3692869895093,990.8607103366328,1274.5836970823484,2273.051070039609,-2.0786947908838025,4654.646201489941,6179.031985016853,-0.04644562625272632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.05077258552250958,0.05195667423201992,0.0003841368992330977,0.0002555116976291278,-0.011590194735919015,-0.007472549136788351,0.003419205120972651,0.006796097589241663,0.0025721895831197447,0.0,0.0,-0.0018744224837777283,-6.595801366438372e-05,-0.0011912132327825033,0.0011130133167725337,-0.006844375604425054,-0.009076886070413938,-0.009026326821222801,-0.01724045423777736,1.52062055133658e-05,-0.0421176410019883,-0.04644562625272632,5.319610881486115e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,1.6888815814637748,-0.7796441565417541,1.361088219718241,0.39582190549657326,-1.0860425351421297,-0.1977273925595029,-0.06442560349716148,-0.28442292975457273,-0.02831982537463826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001378216866647663,0.38394773858503034,0.0,0.0,0.0,0.0,1.1086279324275548,0.0,0.0,0.0004742994578452618,1.5903530040294158
k_EA_stationary,548.647343176876,-324.78758519585665,368.5375082147551,109.4600300124635,-304.2036139829365,-47.96640314558425,-19.384843250285265,-74.8028108999509,-14.193923037367078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38394773858503034,145.9007486291001,0.0,0.0,0.0,0.0,276.4002413591323,0.0,0.0,0.18516110229323401,653.993528931577
k_IAA_growth,533.1798380165978,-465.373754160531,-167.57476683559292,-7.291878213941981,708.7584611493382,527.0257959506675,-235.30242679757532,-370.56813347795907,-0.45631513247827826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.7358649205753,851.9973439746738,0.0,0.0,0.0,319.77900391158147,0.0,0.0,0.0
k_IAA_stationary,790.2452589079451,-772.2299736627076,-318.91952177208447,-32.46913090179933,998.1966025666871,792.3299881055008,-317.4523399402566,-552.5424513385619,-1.3189268642208745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.9973439746738,1644.9206484943913,0.0,0.0,0.0,396.7174170675044,0.0,0.0,0.0
k_EO_growth,384.1090496461829,-1340.658112364851,-235.06984902037362,1.0707704189284954,851.6082966522056,704.8269163001988,-317.65401205043935,-442.22532675402226,-4.199073645208535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.3709639970164,1076.338352733595,0.0,0.0,615.4961063873827,0.0,0.0
k_EO_stationary,288.55251964637637,-1057.5166814560018,-324.00378872242374,-49.47081862726155,805.1033229684313,582.7530342632498,-230.90664190864186,-345.3842934128609,-4.20923727207863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.338352733595,1245.6223133611725,0.0,0.0,82.81021471514012,0.0,0.0
alpha_EA_loss,1110.6234762710192,-437.1648638347101,1976.575479619753,576.5387504389508,-1873.4124695158264,-482.82470641479114,-23.324197541005717,-194.17490018889504,-13.127080051256545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1086279324275548,276.4002413591323,0.0,0.0,0.0,0.0,1647.6397460479348,0.0,0.0,0.31258683873106263,1014.0058149386643
alpha_IAA_loss,432.81218057387946,-407.20499547057204,247.6957186248211,101.94608376054828,122.67172321987341,244.0108700240732,-142.6481993123205,-316.5059300711916,-0.3952555803253505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.77900391158147,396.7174170675044,0.0,0.0,0.0,1088.0189022555558,0.0,0.0,0.0
alpha_EO_loss,183.33157172580272,-479.1639835630406,370.35971384795084,157.50790417204385,-181.21411752085365,170.47724324292793,-145.41189503034428,-172.71695161221965,-3.5133755057996283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.4961063873827,82.81021471514012,0.0,0.0,1670.819187230246,0.0,0.0
k_EA_XE,0.8329250703733686,-0.5392462554041982,0.4166497579509356,0.12298494560100753,-0.34979313965927217,-0.05653315357770523,-0.02054964451810677,-0.08246085255306654,-0.03518064750025806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004742994578452618,0.18516110229323401,0.0,0.0,0.0,0.0,0.31258683873106263,0.0,0.0,0.00028376567474976757,1.0203702912315493
k_EA_XE_Nlim,2937.752779889335,-1968.7658071765275,1373.0804734130763,405.77884775234276,-1161.8606453070015,-183.7867509098609,-68.16190458099862,-269.29065314543743,-132.72099585449715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903530040294158,653.993528931577,0.0,0.0,0.0,0.0,1014.0058149386643,0.0,0.0,1.0203702912315493,3701.882298060862
