,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,4092.818401988191,-3864.3380584428473,1191.3749729573133,423.60551363247544,792.6072771282302,1408.5813341072462,-621.0542416534904,-1521.2012227240023,165.60000414725025,298.8579497420448,13.217679529319904,20.708305873706287,-0.09772708668627716,-14.737918977944581,35.480584309253565,172.33568273080152,136.05480932808183,239.75471021171157,397.35604358353993,-0.5680082115040382,722.4644103006542,994.9402909934847,-0.0069382725709933235,0.06212011491963755,39.626419257839004,49.5950766514146,93.30645684129169,41.340596424964644,44.06351136145173,23.06581547828945,80.66896860872625,22.637478346345173,0.030328096933583116,111.8951886241027
qN,-3864.3380584428473,3818.774241952018,-939.4091105834831,-348.9803490186428,-911.889769842479,-1411.605188272167,600.0288084542037,1404.8763536417232,-124.9030141226572,-242.38060450787228,-10.682778557336018,-88.30300178230169,-5.893396195714153,-73.07692730705521,63.43147807889173,-256.1605922433078,-195.7028335525296,-354.47082436670377,-592.6660440740576,0.8379480517328859,-150.51164916374734,-1044.1190389507021,0.0071765719506756975,-0.045774249269929,-30.41807784907573,-45.19607565568671,-86.99688251660228,-94.89637248309919,-112.12278642470021,-16.54288003362265,-78.37550525966034,-45.31473389678268,-0.023455775707508893,-86.7879353881489
betaG0,1191.3749729573133,-939.4091105834831,6046.77227043949,1729.088597399395,-3782.744717514518,-1416.0200649485478,-84.33659708244753,-974.1384866919556,1277.676225356903,-473.6172996040119,-21.841403032998073,-9.081258255794458,0.26414964341255087,10.514194644797568,-22.129784360573368,-47.327719472410806,-54.732305822937505,-90.40102956760617,-122.578940650371,0.13797190145964772,65.29038983475967,-197.25268094502917,0.0011262085508448314,0.03973954773025473,23.339530364043448,-8.93286726394181,-11.30273194755564,-16.433277658773342,-32.876407319350214,36.21749563598166,9.86546847926786,26.327537722531996,0.01848850503410713,67.90112609545575
betaF0,423.60551363247544,-348.9803490186428,1729.088597399395,524.6575625642923,-994.7904144905852,-489.9459436042879,-6.2361112077819065,-354.7990419020224,401.2591282698678,-44.92787356405405,-2.0846171743014374,-0.6117438272260971,0.22949478843607884,5.313859940567092,-9.042181407740776,-13.693049368902704,-12.792660434656863,-22.151004901871385,-32.061887027537686,0.04640886872458265,-2.006243227832779,-61.56076575238596,0.0003506540701404878,0.013295555558380013,7.754880363928534,0.6386876042346228,2.9550093478430774,-1.2572636927557401,-5.583644184377383,12.382694419231433,8.175251930626962,9.574311907959135,0.006140442385719183,22.541222449720312
qEG,792.6072771282302,-911.889769842479,-3782.744717514518,-994.7904144905852,6604.6400276764825,1629.4599468193505,-190.38553736645514,-269.1189242774906,-908.2910793004119,-2077.421911545568,-100.34446049377881,43.44984068817894,2.173480825389812,26.185470733618367,-20.83367354379063,39.608950975468574,116.88736641850033,148.83612904435228,157.54474010111176,-0.019757661517460914,-73.57153305657073,253.62272793967347,-0.0016288299135424162,-0.02314273248157843,-13.6117506889194,59.31075557293802,100.86119474820971,61.32876648409044,86.25191934249911,-37.919660559130115,61.99043299580067,-15.9381414287366,-0.011621962492548042,-42.76418832200228
qEF,1408.5813341072462,-1411.605188272167,-1416.0200649485478,-489.9459436042879,1629.4599468193505,3311.962939336979,-955.2525750828714,-832.4487677750114,-291.83616770268486,-166.5123321053867,-8.0810085146098,30.841760428226394,1.3969502089703212,18.481579238192374,-17.58570908362526,-16.3501928292275,87.43032527632829,79.00484397935998,30.190678921677865,0.16240029976884263,175.88071473278126,161.0264165158014,-0.0010725626932439542,-0.0016179128060496116,-0.76424915764151,53.67481784907089,95.02615356745224,69.52544004639883,74.94277625840066,-13.526166860602618,67.09492531693748,41.08782322768351,-0.0011767893281124991,-4.337391497945475
iG,-621.0542416534904,600.0288084542037,-84.33659708244753,-6.2361112077819065,-190.38553736645514,-955.2525750828714,327.4957130242965,394.7798387645789,-29.072126840406064,20.250168201239816,0.9984171154827736,-13.639744207297268,-0.8164805170450669,-11.751324781431103,12.881061821157067,3.305250092258892,-29.829866680538217,-26.943369901741907,-14.220172282204238,-0.04653766810601627,-19.766519637054472,-38.57062622944679,0.0002788446436335255,-0.0042342243035548765,-2.4969111490952307,-21.685246206665198,-38.44247072852596,-26.10914282225631,-26.16308685910269,0.1669850527158748,-28.37811314746362,-19.571672589469646,-0.001776189352328309,-6.50679573119266
iE,-1521.2012227240023,1404.8763536417232,-974.1384866919556,-354.7990419020224,-269.1189242774906,-832.4487677750114,394.7798387645789,1056.4152875659834,-270.06292940420354,-237.74046716985978,-10.771542614278331,-7.522112150978867,-0.29227324184609027,-5.595042908518064,8.359140530924346,41.61818001472868,-25.76146950830328,-6.644237461525471,49.96235784951669,-0.2158947518672373,-178.463456863874,-12.042500292464027,0.00014615416787044843,-0.012649734014817362,-7.377394789754021,-27.29842186315463,-53.930618603264506,-27.625674371296988,-30.49682752149263,-2.7139481469026916,-52.93692499664961,-15.921399407773256,-0.005377029853366321,-19.69736404924103
Kd0,165.60000414725025,-124.9030141226572,1277.676225356903,401.2591282698678,-908.2910793004119,-291.83616770268486,-29.072126840406064,-270.06292940420354,538.2080376616032,-11.328342288479165,-0.5537954686998804,-0.9590413431701625,0.2145003737556681,6.060673885532596,-11.280902648434722,-36.595433150186764,-18.93354333717572,-43.69104739855954,-78.66924700111767,0.13074437015042467,-3.9496520400440573,-143.2746823715304,0.0008430139629760025,-0.0006600876765482233,-0.40366841982357543,-5.259072701473413e-27,-5.259072701473413e-27,-0.5913310008940391,-0.6674132743759076,-0.7982347726470089,-8.765121169122355e-28,-0.6958920330378867,-0.0003328912499985347,-1.2268437293970316
gammaG0,298.8579497420448,-242.38060450787228,-473.6172996040119,-44.92787356405405,-2077.421911545568,-166.5123321053867,20.250168201239816,-237.74046716985978,-11.328342288479165,3037.9085446738513,143.7147953419643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
