,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,4222.155286444799,-3937.8645284728486,1713.859509403993,501.905474166066,453.8820677091461,949.5220025724269,-580.5592743167492,-1751.5261088832642,344.8310602814733,298.8281456940014,11.66360092344993,52.513559667967826,0.8196648769125225,7.08136176402715,30.674682016858767,366.49843588314013,211.16030497022223,367.6839551527993,695.2341490407634,-1.3652018707217402,55.59304062174952,1221.86911647469,-0.011058672693003284,0.08065667414961032,35.0483015276658,34.32000799885165,39.27675485481649,48.45923949524739,44.20333117045782,24.918116986379832,42.27719260778125,4.609618898580226,0.035882534734635464,126.00368697037607
qN,-3937.8645284728486,3953.688167223597,-1374.9044176468174,-421.3979685167254,-622.4157944654712,-995.7800230386258,572.288808770667,1602.8354067355576,-309.22391382180257,-224.1077708248969,-8.64973575603334,-173.08345004714292,-8.390249338397297,-131.42051352846852,122.44561905152659,-501.86184911662326,-317.1746359502626,-516.7153509650028,-970.6420814479886,1.8320810577460724,757.132118979912,-1297.0176791408617,0.011433166818945482,-0.046130227576214475,-21.482021486042054,-27.784126217959713,-34.75188665843341,-136.94665432049337,-129.65819639376681,-11.868440448761914,-41.41378793635732,-24.68105616838432,-0.022083217594078865,-78.13699239024085
betaG0,1713.859509403993,-1374.9044176468174,5246.956541170754,1306.330026485886,-3354.837668823164,-1202.7909875670261,-27.172867723617394,-794.7889170939409,911.4031991161153,-405.8764044829729,-17.190408752776793,-20.600828370462967,-0.19843394716185425,-1.3326767672723125,-12.716941512289182,-53.89380280324237,-60.572835416060684,-69.2503431076045,-122.25811892408478,0.16420918629777803,261.5746499749264,-105.91809228497979,0.0005744068403392583,0.08205897457426031,35.87803572812287,-8.811027930848164,-5.572567549923567,-32.70353776130142,-40.83624550952115,72.43777305176822,3.404472836141011,25.762018988196527,0.038849043723202706,139.04014732104616
betaF0,501.905474166066,-421.3979685167254,1306.330026485886,346.9572874739602,-814.1927096718441,-339.2175868606333,0.21039418068780957,-246.35442865899535,262.19664578125486,-35.49016892981225,-1.4967942035360302,-2.631915372032493,0.07636230925139464,1.866399018378175,-6.25797423272072,-16.812585378099914,-11.347345606862126,-17.49609847372838,-32.358031399519604,0.06350663783224157,64.36771468133182,-29.850611155120067,0.0001653799192747757,0.0264330552152487,11.563160606017206,0.18775837749049473,1.4487215086369707,-1.9587699309640878,-6.481274592664739,24.408203785887668,3.8436464809179394,13.082955157970027,0.012562793992398529,44.18088540439269
qEG,453.8820677091461,-622.4157944654712,-3354.837668823164,-814.1927096718441,6709.013619600039,1549.5733517072545,-257.08476949036833,-637.6145007809926,-694.5988591264269,-2153.923892120992,-102.39269820076356,79.52577269933637,2.8929565861668376,47.04491607794957,-43.84080887558843,55.77469373527154,176.20006920273804,129.32569699923206,209.58065301873597,0.008973703360846637,-183.49196697401925,306.33537363051266,-0.0025015412395190157,-0.07791365356389116,-35.11760240111674,53.311031911539814,49.674330564691125,100.50328954098204,106.08113970863313,-91.29377608926593,35.29965683572092,-31.35432354637209,-0.039137714663681725,-142.91264732003864
qEF,949.5220025724269,-995.7800230386258,-1202.7909875670261,-339.2175868606333,1549.5733517072545,2372.9651808037374,-815.8765149265967,-840.3227981184376,-192.35152234911152,-168.43279169171294,-8.062479491168217,41.185987614751006,1.021228564320826,17.581503264419435,-16.114744785723676,-32.91399375934799,111.90246833129477,35.23731737634119,33.75264330082925,0.32490129210592517,225.49325677294485,202.6281138971022,-0.0016983197472831627,-0.0228714301309704,-10.527164318154338,36.77044282984323,36.26033531093852,84.38338171256021,75.3304903305405,-32.49195694627414,29.23669105257722,17.64882301308226,-0.012027082412569823,-42.503918649438
iG,-580.5592743167492,572.288808770667,-27.172867723617394,0.21039418068780957,-257.08476949036833,-815.8765149265967,333.60676705613395,426.225933736722,-19.169617759398136,21.948056333549477,1.058754664622141,-22.618372692621893,-0.8776295396552902,-14.932558566376855,17.425638406935448,5.981370935947619,-48.30481612671952,-19.242824804839312,-24.791976025987573,-0.09789183721810275,-44.980991567666905,-73.92455103652084,0.0006639441345803061,-0.002070172554685707,-0.6779403027614757,-17.843631841383342,-17.478303385018506,-37.17557047309822,-30.502687249164616,2.8004569073812613,-14.157519322520843,-13.68433967662694,-0.0004948582581028333,-1.6400804345992466
iE,-1751.5261088832642,1602.8354067355576,-794.7889170939409,-246.35442865899535,-637.6145007809926,-840.3227981184376,426.225933736722,1263.8856360832256,-183.01620385478842,-252.07242383055106,-10.190890090786768,-15.519381274160427,-0.13790203058480466,-3.62894414876137,5.5560149274669755,62.8656502776017,-59.83382502238339,6.5296821069387185,40.08503358847284,-0.407540775364693,-339.83054174002297,-118.07840747642052,0.0011034013744216377,-0.0019498157872518754,-0.13062430396173674,-23.9806912230189,-27.909599700813843,-45.086660910383266,-41.984300425178404,11.679222035159086,-30.837116730714104,-5.647112809228219,0.0005914681287931918,2.3305782069227305
Kd0,344.8310602814733,-309.22391382180257,911.4031991161153,262.19664578125486,-694.5988591264269,-192.35152234911152,-19.169617759398136,-183.01620385478842,366.83297112179264,-5.618761125433247,-0.2704877746411785,-3.8913343806405116,0.006572673384808936,1.1784940919948053,-7.412394271458156,-45.80241305308056,-19.694914411776896,-42.186968296513854,-81.1090259036186,0.18496314343666204,69.67723966288709,-119.00273790963534,0.0008214779358665649,-0.0007593367100298881,-0.3395788288169874,8.765121169122355e-28,-8.765121169122355e-28,-0.3077104096072797,-0.3501372287691286,-0.7911114613101269,-8.765121169122355e-28,-0.12158691379012311,-0.0003735149919934609,-1.3185487968793657
gammaG0,298.8281456940014,-224.1077708248969,-405.8764044829729,-35.49016892981225,-2153.923892120992,-168.43279169171294,21.948056333549477,-252.07242383055106,-5.618761125433247,3042.894377236486,138.42906961093888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
