model,start,success,status,message,nfev,initial_objective_wsse,final_objective_wsse,data_wsse,n_data_residuals,n_parameters,wsse_per_data_residual,active_bound_count,fit_selection_score
secondary_reduced_o2fixed,0,True,2,`ftol` termination condition is satisfied.,10,12226.639143647018,2798.533679613619,2798.5336795398416,236,7,11.85819355737221,1,2823.5336795398416
secondary_reduced_o2fixed,1,True,2,`ftol` termination condition is satisfied.,14,16964.815584382864,2798.530202493951,2798.5302024197663,236,7,11.858178823812569,1,2823.5302024197663
secondary_reduced_o2fixed,2,True,2,`ftol` termination condition is satisfied.,8,18459.004949463608,2798.543930691436,2798.543930617391,236,7,11.858236994141489,1,2823.543930617391
secondary_reduced_o2fixed,3,True,2,`ftol` termination condition is satisfied.,12,31840.328631885666,2798.51742292388,2798.517422849889,236,7,11.85812467309275,1,2823.517422849889
secondary_reduced_o2fixed,4,True,2,`ftol` termination condition is satisfied.,10,9860.083354209328,2798.5294492878365,2798.529449213982,236,7,11.858175632262636,1,2823.529449213982
secondary_phase_split,0,True,2,`ftol` termination condition is satisfied.,12,9568.155721046778,2591.005986925323,2587.5986162510553,236,9,10.96440091631803,1,2612.5986162510553
secondary_phase_split,1,True,2,`ftol` termination condition is satisfied.,15,9074.392585411964,2590.971507338565,2587.5443260590137,236,9,10.964170873131414,1,2612.5443260590137
secondary_phase_split,2,True,2,`ftol` termination condition is satisfied.,25,48656.924137359296,2591.0151925633954,2587.591352063278,236,9,10.964370135861348,1,2612.591352063278
secondary_phase_split,3,True,2,`ftol` termination condition is satisfied.,13,50107.64809783295,2590.9778566016107,2587.569527115224,236,9,10.964277657267898,1,2612.569527115224
secondary_phase_split,4,True,2,`ftol` termination condition is satisfied.,22,12452.990515263258,2591.041293725576,2587.6242040530797,236,9,10.964509339207964,1,2612.6242040530797
secondary_redox_o2,0,True,2,`ftol` termination condition is satisfied.,19,11903.41060352744,1898.5622127091256,1882.0146447249094,236,9,7.974638325105548,2,1932.0146447249094
secondary_redox_o2,1,True,2,`ftol` termination condition is satisfied.,24,177536.73828995228,1898.5603586211744,1882.0127629031263,236,9,7.974630351284433,2,1932.0127629031263
secondary_redox_o2,2,True,2,`ftol` termination condition is satisfied.,31,9382.955808345301,1898.5613224799172,1882.0136924639419,236,9,7.974634290101449,2,1932.0136924639419
secondary_redox_o2,3,True,2,`ftol` termination condition is satisfied.,26,12816.589110856024,1898.5626740681914,1882.0150776206185,236,9,7.9746401594094,2,1932.0150776206185
secondary_redox_o2,4,True,2,`ftol` termination condition is satisfied.,30,9372.139498045539,1898.5653481128306,1882.0177540712684,236,9,7.974651500301984,2,1932.0177540712684
secondary_acetate_assimilation,0,True,2,`ftol` termination condition is satisfied.,10,12226.639143647018,2798.5339011879423,2798.5339011141664,236,8,11.858194496246467,2,2848.5339011141664
secondary_acetate_assimilation,1,True,2,`ftol` termination condition is satisfied.,8,5928.6136329134915,2798.5236353383207,2798.5234668416015,236,8,11.858150283227125,1,2823.5234668416015
secondary_acetate_assimilation,2,True,2,`ftol` termination condition is satisfied.,13,7980.993013074627,2798.531389254698,2798.531389180885,236,8,11.858183852461378,2,2848.531389180885
secondary_acetate_assimilation,3,True,2,`ftol` termination condition is satisfied.,11,12226.444636072622,2798.524681859052,2798.5245769755566,236,8,11.858154987184562,1,2823.5245769755566
secondary_acetate_assimilation,4,True,2,`ftol` termination condition is satisfied.,12,42291.036022899745,2798.521479274252,2798.5214572721466,236,8,11.858141768102316,2,2848.5214572721466
secondary_full_chem_o2fixed,0,True,2,`ftol` termination condition is satisfied.,35,9312.819099779583,1837.0348576240792,1816.8230986783415,236,12,7.698402960501447,3,1891.8230986783415
secondary_full_chem_o2fixed,1,True,2,`ftol` termination condition is satisfied.,39,9647.456462463659,1837.0324217747893,1816.7999191676352,236,12,7.6983047422357425,1,1841.7999191676352
secondary_full_chem_o2fixed,2,True,2,`ftol` termination condition is satisfied.,40,10417.927679630542,1837.0240509217424,1816.7938564413575,236,12,7.698279052717616,3,1891.7938564413575
secondary_full_chem_o2fixed,3,True,2,`ftol` termination condition is satisfied.,36,9703.210738855902,1837.0300914823788,1816.8080753558154,236,12,7.69833930235515,2,1866.8080753558154
secondary_full_chem_o2fixed,4,True,2,`ftol` termination condition is satisfied.,38,13981.680710270382,1837.0179833361394,1816.7839747184853,236,12,7.698237181010531,2,1866.7839747184853
