group,n,rmse,mae,bias,obs_scale,median_obs,median_pred,relative_rmse,relative_bias,corr,state,adequacy_flag,adequacy_reason,model
secondary,107,33.34285758424337,26.575783273475935,-1.0908191538109542,206.0,206.0,199.76559113017763,0.16185853196234645,-0.005295238610732787,0.568223390651732,AcAld,adequate,error is within the pragmatic adequacy thresholds,secondary_reduced_o2fixed
secondary,129,16.194890022418047,12.550619910508788,-0.3559408375073607,48.0,48.0,48.46496216022025,0.3373935421337093,-0.007415434114736681,0.41598172435647157,Pyr,adequate,error is within the pragmatic adequacy thresholds,secondary_reduced_o2fixed
secondary,107,31.374969213936097,25.345242527172662,-3.8419166459062732,206.0,206.0,200.83089961343882,0.1523056757958063,-0.01865008080537026,0.5717176718271482,AcAld,adequate,error is within the pragmatic adequacy thresholds,secondary_phase_split
secondary,129,16.211705328913844,12.56587877664609,-0.35420303147433513,48.0,48.0,48.406141405021074,0.3377438610190384,-0.007379229822381982,0.4148897242170696,Pyr,adequate,error is within the pragmatic adequacy thresholds,secondary_phase_split
secondary,107,23.700546752443117,15.451778295622448,-4.468159548772212,206.0,206.0,198.046060687786,0.11505119782739377,-0.021690094896952485,0.6521964776525384,AcAld,adequate,error is within the pragmatic adequacy thresholds,secondary_redox_o2
secondary,129,16.221380939960056,12.53372521006795,-0.17235639453058027,48.0,48.0,48.58796042513209,0.33794543624916784,-0.003590758219387089,0.41457533569297983,Pyr,adequate,error is within the pragmatic adequacy thresholds,secondary_redox_o2
secondary,107,33.34293219478434,26.575731753820378,-1.090491007094443,206.0,206.0,199.76512640717723,0.16185889414943855,-0.005293645665507004,0.5682248459672339,AcAld,adequate,error is within the pragmatic adequacy thresholds,secondary_acetate_assimilation
secondary,129,16.194870426558897,12.550757771692698,-0.3558138046535083,48.0,48.0,48.465219804795815,0.33739313388664366,-0.00741278759694809,0.4159739116900825,Pyr,adequate,error is within the pragmatic adequacy thresholds,secondary_acetate_assimilation
secondary,107,22.842892106311233,15.328939121025584,-4.36949342131911,206.0,206.0,198.66643615372217,0.11088782575879239,-0.02121113311319956,0.6791186261981235,AcAld,adequate,error is within the pragmatic adequacy thresholds,secondary_full_chem_o2fixed
secondary,129,16.23449691739126,12.53447638223351,-0.24832077657525675,48.0,48.0,48.45784059593687,0.3382186857789846,-0.005173349511984515,0.4151818164398059,Pyr,adequate,error is within the pragmatic adequacy thresholds,secondary_full_chem_o2fixed
