parameter,estimate,log_estimate,lower_bound,upper_bound,active_bound,role
mu0,0.20458691807766133,-1.5867623665231598,0.05000000000000001,1.0,False,kinetic
qN,0.06509185172881037,-2.731955903057525,0.0005000000000000001,1.0,False,kinetic
betaG0,5.129247707731162,1.634959002762711,0.10000000000000002,10.000000000000002,False,kinetic
betaF0,9.59942849266664,2.261703564687798,0.10000000000000002,10.000000000000002,False,kinetic
qEG,11.414694124535547,2.434901483699443,0.010000000000000004,100.00000000000004,False,kinetic
qEF,20.018549500034077,2.9966593187165116,0.010000000000000004,100.00000000000004,False,kinetic
gammaG0,0.749205462994072,-0.28874201666880445,0.00010000000000000009,2.0,False,kinetic
gammaF0,0.06654467678390165,-2.7098817255611065,0.00010000000000000009,2.0,False,kinetic
yan_delivery_fraction,0.8932294837646078,-0.1129117504200733,0.884615,1.0,False,nuisance
oculyze_biomass_scale_kg_m3_per_million_cells_ml,0.04377681026770775,-3.128651047748475,0.005000000000000002,0.07999999999999999,False,nuisance
