,mu0,qN,betaG0,betaF0,qEG,qEF,gammaG0,gammaF0,yan_delivery_fraction,oculyze_biomass_scale_kg_m3_per_million_cells_ml
mu0,6.036726574354729e-05,6.857841849304711e-06,0.0001576455118236367,-0.001378225726311787,-6.613620651008985e-05,-0.0011357226634748374,0.00032574458826860537,-0.002497572925969406,-4.895455052859093e-05,-0.00010438999750040841
qN,6.8578418493046645e-06,0.0001607172882247996,-0.00010988687125657085,-0.0017313936817969007,-0.0004032986712383776,-0.001310144523565573,0.0003629334707072472,-0.004264069530004684,4.206171217927029e-05,-0.00014168017515799164
betaG0,0.00015764551182364324,-0.00010988687125656266,0.004833474680212,0.010722883016687822,0.001612488260218113,0.009721471383390414,-0.0016972842913883161,0.023392447747799028,0.002510776774198005,-0.00021247710961395423
betaF0,-0.0013782257263117098,-0.001731393681796803,0.01072288301668815,0.24685756818366197,0.018700160492014034,0.21737421130909307,-0.031412394891373645,0.4271530389561991,0.012995360166909777,0.0069914621572349615
qEG,-6.613620651008783e-05,-0.000403298671238376,0.0016124882602181834,0.018700160492014947,0.004872765755840947,0.014596375746348483,-0.003453611414181044,0.047454458038286094,0.0023401056089422307,0.000821845093649132
qEF,-0.001135722663474764,-0.0013101445235654781,0.009721471383390662,0.21737421130909224,0.01459637574634759,0.19977049953200932,-0.02786512662809483,0.37105880593036583,0.011073973338367932,0.005514166687730079
gammaG0,0.00032574458826859816,0.00036293347070723894,-0.001697284291388401,-0.03141239489137428,-0.0034536114141809787,-0.027865126628095514,0.007002448201951407,-0.060441213533146326,-0.0027835124035430273,-0.0013252626230943986
gammaF0,-0.002497572925969295,-0.00426406953000455,0.023392447747799874,0.4271530389562043,0.047454458038284894,0.37105880593037205,-0.060441213533145875,0.8265759645337387,0.03253397950490444,0.012848592349344434
yan_delivery_fraction,-4.8954550528587947e-05,4.2061712179273267e-05,0.0025107767741980504,0.012995360166910247,0.002340105608942218,0.011073973338368404,-0.002783512403543047,0.03253397950490498,0.003436221714310408,0.00016014846774840981
oculyze_biomass_scale_kg_m3_per_million_cells_ml,-0.0001043899975004074,-0.00014168017515798999,-0.00021247710961393122,0.00699146215723521,0.0008218450936491311,0.005514166687730322,-0.0013252626230944155,0.012848592349344738,0.00016014846774841505,0.0004918170291224083
