stage,result_index,start_index,seed,success,status,nfev,robust_objective,initial_wsse,final_wsse,message,estimate__mu0,estimate__qN,estimate__betaG0,estimate__betaF0,estimate__qEG,estimate__qEF,estimate__gammaG0,estimate__gammaF0,estimate__oculyze_biomass_scale_kg_m3_per_million_cells_ml
selected_basin_replication,9,4,20261003,True,3,13,4317.519495882091,22585.957242897126,21169.24093578707,`xtol` termination condition is satisfied.,0.23194224557862625,0.044854114049810316,0.5816875987830423,3.4059953451610885,1.996830297931013,4.744299554830875,0.12376973952138133,0.020548456641920655,0.07388893746426584
selected_basin_replication,6,1,20260731,True,3,12,4410.331897253121,22786.291657875652,21940.89299100127,`xtol` termination condition is satisfied.,0.2376712148362724,0.04475430925114487,0.8019881640677262,2.3359414520486745,1.7747598372615097,3.9288732107703104,0.12778474676849944,0.015231300290436638,0.07433873129133997
selected_basin_replication,5,0,20260716,True,3,11,4498.1624203559695,23107.527652639117,23107.527652639117,`xtol` termination condition is satisfied.,0.24380043603885096,0.04434896873122539,0.44802754074195933,2.4775712019733,1.7038545476328466,3.1333241830436576,0.10839869599571468,0.010675552058839166,0.0718579314271184
selected_basin_replication,8,3,20260907,True,3,11,4560.991276861161,22191.96133139351,22178.041409865786,`xtol` termination condition is satisfied.,0.2284238562993136,0.04375269787548786,0.4309181972111368,2.6837861081566987,1.718558242636939,3.627321121503541,0.11508868603966198,0.0013788547880510757,0.07071378630375771
broad_global_screen,2,2,20260819,True,3,22,4624.863201897102,4653579.968708649,22171.752503556985,`xtol` termination condition is satisfied.,0.22891887705769864,0.04475702880588038,0.45068098690715513,2.390338916554846,1.740657688174012,3.3536666468516696,0.1072294326537887,0.010601170784617196,0.06939249849759718
selected_basin_replication,7,2,20260819,True,3,11,4664.14403107114,21947.566269419112,21989.025376848505,`xtol` termination condition is satisfied.,0.2219002767086421,0.04434254508750951,0.45499854027207265,2.4394932502624136,1.7538472580926423,3.320986147177554,0.10823227874937195,0.01041141942265806,0.07026532275899089
broad_global_screen,1,1,20260731,True,3,20,5125.219366749894,466048.7232877667,21447.81333413435,`xtol` termination condition is satisfied.,0.21117225583033425,0.10464376201554072,7.165424171314016,9.887598535210008,21.13179471095985,28.42011271145181,1.1870407773248846,0.42486399013066617,0.017558193166447612
broad_global_screen,3,3,20260907,True,3,17,6236.307235982265,2921965.9479948166,31397.409686125684,`xtol` termination condition is satisfied.,0.3725560902440531,0.12652683248376642,1.2305793456758918,3.145874919679432,9.082680750451969,2.68431321949711,0.22126926719502016,0.19147957151792383,0.03354228846613629
broad_global_screen,4,4,20261003,True,3,17,8851.14722279513,789112.2760017712,64986.74741260076,`xtol` termination condition is satisfied.,0.1624118891903385,0.021243310736400237,0.3143882681891753,1.2622448447482406,1.549822548883524,1.43862623515784,0.014881843807730544,0.009708940161145724,0.05551990757985962
broad_global_screen,0,0,20260716,True,3,15,13644.405757762108,673573.3965184017,266874.483340847,`xtol` termination condition is satisfied.,0.17055377512709244,0.013502098044550423,0.3098772667442859,0.6413087165165694,0.7076736751148927,1.1193472235160367,0.050396614928833024,0.0001657052363159296,0.03017136473611016
