Código evento,Código ensayo,Escala,Fecha,Hora,Fecha-hora,Tipo evento,Producto/Nutriente,Dosis,Unidad,Estado fermentación,Responsable,Estado,Fecha de ejecución,Observaciones,experiment_id,timestamp_original,timestamp,event_origin,reference_experiment_id,event_timestamp_status,sampling_start,sampling_end,active_end,relative_time_h,inside_sampling_window,inside_active_process,calibration_include,organic_product_g,dap_product_g,yan_added_mg_l,dose_parse_status,model_input_note,timing_uncertain,timing_interval_start,timing_interval_end,timing_uncertainty_basis,timing_interval_start_h,timing_interval_end_h
EV-26134-01,26134,Piloto,2026-03-25 00:00:00,10:00:00,2026-03-25 16:00:00,Siembra,Levadura Zymaflore X5,116,g,Pre-inóculo,Equipo Bodega,Realizado,2026-03-25 16:00:00,Inoculación del ensayo.,26134,2026-03-25 16:00:00,2026-03-25 16:00:00,master_workbook,26134,recorded_execution,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,0.0,True,True,True,,,,not_applicable,event_table,False,,,recorded_or_owner_confirmed_event_time,,
EV-26134-02,26134,Piloto,2026-03-25 00:00:00,10:00:00,2026-03-25 16:00:00,Pulso nutricional 1,Springferm Xtrem + FDA,116 + 46,g,Inoculación,Equipo Bodega,Realizado,2026-03-25 16:00:00,Aplicar 50% del suplemento total al inóculo; mantener igual en A/B/C.,26134,2026-03-25 16:00:00,2026-03-25 16:00:00,master_workbook,26134,recorded_execution,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,0.0,True,True,True,116.0,46.0,90.43478260869566,parsed_springferm_organic_plus_fda,event_table,False,,,recorded_or_owner_confirmed_event_time,,
EV-26134-03,26134,Piloto,2026-03-27 00:00:00,10:00:00,2026-03-27 16:00:00,Pulso nutricional 2,Springferm Xtrem + FDA,116 + 46,g,Densidad 1040,Equipo Bodega,Realizado,,"Aplicar 50% restante a densidad 1040; fecha estimada, ajustar por densidad real.",26134,2026-03-27 16:00:00,2026-03-27 16:00:00,master_workbook,26134,owner_confirmed_master_schedule,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,48.0,True,True,True,116.0,46.0,90.43478260869566,parsed_springferm_organic_plus_fda,density_triggered_time_proxy,True,2026-03-27 16:00:00,2026-03-28 08:00:00,observed_primary_density_bracket_1040_kg_m3,48.0,64.0
EV-26134-04,26134,Piloto,2026-03-29 00:00:00,10:00:00,2026-03-29 16:00:00,Cambio temperatura 1,Setpoint 21 °C,21,°C,Cambio térmico 1,Equipo Bodega,Realizado,,Fin Fase 1; inicio Fase 2 (A).,26134,2026-03-29 16:00:00,2026-03-29 16:00:00,master_workbook,26134,owner_confirmed_master_schedule,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,96.0,True,True,True,,,,not_applicable,use_measured_controller_setpoint_and_sensor_trace,False,,,recorded_or_owner_confirmed_event_time,,
EV-26134-05,26134,Piloto,2026-04-01 00:00:00,10:00:00,2026-04-01 16:00:00,Cambio temperatura 2,Setpoint 16 °C,16,°C,Cambio térmico 2,Equipo Bodega,Realizado,,Fin Fase 2; inicio Fase 3 (A).,26134,2026-04-01 16:00:00,2026-04-01 16:00:00,master_workbook,26134,owner_confirmed_master_schedule,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,168.0,True,True,True,,,,not_applicable,use_measured_controller_setpoint_and_sensor_trace,False,,,recorded_or_owner_confirmed_event_time,,
EV-26135-01,26135,Piloto,2026-03-25 00:00:00,10:00:00,2026-03-25 16:00:00,Siembra,Levadura Zymaflore X5,116,g,Pre-inóculo,Equipo Bodega,Realizado,2026-03-25 16:00:00,Inoculación del ensayo.,26135,2026-03-25 16:00:00,2026-03-25 16:00:00,master_workbook,26135,recorded_execution,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,0.0,True,True,True,,,,not_applicable,event_table,False,,,recorded_or_owner_confirmed_event_time,,
EV-26135-02,26135,Piloto,2026-03-25 00:00:00,10:00:00,2026-03-25 16:00:00,Pulso nutricional 1,Springferm Xtrem + FDA,116 + 46,g,Inoculación,Equipo Bodega,Realizado,2026-03-25 16:00:00,Aplicar 50% del suplemento total al inóculo; mantener igual en A/B/C.,26135,2026-03-25 16:00:00,2026-03-25 16:00:00,master_workbook,26135,recorded_execution,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,0.0,True,True,True,116.0,46.0,90.43478260869566,parsed_springferm_organic_plus_fda,event_table,False,,,recorded_or_owner_confirmed_event_time,,
EV-26135-03,26135,Piloto,2026-03-27 00:00:00,10:00:00,2026-03-27 16:00:00,Pulso nutricional 2,Springferm Xtrem + FDA,116 + 46,g,Densidad 1040,Equipo Bodega,Realizado,,"Aplicar 50% restante a densidad 1040; fecha estimada, ajustar por densidad real.",26135,2026-03-27 16:00:00,2026-03-27 16:00:00,master_workbook,26135,owner_confirmed_master_schedule,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,48.0,True,True,True,116.0,46.0,90.43478260869566,parsed_springferm_organic_plus_fda,density_triggered_time_proxy,True,2026-03-27 16:00:00,2026-03-28 08:00:00,observed_primary_density_bracket_1040_kg_m3,48.0,64.0
EV-26135-04,26135,Piloto,2026-03-29 00:00:00,10:00:00,2026-03-29 16:00:00,Cambio temperatura 1,Setpoint 21 °C,21,°C,Cambio térmico 1,Equipo Bodega,Realizado,,Fin Fase 1; inicio Fase 2 (A).,26135,2026-03-29 16:00:00,2026-03-29 16:00:00,master_workbook,26135,owner_confirmed_master_schedule,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,96.0,True,True,True,,,,not_applicable,use_measured_controller_setpoint_and_sensor_trace,False,,,recorded_or_owner_confirmed_event_time,,
EV-26135-05,26135,Piloto,2026-04-01 00:00:00,10:00:00,2026-04-01 16:00:00,Cambio temperatura 2,Setpoint 16 °C,16,°C,Cambio térmico 2,Equipo Bodega,Realizado,,Fin Fase 2; inicio Fase 3 (A).,26135,2026-04-01 16:00:00,2026-04-01 16:00:00,master_workbook,26135,owner_confirmed_master_schedule,2026-03-25 16:00:00,2026-04-02 08:00:00,2026-04-02 08:00:00,168.0,True,True,True,,,,not_applicable,use_measured_controller_setpoint_and_sensor_trace,False,,,recorded_or_owner_confirmed_event_time,,
