experiment_id,timestamp,time_h,process_phase,calibration_include,lot,reactor,condition,replicate,protocol,yeast,initial_volume_l,sample_id,state,observed_value,unit,observation_operator,source_column,censoring_type,lower_bound,upper_bound
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,acetaldehyde,42.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,ammonium_nitrogen,179.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,brix,17.1,degree_Brix,identity,Brix,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,cell_budding,8.86,percent,identity,Oculyze Budding,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,cell_concentration,6.07,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,cell_viability,2.69,percent,identity,Oculyze Viability,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,density,1067.8,kg/m^3,identity,Densidad,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,ethanol,1.24,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,fructose,80.43,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,glucose,80.25,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,glycerol,0.99,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,primary_amino_nitrogen,98.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-25 16:00:00,0.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-01,pyruvic_acid,3.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-26 08:00:00,16.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-02,acetaldehyde,111.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-26 08:00:00,16.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-02,ammonium_nitrogen,173.0,mg/L_N,identity,Y15 Amonio,observed,,
