Index,policy,sample_number,time_h,local_timestamp,weekday,active_probability,candidate_only_not_for_physical_execution,notice,authorized_for_physical_execution,logical_profile,tank,event_label,sequence_if_nutrition_coincides
0,anchor_18C,1,0.0,2026-07-20T15:00:00-04:00,Monday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,BASAL,SAMPLE_FIRST
1,anchor_18C,2,26.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_02,SAMPLE_FIRST
2,anchor_18C,3,42.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_03,SAMPLE_FIRST
3,anchor_18C,4,50.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_04,SAMPLE_FIRST
4,anchor_18C,5,66.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_05,SAMPLE_FIRST
5,anchor_18C,6,74.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_06,SAMPLE_FIRST
6,anchor_18C,7,90.0,2026-07-24T09:00:00-04:00,Friday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_07,SAMPLE_FIRST
7,anchor_18C,8,98.0,2026-07-24T17:00:00-04:00,Friday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_08,SAMPLE_FIRST
8,anchor_18C,9,162.0,2026-07-27T09:00:00-04:00,Monday,0.984375,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_09,SAMPLE_FIRST
9,anchor_18C,10,170.0,2026-07-27T17:00:00-04:00,Monday,0.984375,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,SAMPLE_10,SAMPLE_FIRST
10,candidate_A,1,0.0,2026-07-20T15:00:00-04:00,Monday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,BASAL,SAMPLE_FIRST
11,candidate_A,2,18.0,2026-07-21T09:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_02,SAMPLE_FIRST
12,candidate_A,3,22.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_03,SAMPLE_FIRST
13,candidate_A,4,26.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_04,SAMPLE_FIRST
