ensemble_member,policy,drying_time_h
0,anchor_18C,190.90219260258172
0,candidate_A,172.0686754066973
0,candidate_B,172.08524929319577
1,anchor_18C,187.4344324765886
1,candidate_A,166.1840855310234
1,candidate_B,166.22909099552152
2,anchor_18C,203.39658647414333
2,candidate_A,182.45806232627024
2,candidate_B,182.4919063776192
3,anchor_18C,197.18596181329016
3,candidate_A,175.21335945451258
3,candidate_B,175.26988568850882
4,anchor_18C,190.79547622539806
4,candidate_A,168.1132987610766
4,candidate_B,168.18365768617846
5,anchor_18C,202.2801420169269
5,candidate_A,180.5988799611836
5,candidate_B,180.65277152232687
6,anchor_18C,190.233151321516
6,candidate_A,177.72006339352626
6,candidate_B,177.67998210978737
7,anchor_18C,429.1242147321335
7,candidate_A,462.43276022512634
7,candidate_B,461.12761853527013
8,anchor_18C,201.5239463183827
8,candidate_A,173.82014110133719
8,candidate_B,173.95160434541654
9,anchor_18C,153.35390975476133
9,candidate_A,123.78491891984604
9,candidate_B,123.95875211453827
10,anchor_18C,200.30432187380393
10,candidate_A,177.78334812378887
10,candidate_B,177.84007451547015
11,anchor_18C,191.44464304899404
11,candidate_A,170.0292203363545
11,candidate_B,170.07664043113968
12,anchor_18C,200.4847531864816
12,candidate_A,177.73715492920837
12,candidate_B,177.79467509299096
13,anchor_18C,185.42494609819127
13,candidate_A,164.5234070147267
13,candidate_B,164.56694599471234
14,anchor_18C,183.02157536060287
14,candidate_A,163.40828061073518
14,candidate_B,163.43870863088662
15,anchor_18C,196.89959560084085
15,candidate_A,175.50038410612865
15,candidate_B,175.54259674888874
16,anchor_18C,210.33514591118455
16,candidate_A,185.94680861892277
16,candidate_B,186.0189982929054
17,anchor_18C,183.67784871557825
17,candidate_A,162.83293484252545
17,candidate_B,162.875392011017
18,anchor_18C,190.78804936225703
18,candidate_A,170.26903608435794
18,candidate_B,170.30894138380677
19,anchor_18C,211.96763189996713
19,candidate_A,188.92249130776744
19,candidate_B,188.97429718283013
20,anchor_18C,206.0552546491422
20,candidate_A,184.25809366163034
20,candidate_B,184.30161734296144
21,anchor_18C,201.4199219575501
21,candidate_A,181.33348549840514
21,candidate_B,181.36354691840947
22,anchor_18C,190.19218858667438
22,candidate_A,168.1470897502014
22,candidate_B,168.20963182737833
23,anchor_18C,186.5606944419702
23,candidate_A,166.50477080566114
23,candidate_B,166.53473452483834
24,anchor_18C,185.26799208008993
24,candidate_A,165.88346121789465
24,candidate_B,165.9104582559193
25,anchor_18C,192.04201677984742
25,candidate_A,171.87011694621452
25,candidate_B,171.9065270415438
26,anchor_18C,185.1715763073215
26,candidate_A,166.56746082776684
26,candidate_B,166.5844333143694
27,anchor_18C,188.35303322930375
27,candidate_A,166.40868437515186
27,candidate_B,166.4696812869139
28,anchor_18C,182.68988381694453
28,candidate_A,162.58645064678987
28,candidate_B,162.62320264356262
29,anchor_18C,192.62959591165693
29,candidate_A,173.7280657521972
29,candidate_B,173.7434709990217
30,anchor_18C,195.90901286844903
30,candidate_A,183.22527022461722
30,candidate_B,183.1862536555467
31,anchor_18C,196.62584736461315
31,candidate_A,183.80690053300575
31,candidate_B,183.77020365198283
32,anchor_18C,183.20572340121336
32,candidate_A,163.84477408156226
32,candidate_B,163.87152869642964
33,anchor_18C,193.32105112404633
33,candidate_A,173.18216965505673
33,candidate_B,173.20980909914195
34,anchor_18C,186.58474776888207
34,candidate_A,165.1182651106786
34,candidate_B,165.17176528210697
35,anchor_18C,193.9914805008983
35,candidate_A,172.20391936610548
35,candidate_B,172.26031549909663
36,anchor_18C,188.652730671668
36,candidate_A,165.46215250538498
36,candidate_B,165.53903642540664
37,anchor_18C,201.7563070423063
37,candidate_A,180.57295265718403
37,candidate_B,180.61062288597526
38,anchor_18C,189.3115340102959
38,candidate_A,166.16829915164712
38,candidate_B,166.24358625459064
39,anchor_18C,193.08554997112896
39,candidate_A,170.48789918854965
39,candidate_B,170.55290524090196
40,anchor_18C,195.21201039490288
40,candidate_A,173.5657847621498
40,candidate_B,173.61975116390826
41,anchor_18C,197.73911504220396
41,candidate_A,180.39203881885592
41,candidate_B,180.38423110732177
42,anchor_18C,186.4840301218015
42,candidate_A,166.9738822807663
42,candidate_B,167.00062223463888
43,anchor_18C,186.69513507496632
43,candidate_A,165.70680215900902
43,candidate_B,165.74975181480144
44,anchor_18C,198.32033562722373
44,candidate_A,177.8698310523322
44,candidate_B,177.8942623136723
45,anchor_18C,180.43467784163326
45,candidate_A,161.39485519024896
45,candidate_B,161.41905185158677
46,anchor_18C,198.16267385060618
46,candidate_A,176.33235043153945
46,candidate_B,176.37958170748192
47,anchor_18C,195.9837585325705
47,candidate_A,174.3075380154649
47,candidate_B,174.36200698419614
48,anchor_18C,184.65434371558632
48,candidate_A,164.555225588364
48,candidate_B,164.5896187497219
49,anchor_18C,194.45629544178828
49,candidate_A,173.5543633171987
49,candidate_B,173.59784369537178
50,anchor_18C,202.2218108011046
50,candidate_A,180.55988499939076
50,candidate_B,180.60347447048818
51,anchor_18C,202.99074428884074
51,candidate_A,181.30191096470776
51,candidate_B,181.3525232516831
52,anchor_18C,194.8924531032
52,candidate_A,174.2576782405182
52,candidate_B,174.29929317055573
53,anchor_18C,190.5503764769422
53,candidate_A,169.7977601791708
53,candidate_B,169.84142936220132
54,anchor_18C,202.9757124913776
54,candidate_A,182.98888816283593
54,candidate_B,183.01738091778353
55,anchor_18C,186.61606560448902
55,candidate_A,166.09742202471983
55,candidate_B,166.13411162703068
56,anchor_18C,206.65149599318565
56,candidate_A,184.15109515380638
56,candidate_B,184.20300347288497
57,anchor_18C,203.01916929267392
57,candidate_A,182.34338426452828
57,candidate_B,182.38228173436724
58,anchor_18C,179.6006868250601
58,candidate_A,158.82584261017772
58,candidate_B,158.8673955614026
59,anchor_18C,196.43474900100225
59,candidate_A,175.7853360279937
59,candidate_B,175.81428796140844
60,anchor_18C,185.6847840320857
60,candidate_A,164.91091541849227
60,candidate_B,164.9523726482119
61,anchor_18C,194.89400486400254
61,candidate_A,173.09992746564734
61,candidate_B,173.15422298316074
62,anchor_18C,197.96232090616192
62,candidate_A,177.40046896300302
62,candidate_B,177.4287818368554
63,anchor_18C,200.4473986377255
63,candidate_A,179.918715750062
63,candidate_B,179.94619518470031
