policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required
anchor_18C,ethyl_acetate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,132.32850764844676,0.03574599714485305,1508.0848206320986,0.0,132.32850764844676,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,1075.1338439015276,0.10740461074367502,15484.989456288773,132.32850764844676,1207.4623515499743,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,3,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1188.1780605344352,0.13572410211600072,16165.572379728794,1207.4623515499743,2395.6404120844095,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3279.2722995813133,0.7955717151652699,42048.33509515325,2395.6404120844095,5674.912711665724,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,5,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1699.3413321747394,0.6707466577851449,20614.644666966604,5674.912711665724,7374.254043840462,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,6,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3322.486277309964,1.4303423113257168,40249.99457141216,7374.254043840462,10696.740321150426,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1553.3025958675696,0.7066331697772061,19708.081484278213,10696.740321150426,12250.042917017994,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,7711.585476752048,3.70085152322838,102333.64392253754,12250.042917017994,19961.628393770043,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,456.895903704651,0.21477768818910548,5995.066469194979,19961.628393770043,20418.524297474694,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,0.10676238905868962,0.024077260315578167,0.7489843254138835,0.0,0.10676238905868962,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,0.9029191541717585,0.07884799277834591,13.60538870531825,0.10676238905868962,1.0096815432304482,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,3,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1.293199197371481,0.11221489055672833,16.754003363236222,1.0096815432304482,2.302880740601929,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4.386761770926308,0.8529935605136962,41.08068996132574,2.302880740601929,6.689642511528237,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,5,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.575368333761066,1.4078246932819702,18.775930044036997,6.689642511528237,9.265010845289304,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,6,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5.36819492689917,2.830853023315198,34.052331340778665,9.265010845289304,14.633205772188473,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.601898568153806,1.2612456913083623,15.054287335196292,14.633205772188473,17.235104340342275,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,12.936027548277496,6.095428495416664,66.43581153162626,17.235104340342275,30.171131888619776,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,0.7218541360791382,0.33596975087989733,3.3888465871903293,30.171131888619776,30.892986024698914,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
