variable_index,value
0,15.560136157801807
1,25.0
2,18.910814073895693
3,17.820548714378287
4,16.31488740210889
5,18.693268662690443
6,23.85020475663403
7,25.0
8,17.14354642383751
9,18.079398582612058
10,19.305230595538884
11,25.0
12,15.543746517695826
13,20.15591787845305
14,1.236198347545347
15,4.8468673365111155
16,12.0
17,80.0
18,80.0
19,64.5787591344594
20,25.0
21,22.333555705046926
22,17.969403768652196
23,18.19779011470213
24,23.68390316473361
25,17.256725787863658
26,15.0
27,24.84269938423932
28,22.537892384127584
29,24.93761587465045
30,21.200388945518476
31,16.78676351786114
32,15.749534865067375
33,22.390192778592535
34,5.762384303391702
35,0.9149526042875951
36,8.118014610935736
37,11.183411756858154
38,57.45867360462284
39,79.96596639163948
