variable_index,value
0,15.0
1,24.93553070172618
2,18.516667592024554
3,18.192993459201848
4,17.003503743746567
5,21.881547793421
6,24.319109417823235
7,24.255326791744867
8,24.71571654371362
9,19.956189613778957
10,18.454972676745523
11,22.624061939640903
12,19.0535127550896
13,19.68931035865235
14,1.3267673055424465
15,3.943197548155045
16,12.0
17,80.0
18,71.90997868863596
19,64.20849481222905
20,24.05702418909596
21,22.151829675161558
22,20.07959741972641
23,18.189216318283705
24,21.347677215964424
25,17.218403158327806
26,15.0
27,25.0
28,21.65735239614189
29,22.680937191066437
30,21.40821453540491
31,18.621833402375827
32,15.01084043999293
33,24.792261218166644
34,3.7899943404651526
35,7.426975947655959
36,6.0
37,23.22790271100598
38,52.30776187816816
39,79.9461552553467
