policy,action,time_h,value,unit
anchor_18C,temperature_setpoint,0.0,18.0,degC
anchor_18C,temperature_setpoint,12.0,18.0,degC
anchor_18C,temperature_setpoint,24.0,18.0,degC
anchor_18C,temperature_setpoint,36.0,18.0,degC
anchor_18C,temperature_setpoint,48.0,18.0,degC
anchor_18C,temperature_setpoint,60.0,18.0,degC
anchor_18C,temperature_setpoint,72.0,18.0,degC
anchor_18C,temperature_setpoint,84.0,18.0,degC
anchor_18C,temperature_setpoint,96.0,18.0,degC
anchor_18C,temperature_setpoint,108.0,18.0,degC
anchor_18C,temperature_setpoint,120.0,18.0,degC
anchor_18C,temperature_setpoint,132.0,18.0,degC
anchor_18C,temperature_setpoint,144.0,18.0,degC
anchor_18C,temperature_setpoint,156.0,18.0,degC
anchor_18C,nutrition,48.0,80.0,mgYAN/L
wave1_A,temperature_setpoint,0.0,25.0,degC
wave1_A,temperature_setpoint,12.0,18.913016982957824,degC
wave1_A,temperature_setpoint,24.0,15.0,degC
wave1_A,temperature_setpoint,36.0,17.50993628175781,degC
wave1_A,temperature_setpoint,48.0,24.615058387452287,degC
wave1_A,temperature_setpoint,60.0,15.893371711931094,degC
wave1_A,temperature_setpoint,72.0,15.0,degC
wave1_A,temperature_setpoint,84.0,15.595840371692123,degC
wave1_A,temperature_setpoint,96.0,25.0,degC
wave1_A,temperature_setpoint,108.0,25.0,degC
wave1_A,temperature_setpoint,120.0,20.53917482270102,degC
wave1_A,temperature_setpoint,132.0,21.931663923543507,degC
wave1_A,temperature_setpoint,144.0,17.693266937599645,degC
wave1_A,temperature_setpoint,156.0,20.43508528527584,degC
wave1_A,nutrition,8.0,14.918800287097964,mgYAN/L
wave1_A,nutrition,96.0,80.0,mgYAN/L
wave1_B,temperature_setpoint,0.0,25.0,degC
wave1_B,temperature_setpoint,12.0,23.090334360213088,degC
wave1_B,temperature_setpoint,24.0,15.807517672012807,degC
wave1_B,temperature_setpoint,36.0,15.0,degC
wave1_B,temperature_setpoint,48.0,24.928166685631503,degC
wave1_B,temperature_setpoint,60.0,18.668292398909333,degC
wave1_B,temperature_setpoint,72.0,25.0,degC
wave1_B,temperature_setpoint,84.0,22.419937570354268,degC
wave1_B,temperature_setpoint,96.0,15.0,degC
wave1_B,temperature_setpoint,108.0,25.0,degC
wave1_B,temperature_setpoint,120.0,16.72271119677308,degC
wave1_B,temperature_setpoint,132.0,21.77744612736936,degC
wave1_B,temperature_setpoint,144.0,16.807505947816885,degC
wave1_B,temperature_setpoint,156.0,24.14759469160284,degC
wave1_B,nutrition,4.0,49.77460813283357,mgYAN/L
wave1_B,nutrition,8.0,45.345276502286936,mgYAN/L
wave1_B,nutrition,96.0,53.62995765565843,mgYAN/L
