independent_seed,iteration,normalized_position_diversity,unique_canonical_policy_pairs,canonical_policy_pair_fraction
20260717,0,0.3267020090555597,12,1.0
20260717,1,0.17879782624025545,12,1.0
20260717,2,0.15963321233890884,12,1.0
20260717,3,0.1370971285304929,12,1.0
20260717,4,0.11900728533970563,12,1.0
20260717,5,0.10479424544724063,12,1.0
20260717,6,0.08688095551508786,12,1.0
20260731,0,0.3280197102599775,12,1.0
20260731,1,0.17454098542912644,12,1.0
20260731,2,0.1756375462150646,12,1.0
20260731,3,0.18839027329786096,12,1.0
20260731,4,0.2146233554822864,12,1.0
20260731,5,0.21303451668866066,12,1.0
20260731,6,0.16911602325366332,12,1.0
20260747,0,0.3284182574878048,12,1.0
20260747,1,0.17930359199943083,12,1.0
20260747,2,0.1527613627205352,12,1.0
20260747,3,0.18233572663631203,12,1.0
20260747,4,0.16255039172210428,12,1.0
20260747,5,0.13666660861885063,12,1.0
20260747,6,0.12461902911967514,12,1.0
