policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,watermark,candidate_only_not_for_physical_execution
II_diagonal_1__N80__anchor,ethyl_acetate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,75.57194244361241,0.024525864997314573,982.9202870293416,0.0,75.57194244361241,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,2,22.0,26.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,56.756565204834345,0.011220132147538475,561.1351654323953,75.57194244361241,132.32850764844676,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,3,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,1075.1338439015276,0.10740461074367502,15484.989456288773,132.32850764844676,1207.4623515499743,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,4,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1188.1780605344352,0.13572410211600072,16165.572379728794,1207.4623515499743,2395.6404120844095,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,5,50.0,70.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,4128.487164154374,1.26029389661716,52417.150767641375,2395.6404120844095,6524.127576238783,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,6,70.0,90.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,4172.612744911643,1.7723721441204816,50128.01403172138,6524.127576238783,10696.740321150426,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1553.3025958675696,0.7066331697772061,19708.081484278213,10696.740321150426,12250.042917017994,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,7711.585476752048,3.70085152322838,102333.64392253754,12250.042917017994,19961.628393770043,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_acetate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,456.895903704651,0.21477768818910548,5995.066469194979,19961.628393770043,20418.524297474694,2.9103830456733704e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_octanoate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,0.06025144253562477,0.016398282652614945,0.31783171350554146,0.0,0.06025144253562477,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_octanoate,2,22.0,26.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.04651094652306485,0.0076789776629632225,0.43115261190834203,0.06025144253562477,0.10676238905868962,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
