strategy,dose_design,sampling_mode,eigenvalue_rank_ascending,fim_eigenvalue_median,fim_eigenvalue_q10,fim_eigenvalue_minimum,watermark,candidate_only_not_for_physical_execution
I_reference_information,N80,independent_source_final,1,0.4026307615225457,0.2773815807411771,0.187675625781648,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,2,5.319009316147962,0.4662514579857061,0.30183645917022545,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,3,80.38324747834359,5.33768602797659,0.3983241905178269,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,4,242.08300831957655,227.4851903448934,54.75481274366828,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,5,269.61671156269796,254.839239012938,202.9317672134097,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,6,373.0804085410661,281.77858260948204,234.50878713257276,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,7,992.1250082256147,889.091079972292,805.4330304878256,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,8,1122.400378899995,1007.6544045289085,905.0510707648573,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,9,1471.8569552366728,1205.1304236209885,1054.051245443072,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,1,0.3648951346280651,0.25935311336158495,0.18734467739383204,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,2,3.973105587826276,0.4150902575912507,0.28748752806509625,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,3,76.4315097241886,3.2570361435268946,0.3784522598641964,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,4,220.90704375972336,203.4113497064567,55.97215171714577,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,5,253.83470992287945,239.07343073040838,182.82147065600307,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,6,368.3993699636649,280.0857544766631,204.5626112010693,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,7,960.8959875982168,836.4303171080627,749.9160888471686,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,8,1077.7454067753501,958.8311021401573,840.4706880163674,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,9,1454.4435414694885,1187.1669731158954,1021.5012165395924,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,1,0.41336494291321174,0.2779297214229155,0.18774777485822117,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,2,5.093055339350984,0.4789547837886092,0.3250225707685789,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,3,82.25855733604593,4.693417105589939,0.3915894772665631,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,4,231.05530839661412,218.3776702882057,55.40519768952579,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,5,257.6570025463368,247.22631911109045,192.39812616358662,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,6,372.8748840767205,274.6719632630202,220.9906677397651,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,7,975.2307408533788,867.6252526304619,777.881558312273,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,8,1088.521550949479,972.4441709576923,890.9438909647196,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,9,1445.4548206053455,1197.0593877864685,1034.3149103777523,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,1,0.41223567866976396,0.2787861818604937,0.1876816595633615,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
