strategy,dose_design,sampling_mode,parameter,variance_ratio_vs_three_anchors,variance_ratio_vs_information_reference,watermark,candidate_only_not_for_physical_execution
I_reference_information,N80,independent_source_final,ethyl_acetate__formation_growth_ug_per_g_sugar,0.967440341339979,1.0000000000000004,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9606737432155695,0.9999999999999997,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_acetate__effective_loss_scale,0.9857879646341302,0.9999999999999991,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.8731263083978033,1.0000000000000224,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9003953157917696,1.0000000000000024,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_octanoate__effective_loss_scale,0.8645730712555545,1.0000000000000002,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.5755018028590433,1.0000000000000002,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.9788737035377058,0.9999999999999996,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,isoamyl_acetate__effective_loss_scale,0.9845360773270613,0.9999999999999998,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,ethyl_acetate__formation_growth_ug_per_g_sugar,1.0000000000000009,1.0336554692508735,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9999999999999996,1.040936121198438,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,ethyl_acetate__effective_loss_scale,0.9999999999999988,1.0144169292745853,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,ethyl_octanoate__formation_growth_ug_per_g_sugar,1.000000000000004,1.1453096652591281,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
