policy,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,within_approved_duration,maximum_trap_loading,vessel_change_required
anchor_18C,1,28.0,32.0,4.0,0.0,-40.0,,,,
anchor_18C,2,32.0,52.0,20.0,0.0,-40.0,,,,
anchor_18C,3,52.0,56.0,4.0,0.0,-40.0,,,,
anchor_18C,4,56.0,72.0,16.0,0.0,-40.0,,,,
anchor_18C,5,72.0,80.0,8.0,0.0,-40.0,,,,
anchor_18C,6,80.0,96.0,16.0,0.0,-40.0,,,,
anchor_18C,7,96.0,104.0,8.0,0.0,-40.0,,,,
anchor_18C,8,104.0,168.0,64.0,0.0,-40.0,,,,
anchor_18C,9,168.0,176.0,8.0,0.0,-40.0,,,,
refined_2_A,1,24.0,28.0,4.0,0.0,-40.0,,,,
refined_2_A,2,28.0,32.0,4.0,0.0,-40.0,,,,
refined_2_A,3,32.0,48.0,16.0,0.0,-40.0,,,,
refined_2_A,4,48.0,52.0,4.0,0.0,-40.0,,,,
refined_2_A,5,52.0,56.0,4.0,0.0,-40.0,,,,
refined_2_A,6,56.0,72.0,16.0,0.0,-40.0,,,,
refined_2_A,7,72.0,80.0,8.0,0.0,-40.0,,,,
refined_2_A,8,80.0,100.0,20.0,0.0,-40.0,,,,
refined_2_A,9,100.0,104.0,4.0,0.0,-40.0,,,,
refined_2_B,1,28.0,32.0,4.0,0.0,-40.0,,,,
refined_2_B,2,32.0,48.0,16.0,0.0,-40.0,,,,
refined_2_B,3,48.0,52.0,4.0,0.0,-40.0,,,,
refined_2_B,4,52.0,56.0,4.0,0.0,-40.0,,,,
refined_2_B,5,56.0,72.0,16.0,0.0,-40.0,,,,
refined_2_B,6,72.0,80.0,8.0,0.0,-40.0,,,,
refined_2_B,7,80.0,96.0,16.0,0.0,-40.0,,,,
refined_2_B,8,96.0,100.0,4.0,0.0,-40.0,,,,
refined_2_B,9,100.0,104.0,4.0,0.0,-40.0,,,,
