policy,sample_number,time_h,local_timestamp,weekday,active_probability,candidate_only_not_for_physical_execution
anchor_18C,1,28.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True
anchor_18C,2,32.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True
anchor_18C,3,52.0,2026-07-22T13:00:00-04:00,Wednesday,1.0,True
anchor_18C,4,56.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True
anchor_18C,5,72.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True
anchor_18C,6,80.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True
anchor_18C,7,96.0,2026-07-24T09:00:00-04:00,Friday,1.0,True
anchor_18C,8,104.0,2026-07-24T17:00:00-04:00,Friday,1.0,True
anchor_18C,9,168.0,2026-07-27T09:00:00-04:00,Monday,0.984375,True
anchor_18C,10,176.0,2026-07-27T17:00:00-04:00,Monday,0.984375,True
refined_2_A,1,24.0,2026-07-21T09:00:00-04:00,Tuesday,1.0,True
refined_2_A,2,28.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True
refined_2_A,3,32.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True
refined_2_A,4,48.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True
refined_2_A,5,52.0,2026-07-22T13:00:00-04:00,Wednesday,1.0,True
refined_2_A,6,56.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True
refined_2_A,7,72.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True
refined_2_A,8,80.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True
refined_2_A,9,100.0,2026-07-24T13:00:00-04:00,Friday,1.0,True
refined_2_A,10,104.0,2026-07-24T17:00:00-04:00,Friday,1.0,True
refined_2_B,1,28.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True
refined_2_B,2,32.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True
refined_2_B,3,48.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True
refined_2_B,4,52.0,2026-07-22T13:00:00-04:00,Wednesday,1.0,True
refined_2_B,5,56.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True
refined_2_B,6,72.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True
refined_2_B,7,80.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True
refined_2_B,8,96.0,2026-07-24T09:00:00-04:00,Friday,1.0,True
refined_2_B,9,100.0,2026-07-24T13:00:00-04:00,Friday,1.0,True
refined_2_B,10,104.0,2026-07-24T17:00:00-04:00,Friday,1.0,True
