policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required
anchor_18C,ethyl_acetate,1,0.0,32.0,32.0,0.0,-40.0,,unbounded_by_hardware,True,305.5207284190293,0.061072284533700616,3274.8161931487584,0.0,305.5207284190293,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,2,32.0,48.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,1736.1767136399342,0.17505414603274883,24765.73603797821,305.5207284190293,2041.6974420589634,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,3,48.0,56.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1448.0865880276451,0.22345005374467775,19128.776202235113,2041.6974420589634,3489.7840300866083,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,4,56.0,72.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3351.8007833000393,1.2279433156423636,41736.42731519506,3489.7840300866083,6841.5848133866475,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,5,72.0,80.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1692.8056834294666,0.7010673514163841,20180.638558284787,6841.5848133866475,8534.390496816115,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,6,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3236.505896244204,1.4343483189859687,40080.07390264928,8534.390496816115,11770.896393060317,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,7,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1475.8747174871917,0.6839601840677574,19092.91901078474,11770.896393060317,13246.77111054751,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,8,104.0,168.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,7021.070133028277,3.3850876641655603,93448.08907736064,13246.77111054751,20267.84124357579,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_acetate,9,168.0,176.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,405.20449464802243,0.14831405883003868,5315.347718206176,20267.84124357579,20673.045738223813,9.094947017729282e-13,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,ethyl_octanoate,1,0.0,32.0,32.0,0.0,-40.0,,unbounded_by_hardware,True,0.24663405352637674,0.04180869887757107,2.1952061980033797,0.0,0.24663405352637674,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
