experiment_id,mix_id,paired_wine_sample_id,timestamp,capture_interval_start,capture_interval_end,capture_interval_h,time_h,volume_a_ml,volume_b_ml,total_condensate_ml,fraction_a,fraction_b,lab_sample_id,paired_wine_gc_lab_sample_id,wine_pair_available
26157,26157-MIX-01,26157-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2034,Lab-26-2035,True
26157,26157-MIX-02,26157-P-08,2026-04-10 08:00:00,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,91.0,20.0,15.0,35.0,0.5714285714285714,0.42857142857142855,Lab-26-2036,Lab-26-2037,True
26157,26157-MIX-03,26157-P-10,2026-04-11 08:00:00,2026-04-10 08:00:00,2026-04-11 08:00:00,24.0,115.0,20.0,20.0,40.0,0.5,0.5,Lab-26-2038,Lab-26-2039,True
26157,26157-MIX-04,26157-P-12,2026-04-12 15:00:00,2026-04-11 08:00:00,2026-04-12 15:00:00,31.0,146.0,16.0,22.0,38.0,0.42105263157894735,0.5789473684210527,Lab-26-2040,Lab-26-2041,True
26157,26157-MIX-05,26157-P-13,2026-04-13 08:00:00,2026-04-12 15:00:00,2026-04-13 08:00:00,17.0,163.0,3.0,6.0,9.0,0.3333333333333333,0.6666666666666666,Lab-26-2042,Lab-26-2043,True
26158,26158-MIX-01,26158-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,5.1,1.5,6.6,0.7727272727272727,0.2272727272727273,Lab-26-2045,Lab-26-2046,True
26158,26158-MIX-02,26158-P-08,2026-04-10 08:00:00,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,91.0,20.0,13.0,33.0,0.6060606060606061,0.3939393939393939,Lab-26-2047,Lab-26-2048,True
26158,26158-MIX-03,26158-P-10,2026-04-11 08:00:00,2026-04-10 08:00:00,2026-04-11 08:00:00,24.0,115.0,22.0,14.0,36.0,0.6111111111111112,0.3888888888888889,Lab-26-2049,Lab-26-2050,True
26158,26158-MIX-04,26158-P-12,2026-04-12 15:00:00,2026-04-11 08:00:00,2026-04-12 15:00:00,31.0,146.0,16.0,19.0,35.0,0.45714285714285713,0.5428571428571428,Lab-26-2051,Lab-26-2052,True
26158,26158-MIX-05,26158-P-13,2026-04-13 08:00:00,2026-04-12 15:00:00,2026-04-13 08:00:00,17.0,163.0,5.0,3.0,8.0,0.625,0.375,Lab-26-2053,Lab-26-2054,True
26159,26159-MIX-01,26159-P-05,2026-04-08 15:00:00,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,50.0,3.0,0.1,3.1,0.9677419354838709,0.03225806451612903,Lab-26-2056,Lab-26-2057,True
26159,26159-MIX-02,26159-P-09,2026-04-11 08:00:00,2026-04-08 15:00:00,2026-04-11 08:00:00,65.0,115.0,22.0,0.0,22.0,1.0,0.0,Lab-26-2058,Lab-26-2059,True
26159,26159-MIX-03,26159-P-11,2026-04-12 08:00:00,2026-04-11 08:00:00,2026-04-12 08:00:00,24.0,139.0,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,Lab-26-2060,Lab-26-2061,True
26159,26159-MIX-04,26159-P-12,2026-04-12 15:00:00,2026-04-12 08:00:00,2026-04-12 15:00:00,7.0,146.0,2.0,2.5,4.5,0.4444444444444444,0.5555555555555556,Lab-26-2062,Lab-26-2063,True
26159,26159-MIX-05,26159-P-15,2026-04-15 08:00:00,2026-04-12 15:00:00,2026-04-15 08:00:00,65.0,211.0,15.0,14.0,29.0,0.5172413793103449,0.4827586206896552,Lab-26-2064,Lab-26-2065,True
26210,26210-MIX-01,26210-P-05,2026-04-19 15:00:00,2026-04-17 16:00:00,2026-04-19 15:00:00,47.0,47.0,7.0,0.1,7.1,0.9859154929577465,0.014084507042253523,Lab-26-2067,Lab-26-2068,True
26210,26210-MIX-02,26210-P-08,2026-04-21 08:00:00,2026-04-19 15:00:00,2026-04-21 08:00:00,41.0,88.0,22.5,10.0,32.5,0.6923076923076923,0.3076923076923077,Lab-26-2069,Lab-26-2070,True
26210,26210-MIX-03,26210-P-10,2026-04-22 08:00:00,2026-04-21 08:00:00,2026-04-22 08:00:00,24.0,112.0,21.0,16.0,37.0,0.5675675675675675,0.43243243243243246,Lab-26-2071,Lab-26-2072,True
26210,26210-MIX-04,26210-P-12,2026-04-23 15:00:00,2026-04-22 08:00:00,2026-04-23 15:00:00,31.0,143.0,18.0,28.0,46.0,0.391304347826087,0.6086956521739131,Lab-26-2073,Lab-26-2074,True
26210,26210-MIX-05,26210-P-13,2026-04-24 08:00:00,2026-04-23 15:00:00,2026-04-24 08:00:00,17.0,160.0,4.0,9.0,13.0,0.3076923076923077,0.6923076923076923,Lab-26-2075,Lab-26-2076,True
26210,26210-MIX-06,26210-P-14,2026-04-25 11:00:00,2026-04-24 08:00:00,2026-04-25 11:00:00,27.0,187.0,5.0,5.0,10.0,0.5,0.5,Lab-26-2077,Lab-26-2078,True
26211,26211-MIX-01,26211-P-05,2026-04-19 15:00:00,2026-04-17 16:00:00,2026-04-19 15:00:00,47.0,47.0,3.0,0.1,3.1,0.9677419354838709,0.03225806451612903,Lab-26-2080,Lab-26-2081,True
26211,26211-MIX-02,26211-P-08,2026-04-21 08:00:00,2026-04-19 15:00:00,2026-04-21 08:00:00,41.0,88.0,23.0,3.0,26.0,0.8846153846153846,0.11538461538461539,Lab-26-2082,Lab-26-2083,True
26211,26211-MIX-03,26211-P-10,2026-04-22 08:00:00,2026-04-21 08:00:00,2026-04-22 08:00:00,24.0,112.0,21.0,12.0,33.0,0.6363636363636364,0.36363636363636365,Lab-26-2084,Lab-26-2085,True
26211,26211-MIX-04,26211-P-12,2026-04-23 15:00:00,2026-04-22 08:00:00,2026-04-23 15:00:00,31.0,143.0,18.0,36.0,54.0,0.3333333333333333,0.6666666666666666,Lab-26-2086,Lab-26-2087,True
26211,26211-MIX-05,26211-P-13,2026-04-24 08:00:00,2026-04-23 15:00:00,2026-04-24 08:00:00,17.0,160.0,6.0,6.0,12.0,0.5,0.5,Lab-26-2088,Lab-26-2089,True
