Código evento,Código ensayo,Escala,Fecha,Hora,Fecha-hora,Tipo evento,Producto/Nutriente,Dosis,Unidad,Estado fermentación,Responsable,Estado,Fecha de ejecución,Observaciones,experiment_id,timestamp_original,timestamp,sampling_start,sampling_end,inside_sampling_window,calibration_include
EV-26134-01,26134,Piloto,2026-03-25,10:00:00,2026-03-25 16:00:00,Siembra,Levadura Zymaflore X5,116,g,Pre-inóculo,Equipo Bodega,Realizado,2026-03-25 16:00:00,Inoculación del ensayo.,26134,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26134-02,26134,Piloto,2026-03-25,10:00:00,2026-03-25 16:00:00,Pulso nutricional 1,Springferm Xtrem + FDA,116 + 46,g,Inoculación,Equipo Bodega,Realizado,2026-03-25 16:00:00,Aplicar 50% del suplemento total al inóculo; mantener igual en A/B/C.,26134,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26135-01,26135,Piloto,2026-03-25,10:00:00,2026-03-25 16:00:00,Siembra,Levadura Zymaflore X5,116,g,Pre-inóculo,Equipo Bodega,Realizado,2026-03-25 16:00:00,Inoculación del ensayo.,26135,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26135-02,26135,Piloto,2026-03-25,10:00:00,2026-03-25 16:00:00,Pulso nutricional 1,Springferm Xtrem + FDA,116 + 46,g,Inoculación,Equipo Bodega,Realizado,2026-03-25 16:00:00,Aplicar 50% del suplemento total al inóculo; mantener igual en A/B/C.,26135,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26136-01,26136,Piloto,2026-03-25,10:00:00,2026-03-25 16:00:00,Siembra,Levadura Zymaflore X5,116,g,Pre-inóculo,Equipo Bodega,Realizado,2026-03-25 16:00:00,Inoculación del ensayo.,26136,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26136-02,26136,Piloto,2026-03-25,10:00:00,2026-03-25 16:00:00,Pulso nutricional 1,Springferm Xtrem + FDA,116 + 46,g,Inoculación,Equipo Bodega,Realizado,2026-03-25 16:00:00,Aplicar 50% del suplemento total al inóculo; mantener igual en A/B/C.,26136,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26134-03,26134,Piloto,2026-03-27,10:00:00,2026-03-27 16:00:00,Pulso nutricional 2,Springferm Xtrem + FDA,116 + 46,g,Densidad 1040,Equipo Bodega,Realizado,,"Aplicar 50% restante a densidad 1040; fecha estimada, ajustar por densidad real.",26134,2026-03-27 16:00:00,2026-03-27 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26135-03,26135,Piloto,2026-03-27,10:00:00,2026-03-27 16:00:00,Pulso nutricional 2,Springferm Xtrem + FDA,116 + 46,g,Densidad 1040,Equipo Bodega,Realizado,,"Aplicar 50% restante a densidad 1040; fecha estimada, ajustar por densidad real.",26135,2026-03-27 16:00:00,2026-03-27 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26136-03,26136,Piloto,2026-03-27,10:00:00,2026-03-27 16:00:00,Pulso nutricional 2,Springferm Xtrem + FDA,116 + 46,g,Densidad 1040,Equipo Bodega,Realizado,,"Aplicar 50% restante a densidad 1040; fecha estimada, ajustar por densidad real.",26136,2026-03-27 16:00:00,2026-03-27 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
EV-26136-04,26136,Piloto,2026-03-28,10:00:00,2026-03-28 16:00:00,Cambio temperatura 1,Setpoint 18 °C,18,°C,Cambio térmico 1,Equipo Bodega,Realizado,,Fin Fase 1; inicio Fase 2 (B).,26136,2026-03-28 16:00:00,2026-03-28 16:00:00,2026-03-25 16:00:00,2026-04-02 08:00:00,True,True
