,mu0,qN,betaG0,betaF0,qEG,qEF,iG,qXG,qXF,sN,sG,sF
mu0,44854.94115058581,-38447.90030566064,32638.56615223838,20711.79485519594,-14213.530495117875,-2436.6941568343004,-7052.270798193127,-498.18175803136603,-144.44972770641124,620.899393528332,8216.701952465151,4190.813916434623
qN,-38447.90030566064,34797.37322740806,-27311.46482369396,-17358.861947121357,11607.810798833638,1176.7534782650653,6181.9919360819185,408.2725970444164,92.3699608868999,-396.6694434450526,-7158.868981223457,-3719.8817135805916
betaG0,32638.56615223838,-27311.46482369396,51363.59385853076,35670.61537576763,-38236.74496232604,-20285.671465586012,-5478.1411934028165,-1332.843116333857,-777.4258698890991,363.6606252127491,6550.524050022106,4035.3105690736584
betaF0,20711.79485519594,-17358.861947121357,35670.61537576763,25312.312265283592,-27483.475055873223,-15343.460634174422,-3435.6004369086495,-947.1543015529431,-577.9589748049787,210.81467592826556,4295.580359378674,2698.8628975591882
qEG,-14213.530495117875,11607.810798833638,-38236.74496232604,-27483.475055873223,34054.776664695586,18766.780478898192,2749.3467443535037,1188.7623291567504,688.0796045751847,-94.00846245896383,-2922.4304789609487,-2615.437455389022
qEF,-2436.6941568343004,1176.7534782650653,-20285.671465586012,-15343.460634174422,18766.780478898192,14246.704014973871,161.9050423086029,644.9994101119323,531.8574413452902,-12.204056292663854,-1044.3664248007403,-589.9129581544462
iG,-7052.270798193127,6181.9919360819185,-5478.1411934028165,-3435.6004369086495,2749.3467443535037,161.9050423086029,1261.6831224701746,96.51231886339599,3.817506948120764,-85.7176017334171,-1243.1045620695218,-744.9660303997266
qXG,-498.18175803136603,408.2725970444164,-1332.843116333857,-947.1543015529431,1188.7623291567504,644.9994101119323,96.51231886339599,43.50739600893668,24.544210238577417,-2.828592376579084,-106.63916450728145,-90.857425101029
qXF,-144.44972770641124,92.3699608868999,-777.4258698890991,-577.9589748049787,688.0796045751847,531.8574413452902,3.817506948120764,24.544210238577417,23.457097724232817,-0.5648555953754063,-56.71963873429728,-25.66606995392317
sN,620.899393528332,-396.6694434450526,363.6606252127491,210.81467592826556,-94.00846245896383,-12.204056292663854,-85.7176017334171,-2.828592376579084,-0.5648555953754063,25.59824952936696,99.23912972755488,41.01084891442328
sG,8216.701952465151,-7158.868981223457,6550.524050022106,4295.580359378674,-2922.4304789609487,-1044.3664248007403,-1243.1045620695218,-106.63916450728145,-56.71963873429728,99.23912972755488,1680.077232099355,761.2950113833188
sF,4190.813916434623,-3719.8817135805916,4035.3105690736584,2698.8628975591882,-2615.437455389022,-589.9129581544462,-744.9660303997266,-90.857425101029,-25.66606995392317,41.01084891442328,761.2950113833188,550.6803510387947
