,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,56430.29651543123,-35975.56984884893,-9679.158903641946,-3213.585482603734,25650.217971571496,27603.77839055145,-6445.432884457537,-25729.05877173801,55.247268255896465,5586.15657928812,5.56495985968467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qN,-35975.56984884893,33653.0935274053,8075.73358191713,3099.2885449770106,-17859.04852114655,-22166.840457110964,4886.662668889732,18625.939793802656,63.66474996833621,-3229.7345820644878,-3.238954361718205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaG0,-9679.158903641946,8075.73358191713,29526.4647763958,16528.46621598729,-29772.851110535892,-21621.48231432118,1230.618302683075,5220.565406042282,1780.756375307822,-3765.263125757086,-3.9064523336507397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaF0,-3213.585482603734,3099.2885449770106,16528.46621598729,10034.99047538867,-15039.752781923613,-13068.334998322889,761.7668088716096,1439.0917895531575,1102.3290268410528,-967.1159655546254,-0.9985354961143128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEG,25650.217971571496,-17859.04852114655,-29772.851110535892,-15039.752781923613,64849.94650070877,21037.662869585816,-1328.7168077040171,-15007.457883478546,-1293.1338595888628,-13047.46541602697,-16.8408129256265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEF,27603.77839055145,-22166.840457110964,-21621.48231432118,-13068.334998322889,21037.662869585816,46405.84220656747,-9063.54552769247,-18709.873065568805,-1117.725053220953,-97.39788616615091,-0.13727878751425573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iG,-6445.432884457537,4886.662668889732,1230.618302683075,761.7668088716096,-1328.7168077040171,-9063.54552769247,2444.5760926797902,4454.565857915698,-8.396799423896013,391.02778568213125,0.4013615491604003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iE,-25729.05877173801,18625.939793802656,5220.565406042282,1439.0917895531575,-15007.457883478546,-18709.873065568805,4454.565857915698,17686.780828764196,-228.56415289944593,-3628.143792826722,-3.687874422882468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kd0,55.247268255896465,63.66474996833621,1780.756375307822,1102.3290268410528,-1293.1338595888628,-1117.725053220953,-8.396799423896013,-228.56415289944593,701.5102893823243,-35.17390417050659,-0.04421589790885715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,5586.15657928812,-3229.7345820644878,-3765.263125757086,-967.1159655546254,-13047.46541602697,-97.39788616615091,391.02778568213125,-3628.143792826722,-35.17390417050659,24153.525991923434,28.051959962914527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
