,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,26653.66552423218,399.57129651033216,-25512.441453323387,118.43710247711103,49.9709317208944,17410.340802663137,3913.006791847592,6118.498316730187,874.5968320498629,3320.1717056562943,713.1753620527533,-4225.179906440596,-14118.413380600154,-50.034692964853036,107.32957451184132
sN,399.57129651033216,10.543436514643206,-365.7506012291385,2.3237015121718847,0.810185280113883,276.7183975692683,55.543722829744375,88.75870442084104,11.583927491029211,55.15438834769277,8.548269909367471,-62.83286356090341,-198.8253065577614,-0.42915663512679125,1.5008102026567092
qN,-25512.441453323387,-365.7506012291385,24515.49265948766,-118.47081982181932,-56.24730516650182,-16380.60305439056,-3750.274776144893,-5795.022318341629,-845.5826143689328,-3347.9290955350452,-787.321682113345,4062.142300311925,13558.925359090528,48.92920111696248,-112.18369485437242
qXG,118.43710247711103,2.3237015121718847,-118.47081982181932,6.934852235799362,1.0410298715999158,-65.51256539155573,20.869469466520933,-12.442335652202935,0.4006429018349653,186.0101666563251,14.136900411627055,-0.4890619343336786,-58.86348263570023,-0.1478311198342031,4.476507751586302
qXF,49.9709317208944,0.810185280113883,-56.24730516650182,1.0410298715999158,7.757142120436262,-39.56875008384222,-2.6079829223499167,-20.2154111615691,7.749680354392342,25.177381939088562,85.65290509630226,-42.378491719789224,-24.35440091450029,-0.09152902196018092,5.164506337316881
betaG0,17410.340802663137,276.7183975692683,-16380.60305439056,-65.51256539155573,-39.56875008384222,15779.700976916092,2530.163808031585,5258.6289985831445,599.1996459503755,-2102.5463475030156,-497.8370316026253,-2975.564385708026,-9284.404871815248,-28.267971918072966,-72.05125651211004
sG,3913.006791847592,55.543722829744375,-3750.274776144893,20.869469466520933,-2.6079829223499167,2530.163808031585,609.2881349573705,927.5110536553304,117.42884406404758,628.2231119080811,-26.33599683958146,-551.1116977215554,-2113.9724829566176,-7.8300781758366655,11.572467515606423
betaF0,6118.498316730187,88.75870442084104,-5795.022318341629,-12.442335652202935,-20.2154111615691,5258.6289985831445,927.5110536553304,1822.2237131853892,200.71935949184686,-410.33068730741826,-262.7459718528166,-961.2383091552448,-3311.589829679662,-11.60399292128468,-23.43274444440975
sF,874.5968320498629,11.583927491029211,-845.5826143689328,0.4006429018349653,7.749680354392342,599.1996459503755,117.42884406404758,200.71935949184686,39.706467819751445,-1.365975600303062,106.77334911799817,-189.15386059009117,-475.8888806081974,-1.9451217850396423,5.9115168470378086
qEG,3320.1717056562943,55.15438834769277,-3347.9290955350452,186.0101666563251,25.177381939088562,-2102.5463475030156,628.2231119080811,-410.33068730741826,-1.365975600303062,5500.985313843125,355.5117890298967,51.08302235570518,-1696.1705465538948,-5.563512922492304,132.9822432197463
qEF,713.1753620527533,8.548269909367471,-787.321682113345,14.136900411627055,85.65290509630226,-497.8370316026253,-26.33599683958146,-262.7459718528166,106.77334911799817,355.5117890298967,1119.8083780221307,-539.0668512734579,-363.95279826209594,-1.9108154053710644,69.65544280198714
iG,-4225.179906440596,-62.83286356090341,4062.142300311925,-0.4890619343336786,-42.378491719789224,-2975.564385708026,-551.1116977215554,-961.2383091552448,-189.15386059009117,51.08302235570518,-539.0668512734579,936.7625643847898,2257.026556544249,7.714673860395255,-28.608234626464984
iE,-14118.413380600154,-198.8253065577614,13558.925359090528,-58.86348263570023,-24.35440091450029,-9284.404871815248,-2113.9724829566176,-3311.589829679662,-475.8888806081974,-1696.1705465538948,-363.95279826209594,2257.026556544249,7622.623357742126,27.747994545520537,-55.29460336689993
Kd0,-50.034692964853036,-0.42915663512679125,48.92920111696248,-0.1478311198342031,-0.09152902196018092,-28.267971918072966,-7.8300781758366655,-11.60399292128468,-1.9451217850396423,-5.563512922492304,-1.9108154053710644,7.714673860395255,27.747994545520537,0.5394688160283182,-0.2394322445039824
m0,107.32957451184132,1.5008102026567092,-112.18369485437242,4.476507751586302,5.164506337316881,-72.05125651211004,11.572467515606423,-23.43274444440975,5.9115168470378086,132.9822432197463,69.65544280198714,-28.608234626464984,-55.29460336689993,-0.2394322445039824,6.657337394477698
