,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,76324.68839153042,727.0045005597289,-60060.01823537745,432.9178709622358,-558.7486290056538,45516.77490934603,8536.066408568078,7734.888384514815,2973.583440889298,12617.85016019236,-1605.8931384992256,-5517.123742059733,-42772.347547329366,-2356.7189086228154,489.9931191269625
sN,727.0045005597289,16.36378718928219,-399.9710897830196,4.641032872487204,-4.460047574712534,383.4458033748891,62.697247561885774,54.28614050145333,22.287423297781817,102.94211764078958,-12.874927172453377,-40.385957301470725,-307.516582136892,-11.872282103846135,3.720313863039064
qN,-60060.01823537745,-399.9710897830196,50650.8084715467,-361.36179463343507,429.33396091522104,-35663.395713257494,-7084.287057256974,-6328.396407427509,-2452.887009991364,-11199.41766429674,1168.681065203369,4572.334880845386,35656.08391349815,2082.6751390046675,-448.00196163547145
qXG,432.9178709622358,4.641032872487204,-361.36179463343507,29.304369049439973,5.402733301412528,-400.5105546668417,49.74886726130981,-39.92338790031476,-7.01972649622096,766.3790760537149,29.35402458606642,12.419643274440064,-210.19589337573433,-10.533202161929088,31.991451897916395
qXF,-558.7486290056538,-4.460047574712534,429.33396091522104,5.402733301412528,21.9596405616751,-656.7359025124737,-70.43576803249424,-126.03584342588195,-3.0928467638755124,154.3813508963151,115.97618069498819,5.978520674904378,323.6915328784339,14.460474461244637,10.45899378330241
betaG0,45516.77490934603,383.4458033748891,-35663.395713257494,-400.5105546668417,-656.7359025124737,47742.67536316939,5103.8940302501915,7361.098641805443,2309.248337241672,-12396.96486168012,-2731.0621673844685,-4255.528244791486,-26494.977533382327,-1290.0845251530068,-604.8050360430166
sG,8536.066408568078,62.697247561885774,-7084.287057256974,49.74886726130981,-70.43576803249424,5103.8940302501915,1047.6762378618507,981.7971629781945,326.0591178201327,1621.6994315805464,-274.6463695055165,-613.1315203503962,-5191.4009689325285,-333.29399185965775,61.218431728922454
betaF0,7734.888384514815,54.28614050145333,-6328.396407427509,-39.92338790031476,-126.03584342588195,7361.098641805443,981.7971629781945,1379.3769696642914,308.5108637456041,-1187.1050806965118,-695.3762356182102,-585.1808916502017,-4870.248779571157,-321.1062584684679,-74.25761475072808
sF,2973.583440889298,22.287423297781817,-2452.887009991364,-7.01972649622096,-3.0928467638755124,2309.248337241672,326.0591178201327,308.5108637456041,223.04513591504923,-229.96981222964902,149.5781264734536,-414.5631131693373,-1818.7869075789922,-116.89497590614097,-1.6906463513799574
qEG,12617.85016019236,102.94211764078958,-11199.41766429674,766.3790760537149,154.3813508963151,-12396.96486168012,1621.6994315805464,-1187.1050806965118,-229.96981222964902,23295.886806315386,832.5355099226161,406.7413999747483,-6825.508253714044,-429.7545551155821,1004.5406859047554
qEF,-1605.8931384992256,-12.874927172453377,1168.681065203369,29.35402458606642,115.97618069498819,-2731.0621673844685,-274.6463695055165,-695.3762356182102,149.5781264734536,832.5355099226161,988.490786589081,-277.5315375624615,956.480118256824,43.16846378396639,75.52292446831221
iG,-5517.123742059733,-40.385957301470725,4572.334880845386,12.419643274440064,5.978520674904378,-4255.528244791486,-613.1315203503962,-585.1808916502017,-414.5631131693373,406.7413999747483,-277.5315375624615,774.9880907062579,3415.1225622329803,223.84186867599522,2.20552767497802
iE,-42772.347547329366,-307.516582136892,35656.08391349815,-210.19589337573433,323.6915328784339,-26494.977533382327,-5191.4009689325285,-4870.248779571157,-1818.7869075789922,-6825.508253714044,956.480118256824,3415.1225622329803,26132.079223523295,1655.52795849686,-269.9598641188942
Kd0,-2356.7189086228154,-11.872282103846135,2082.6751390046675,-10.533202161929088,14.460474461244637,-1290.0845251530068,-333.29399185965775,-321.1062584684679,-116.89497590614097,-429.7545551155821,43.16846378396639,223.84186867599522,1655.52795849686,210.5835048059905,-18.6397306044846
m0,489.9931191269625,3.720313863039064,-448.00196163547145,31.991451897916395,10.45899378330241,-604.8050360430166,61.218431728922454,-74.25761475072808,-1.6906463513799574,1004.5406859047554,75.52292446831221,2.20552767497802,-269.9598641188942,-18.6397306044846,45.40237987304297
