,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,596.571265836722,4.817436178060244,-599.1154784029492,3.204104067717831,1.4235808379408526,2610.546350091364,520.9725624171284,888.32284344875,136.56128268993172,485.29532544710474,116.86472211398271,-575.4667612904864,-2786.4961436508183,-12.67533182696356,19.289689447335327
sN,4.817436178060244,0.05526393624787479,-4.838439445493326,0.03065861029864918,0.014012083950010785,22.0147249204628,4.28396005987801,7.271921739578411,1.0856798094447397,4.042877162928963,0.9546772381585035,-4.880005762512859,-22.6730108669559,-0.08893948434502202,0.1558325341643505
qN,-599.1154784029492,-4.838439445493326,602.1572084763657,-3.4395135146146227,-1.6943631293132873,-2583.9974694334646,-522.0400923433317,-878.8604679977656,-137.70683501000505,-519.5143296723187,-135.19725595668163,580.761120556246,2797.5848173757477,12.7422805777328,-21.26682234319296
qXG,3.204104067717831,0.03065861029864918,-3.4395135146146227,0.21284902327118105,0.03618651767952329,-10.225735019402716,3.6048074778130745,-2.3492431792488557,0.12953842774536026,31.47591809725644,2.809193195235603,-0.014992434049577733,-14.683342731509251,-0.06590726998555857,0.9397164415622856
qXF,1.4235808379408526,0.014012083950010785,-1.6943631293132873,0.03618651767952329,0.24084117712426353,-6.625211288520055,-0.6696609541632473,-3.935611749269959,1.4844278164944078,4.474954685432201,15.935568896628505,-7.4293652872668385,-6.2490320219522575,-0.03743994881125996,1.1038958592847496
betaG0,2610.546350091364,22.0147249204628,-2583.9974694334646,-10.225735019402716,-6.625211288520055,15599.068002345208,2283.0240290141273,5210.836478582162,641.4384156221669,-1846.7162381686653,-473.13275256301046,-2719.533070167648,-12540.02622321319,-61.66678666355715,-75.8461626817523
sG,520.9725624171284,4.28396005987801,-522.0400923433317,3.6048074778130745,-0.6696609541632473,2283.0240290141273,488.8917768355433,803.7427400756687,103.54767926673698,574.8683916561712,-48.83059037461384,-429.7439168211417,-2454.1087569710417,-10.15350389089501,10.866045756267678
betaF0,888.32284344875,7.271921739578411,-878.8604679977656,-2.3492431792488557,-3.935611749269959,5210.836478582162,803.7427400756687,1777.7398221753144,202.73136518440322,-437.9468793459165,-295.60358129199653,-841.5258855839295,-4263.118189409268,-20.54298568989141,-29.84274616327457
sF,136.56128268993172,1.0856798094447397,-137.70683501000505,0.12953842774536026,1.4844278164944078,641.4384156221669,103.54767926673698,202.73136518440322,43.011799330391455,4.837020117142219,116.11131835825208,-181.82965951298198,-661.659602892257,-4.09013738829973,7.53561985804402
qEG,485.29532544710474,4.042877162928963,-519.5143296723187,31.47591809725644,4.474954685432201,-1846.7162381686653,574.8683916561712,-437.9468793459165,4.837020117142219,5170.426099773401,363.8077144346315,96.590253096733,-2257.866393359079,-13.029915243337118,150.04015473939182
qEF,116.86472211398271,0.9546772381585035,-135.19725595668163,2.809193195235603,15.935568896628505,-473.13275256301046,-48.83059037461384,-295.60358129199653,116.11131835825208,363.8077144346315,1217.0182154385327,-554.4279283409064,-531.7900157481733,-4.273463350615602,86.64964053105264
iG,-575.4667612904864,-4.880005762512859,580.761120556246,-0.014992434049577733,-7.4293652872668385,-2719.533070167648,-429.7439168211417,-841.5258855839295,-181.82965951298198,96.590253096733,-554.4279283409064,828.2128700090997,2691.1777668625296,10.671783303693775,-32.692151312353374
iE,-2786.4961436508183,-22.6730108669559,2797.5848173757477,-14.683342731509251,-6.2490320219522575,-12540.02622321319,-2454.1087569710417,-4263.118189409268,-661.659602892257,-2257.866393359079,-531.7900157481733,2691.1777668625296,13414.14510944862,74.58640046351168,-89.32619974674655
Kd0,-12.67533182696356,-0.08893948434502202,12.7422805777328,-0.06590726998555857,-0.03743994881125996,-61.66678666355715,-10.15350389089501,-20.54298568989141,-4.09013738829973,-13.029915243337118,-4.273463350615602,10.671783303693775,74.58640046351168,1.3836315322353037,-0.6185858910673889
m0,19.289689447335327,0.1558325341643505,-21.26682234319296,0.9397164415622856,1.1038958592847496,-75.8461626817523,10.866045756267678,-29.84274616327457,7.53561985804402,150.04015473939182,86.64964053105264,-32.692151312353374,-89.32619974674655,-0.6185858910673889,9.241891146726868
