direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,0.0013243364566827539,1.312297057275434e-08,"Kf0, Kg0, Yxg, m0, Yxf","+0.958, +0.285, -0.003, +0.001, +0.001","0.958, 0.285, 0.003, 0.001, 0.001"
2,0.002591808335718734,2.568246486625567e-08,"Kg0, Kf0, Kig0, Yxf, betaG0","-0.958, +0.285, +0.006, +0.005, -0.002","0.958, 0.285, 0.006, 0.005, 0.002"
3,5.350284714336567,5.3016458550091393e-05,"Yxg, Yxf, Kig0, m0, betaG0","-0.798, +0.474, +0.351, -0.095, -0.051","0.798, 0.474, 0.351, 0.095, 0.051"
4,7.885045613815075,7.813363517463636e-05,"Kn0, mu0, Yxf, betaG0, Kig0","+0.890, +0.454, +0.026, -0.022, +0.017","0.890, 0.454, 0.026, 0.022, 0.017"
5,16.170623655123684,0.00016023618265468293,"Kig0, Yxg, Yxf, m0, betaG0","+0.547, +0.511, +0.500, +0.243, -0.222","0.547, 0.511, 0.500, 0.243, 0.222"
6,72.00041605044078,0.0007134586806004885,"Yxf, Kig0, Yef, Yxg, m0","+0.695, -0.528, -0.291, +0.216, -0.215","0.695, 0.528, 0.291, 0.216, 0.215"
7,116.02672217583866,0.001149719358010106,"m0, Kig0, Kie0, Yxg, betaF0","+0.767, -0.424, +0.244, -0.208, -0.185","0.767, 0.424, 0.244, 0.208, 0.185"
8,282.9279556302691,0.0028035588820424545,"betaG0, m0, Yxn, betaF0, Kie0","+0.538, +0.449, -0.426, +0.417, -0.241","0.538, 0.449, 0.426, 0.417, 0.241"
9,291.96814131636785,0.0028931389054060548,"Yef, betaF0, Yeg, betaG0, Kig0","+0.545, +0.528, -0.523, -0.287, -0.222","0.545, 0.528, 0.523, 0.287, 0.222"
10,651.3332083753414,0.006454120086656212,"Kie0, Yxn, mu0, betaG0, Yeg","+0.738, -0.543, -0.247, -0.159, -0.154","0.738, 0.543, 0.247, 0.159, 0.154"
11,3346.739303971264,0.03316314459144736,"mu0, Kn0, Yxn, Yef, betaF0","-0.771, +0.388, +0.294, +0.251, -0.248","0.771, 0.388, 0.294, 0.251, 0.248"
12,6094.9727957850455,0.06039564057699703,"betaG0, Yef, betaF0, mu0, Yxn","-0.544, -0.483, +0.468, -0.286, +0.228","0.544, 0.483, 0.468, 0.286, 0.228"
13,34634.151841998515,0.3431929651572891,"Yeg, Yef, Yxn, betaF0, m0","+0.776, +0.497, -0.209, +0.206, -0.200","0.776, 0.497, 0.209, 0.206, 0.200"
14,100917.42942960764,1.0,"Yxn, Kie0, betaG0, betaF0, Kig0","-0.575, -0.558, -0.426, -0.377, -0.124","0.575, 0.558, 0.426, 0.377, 0.124"
