direction,fim_eigenvalue,relative_eigenvalue,singular_value,near_null,condition_number
1,5.4132712066580005e-20,1.3972119819325528e-20,2.3266437644508453e-10,True,1253871.2666332591
2,3.0899007821414023e-06,7.9753003885724e-07,0.0017578113613642967,False,1253871.2666332591
3,1.289053131042414e-05,3.3271572978366806e-06,0.003590338606653158,False,1253871.2666332591
4,1.572473440617319e-05,4.058689558725506e-06,0.003965442523372794,False,1253871.2666332591
5,2.1782224928685672e-05,5.622180101761222e-06,0.004667143122798536,False,1253871.2666332591
6,6.696441312566035e-05,1.728409252194434e-05,0.008183178668809594,False,1253871.2666332591
7,0.00014682926932037003,3.7897900652104505e-05,0.012117312792874913,False,1253871.2666332591
8,0.0005096061680962182,0.00013153374677681378,0.02257445831235421,False,1253871.2666332591
9,0.0005155954121266535,0.00013307962231169366,0.022706726142855856,False,1253871.2666332591
10,0.0011007714811936355,0.0002841186122361151,0.03317787638161363,False,1253871.2666332591
11,0.04315827179611882,0.011139522143075342,0.2077456901986629,False,1253871.2666332591
12,0.06168354626526108,0.01592105524362263,0.2483617246382,False,1253871.2666332591
13,0.1821441697402626,0.047012981002547805,0.426783516247128,False,1253871.2666332591
14,0.4139956328044454,0.10685584308258457,0.6434249239844889,False,1253871.2666332591
15,3.8743378074747383,1.0,1.9683337642469934,False,1253871.2666332591
