direction,fim_eigenvalue,relative_eigenvalue,singular_value,near_null,condition_number
1,0.0013243364566827539,1.312297057275434e-08,0.03639143383658789,False,76202258.81449288
2,0.002591808335718734,2.568246486625567e-08,0.05090980588961948,False,76202258.81449288
3,5.350284714336567,5.3016458550091393e-05,2.3130682467961394,False,76202258.81449288
4,7.885045613815075,7.813363517463636e-05,2.808032338456072,False,76202258.81449288
5,16.170623655123684,0.00016023618265468293,4.021271397844677,False,76202258.81449288
6,72.00041605044078,0.0007134586806004885,8.485305890210487,False,76202258.81449288
7,116.02672217583866,0.001149719358010106,10.771570088702884,False,76202258.81449288
8,282.9279556302691,0.0028035588820424545,16.82046240833673,False,76202258.81449288
9,291.96814131636785,0.0028931389054060548,17.087075270986777,False,76202258.81449288
10,651.3332083753414,0.006454120086656212,25.521230541949606,False,76202258.81449288
11,3346.739303971264,0.03316314459144736,57.851009532861774,False,76202258.81449288
12,6094.9727957850455,0.06039564057699703,78.07030674837294,False,76202258.81449288
13,34634.151841998515,0.3431929651572891,186.1025304556564,False,76202258.81449288
14,100917.42942960764,1.0,317.67503746691784,False,76202258.81449288
