,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,23123.92969820628,632.943636799281,-17287.26262923131,-122.2332787877452,-88.70756168083038,11934.063151825982,2032.6231881991716,9310.323813699353,1511.15026407186,-3472.0991851086246,-1569.738532360492,-3099.8101247895993,-8618.881536383422,-4.448787377422516e-10,-186.4570626173727
sN,632.943636799281,41.1964435566847,-329.4551728066595,2.078030778447459,0.6999891332468076,255.10315326428088,53.14597978398111,170.9473383257473,28.555088632788344,-4.258739870180781,-2.3992061055869423,-79.30265930666258,-204.4489351520822,8.164146301899972e-12,-0.4963534423979642
qN,-17287.26262923131,-329.4551728066595,14923.431045838919,-80.58390715378593,-113.79865076767463,-5426.697013346744,-1524.3165107801665,-3563.509678363855,-1059.9732586111327,-873.0024669750608,-2206.4735615004615,2322.2073803271123,6412.487262146906,-6.46260882608203e-09,-176.00682867207615
qXG,-122.2332787877452,2.078030778447459,-80.58390715378593,90.44485991256045,80.14810762246458,-1714.0447007054954,-11.869145089248311,-1695.3380896628682,-68.26949521444931,1757.05504630945,1523.6233876097888,42.98299980206735,142.3687872116612,3.1740160781543504e-09,145.55749382117634
qXF,-88.70756168083038,0.6999891332468076,-113.79865076767463,80.14810762246458,84.4909040899349,-1606.4666322501225,-19.0284872693194,-1605.484320063877,-49.23507711193889,1596.1893711841722,1522.676466771889,8.416423727088716,111.0194404086702,3.1031051870516594e-09,141.74150666059572
betaG0,11934.063151825982,255.10315326428088,-5426.697013346744,-1714.0447007054954,-1606.4666322501225,38714.67553491919,1285.6712368675953,37388.221744832386,1883.0225336474186,-34817.709550905456,-30974.065840560932,-2176.6294067055233,-6789.896268265372,-6.485589697410884e-08,-2937.098288942548
sG,2032.6231881991716,53.14597978398111,-1524.3165107801665,-11.869145089248311,-19.0284872693194,1285.6712368675953,234.87815373897445,1024.5893932921865,142.56847376078255,-338.98400870290897,-290.2776425988271,-300.48749498084703,-901.0226688811808,-3.4210455476627186e-10,-27.11506298894318
betaF0,9310.323813699353,170.9473383257473,-3563.509678363855,-1695.3380896628682,-1605.484320063877,37388.221744832386,1024.5893932921865,36925.11666554999,1730.5346437856572,-34722.97398105121,-31443.74141923693,-1722.6958135940044,-5771.815506927762,-6.982294052918411e-08,-2968.525653939794
sF,1511.15026407186,28.555088632788344,-1059.9732586111327,-68.26949521444931,-49.23507711193889,1883.0225336474186,142.56847376078255,1730.5346437856572,200.18575726825014,-1404.01218508477,-925.325813901211,-266.1241584054374,-768.3471142810499,-1.699018187097275e-09,-95.07587470021238
qEG,-3472.0991851086246,-4.258739870180781,-873.0024669750608,1757.05504630945,1596.1893711841722,-34817.709550905456,-338.98400870290897,-34722.97398105121,-1404.01218508477,35110.26695595089,31067.795086754162,963.3227476191025,3266.0013865993947,6.631324953396332e-08,2950.8365662056094
qEF,-1569.738532360492,-2.3992061055869423,-2206.4735615004615,1523.6233876097888,1522.676466771889,-30974.065840560932,-290.2776425988271,-31443.74141923693,-925.325813901211,31067.795086754162,29760.51781951923,351.04431650667004,2068.8893634850583,6.801354194672116e-08,2770.8569804602766
iG,-3099.8101247895993,-79.30265930666258,2322.2073803271123,42.98299980206735,8.416423727088716,-2176.6294067055233,-300.48749498084703,-1722.6958135940044,-266.1241584054374,963.3227476191025,351.04431650667004,563.2131315295003,1404.0412569313007,8.005746322504652e-10,46.29714391761818
iE,-8618.881536383422,-204.4489351520822,6412.487262146906,142.3687872116612,111.0194404086702,-6789.896268265372,-901.0226688811808,-5771.815506927762,-768.3471142810499,3266.0013865993947,2068.8893634850583,1404.0412569313007,4039.4670652008645,3.543585376435391e-09,213.40165676041605
Kd0,-4.448787377422516e-10,8.164146301899972e-12,-6.46260882608203e-09,3.1740160781543504e-09,3.1031051870516594e-09,-6.485589697410884e-08,-3.4210455476627186e-10,-6.982294052918411e-08,-1.699018187097275e-09,6.631324953396332e-08,6.801354194672116e-08,8.005746322504652e-10,3.543585376435391e-09,2.1829212280923183e-18,6.437974001825772e-09
m0,-186.4570626173727,-0.4963534423979642,-176.00682867207615,145.55749382117634,141.74150666059572,-2937.098288942548,-27.11506298894318,-2968.525653939794,-95.07587470021238,2950.8365662056094,2770.8569804602766,46.29714391761818,213.40165676041605,6.437974001825772e-09,260.37884233914207
