,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,15555.869815939182,-7215.005317479109,-1895.7822783865536,-322.66766478939394,9119.473597048636,6270.9663284542785,-1622.1308730325904,-6623.056510473863,40.11970264405597,887.7496046699717,8.930880839236034,19.392435026545954,-23.803865634775,40.04190140139543,334.9214138350265,7.44821788337071,171.87957224578867,331.3682737363188,1315.747817356465,263.01643038437277,1501.0417560522171,278.99195358519205,1495.5409765517481,-105.1906618731175,-109.28084960532073,-114.47979603720935
qN,-7215.005317479109,6163.111618731069,1419.6285002020384,298.8685423247483,-5846.3755888127125,-4185.839193197027,1113.5315144639562,3941.4830349314,-31.109950546850545,-370.0408819713981,-3.838636069465987,-366.8271957229736,-156.81684274413078,134.11948055244682,-2302.297006944016,210.53587646572217,-114.96152111132074,-64.0795931613671,-432.363094261485,-35.34022313606832,-413.18077312353864,-39.77870303299996,-423.2570188552249,36.52614655317905,32.91400232909592,35.11401938352089
betaG0,-1895.7822783865536,1419.6285002020384,4623.561784936584,2240.410195233671,-5558.368415135403,-2787.096082486629,123.2243289286377,1013.201800103674,58.62760579359982,-396.34498530227506,-4.031677790690871,-110.17097798095335,-49.165830061073486,43.57049153329501,-664.2025220900351,66.04776212087465,26.921328525155065,-129.97210243623707,-604.471784475097,-96.23113632760192,-645.963483308393,-99.53775850201433,-623.4764237690646,50.08541834734757,48.389521798052975,47.74290492679252
betaF0,-322.66766478939394,298.8685423247483,2240.410195233671,1182.2812454815048,-2142.7610331980322,-1458.0399741338492,72.53790941657627,185.8098284584089,27.090073447361007,-109.52829003636872,-1.1163492565082322,-37.82810209500245,-17.042992675355425,15.18804509985055,-221.7429219457668,22.673913308991413,13.232317054405948,-56.15982776735951,-271.11769903836876,-41.68831928536578,-290.0518230251703,-42.9062157046234,-278.8672154901192,23.230757835025134,22.52836958068224,22.22698970081623
qEG,9119.473597048636,-5846.3755888127125,-5558.368415135403,-2142.7610331980322,13890.10646235301,3801.761173092322,-468.72679365079415,-4452.404927268159,-21.091672688940207,-137.64911943443792,-1.4366439182115784,368.84572637673114,158.3348951647643,-136.98575826958938,2384.555650781095,-217.00563441747957,11.33593750116087,247.74058646468666,1039.4099792292222,179.71213019273603,1094.026657627393,189.98522400691402,1079.3086347830213,-85.55288362634691,-81.96997328103728,-84.18656757765731
qEF,6270.9663284542785,-4185.839193197027,-2787.096082486629,-1458.0399741338492,3801.761173092322,7277.694399916034,-1668.6244342477696,-3158.4762887781635,-40.78434056806071,0.22872195758754132,0.002370608326185041,179.74714137619375,77.57940048201496,-67.35211732756686,1164.374051455983,-106.55039749303589,5.492021772987862,174.37365270571843,796.8289954764662,130.4562318206693,864.888562242538,137.85866277817433,855.0683347101458,-65.12218749026269,-64.3786490391176,-65.86221507193034
iG,-1622.1308730325904,1113.5315144639562,123.2243289286377,72.53790941657627,-468.72679365079415,-1668.6244342477696,481.12303367054267,812.8082980271042,0.3293157913540039,38.39386048968523,0.39005978702697347,-60.43454048670023,-25.545913355579273,21.881612377198287,-398.70780816011893,35.20491785823072,-7.212567349589,-30.054657143841148,-118.37857417094405,-21.465234352144886,-123.39995944532944,-23.13644965385569,-124.59116402363946,9.393838081853009,8.927737191398055,9.434235866058593
iE,-6623.056510473863,3941.4830349314,1013.201800103674,185.8098284584089,-4452.404927268159,-3158.4762887781635,812.8082980271042,3198.4829179247645,-5.339170117124791,-379.73890327605636,-3.862600173859658,-107.68663896211191,-47.42996427659175,41.70687304675367,-734.1310760722906,67.13753276450679,-18.211831094763866,-122.90894875362545,-557.5565379598802,-94.20026006314279,-619.0708062969404,-100.48236362596276,-619.7433481583439,45.25245541500432,46.06096857774874,48.33853810192537
Kd0,40.11970264405597,-31.109950546850545,58.62760579359982,27.090073447361007,-21.091672688940207,-40.78434056806071,0.3293157913540039,-5.339170117124791,31.81019794350656,0.0,0.0,0.5884463776120303,0.522691664417927,-0.6274117958996281,1.0508752897145182,-0.3456807356760528,-1.3022698158687316,-1.4379019648465763,-8.850252632517343,-1.1690669633077415,-10.283677233875697,-1.2581983016537277,-10.359197913942445,0.5558170265458947,0.5796940951400595,0.542128466025378
gammaG0,887.7496046699717,-370.0408819713981,-396.34498530227506,-109.52829003636872,-137.64911943443792,0.22872195758754132,38.39386048968523,-379.73890327605636,0.0,1527.468837436339,15.433356141092462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
