,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,5527.081698303392,-2471.1485561319646,-169.20774288969432,217.32064917346986,2644.927118295577,2644.353447369088,-667.2311191998141,-2706.1137302345305,0.0,479.77590051320493,5.75543571283349,-23.55865145338297,-100.5854936060547,142.25426842916318,117.57850057525476,24.56660956966099,415.5028493544771,124.41675950499517,539.1566833033495,97.12081922061218,605.570537518753,100.85835186178413,594.3948800665569,-27.19386005853987,-31.398251726686215,-37.245305043597305
qN,-2471.1485561319646,3954.607621713213,345.92610613649884,-41.541533220822316,-2392.576769325535,-2084.2280058955503,550.1859607734217,1775.703717717723,0.0,-228.08983069227423,-2.6898547626190497,-195.8500529149791,-80.6657732101426,20.599933206568775,-1749.2038785984125,179.930324174137,-365.9718318700542,23.862572587313082,204.4886469858229,31.62958690981605,338.87098914841704,30.529713884525854,313.1119398253149,-14.133594520500953,-23.47833314150721,-25.75580405395541
betaG0,-169.20774288969432,345.92610613649884,5749.668838415529,3981.969517662492,-5747.102034556942,-3927.8732140085276,-2.56391023738858,102.60087743583333,0.0,-338.44836208578636,-4.191557998986655,-60.22093830085438,-42.93720693545228,37.06577879808293,-405.28405788383606,52.77430386504633,111.97216679006348,-53.57981759171982,-241.46148849022492,-37.537992570995854,-230.91103288092648,-37.6845204764961,-210.7910123276388,12.339924323466263,11.663688274812378,12.506611232549831
betaF0,217.32064917346986,-41.541533220822316,3981.969517662492,2901.8604829043315,-3676.060882552215,-2828.7539657991465,-7.6342864177786804,-152.22723726638154,0.0,-91.98250850858963,-1.12906448132559,-24.26047753341683,-18.45006739575232,16.643941818726166,-151.0625914417014,22.221453146388292,76.88360784511964,-29.988183166983813,-159.36629949175813,-21.677584073704175,-162.7533677028306,-22.13170100298458,-155.6030558912514,8.963982021743128,9.453302192346273,10.8900390516137
qEG,2644.927118295577,-2392.576769325535,-5747.102034556942,-3676.060882552215,10723.898590889323,4615.558253458138,-255.37708511322023,-1602.7972053062763,0.0,-1777.812992016195,-28.960482846920954,195.41555972089247,127.18704739984089,-103.75533909831948,1455.777359552483,-159.79024205028588,-39.65585609740067,88.51523656991803,288.292367326442,57.93843803292624,228.7132426388228,60.52723289053385,221.57067893496153,-12.256754782535552,-7.8839173782819705,-9.401804802071855
qEF,2644.353447369088,-2084.2280058955503,-3927.8732140085276,-2828.7539657991465,4615.558253458138,6006.170578063973,-801.4552819702523,-1614.871938283816,0.0,-37.51527309707833,-0.6440726753222756,111.1650319911694,72.43031866051926,-59.04827563732715,832.0201472229487,-91.1514474027929,-16.253340412845866,80.64563342441875,345.85009170491537,56.7648174450833,335.64413153948686,59.102719490400716,328.56581136257677,-17.204133050262225,-16.56790241590033,-19.705495678132095
iG,-667.2311191998141,550.1859607734217,-2.56391023738858,-7.6342864177786804,-255.37708511322023,-801.4552819702523,210.4576137796962,418.0354221088866,0.0,27.300531153888294,0.34714753321526615,-30.569147568450674,-19.007614694660894,15.004376259425989,-236.2538395043999,24.119745176415382,-15.724573141169722,-9.840500094233846,-22.394767313499838,-6.10680116383315,-12.471993812797898,-6.6409924346332065,-14.322535282688056,0.6086254946095484,-0.14740346336784138,0.05003653778712124
iE,-2706.1137302345305,1775.703717717723,102.60087743583333,-152.22723726638154,-1602.7972053062763,-1614.871938283816,418.0354221088866,1621.5371390389407,0.0,-287.4453305424864,-3.5303194298570966,-52.11158760438185,-33.30140611352664,26.37788687483618,-424.5491558672482,43.30853549864581,-50.78363870007822,-51.41437588996893,-214.73081313853427,-37.72130451113693,-220.89949321289492,-39.64111317956101,-221.0842253265205,10.237002483939541,10.519774868469884,12.90832715676201
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,479.77590051320493,-228.08983069227423,-338.44836208578636,-91.98250850858963,-1777.812992016195,-37.51527309707833,27.300531153888294,-287.4453305424864,0.0,2798.644317599956,41.39572443917014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
