,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3500.277724157722,-1267.7317543810254,28.358102619737274,218.1504449549434,1748.1517396363188,1493.0369765507953,-422.91523487941015,-1648.2323263177036,0.0,308.20459104115,3.5881297572754445,-18.697309936154472,-12.746714045287856,34.07920891110463,130.63726567605218,2.200940426949598,197.53056037751315,82.85081376270838,302.41668099973805,64.68781297032746,339.76720778430655,67.37113999136056,333.53475398820353,-14.736106941703772,-16.900290622724853,-20.099441151753147
qN,-1267.7317543810254,2538.621459002181,156.34415440173947,-57.401099962489454,-1466.1845345175998,-1162.32954924867,328.3158804818737,1021.4493568256371,0.0,-128.13709506668644,-1.486441289688226,-145.04905401883184,-37.39223957082367,29.90804233041111,-1239.7733828971727,60.4466548150267,-164.34037011314325,18.090623441383304,113.41207882519106,22.22190777691492,185.23442085532844,21.796057341002662,171.81709920716423,-7.447859798682628,-12.192657467971346,-13.34939912352134
betaG0,28.358102619737274,156.34415440173947,3467.863282530776,2379.1676025076467,-3436.717289374902,-2227.5229141178743,-25.57478148306788,-26.59811525804028,0.0,-196.15631790053928,-2.3612354566342404,-42.717957678993855,-11.557075095120759,13.234702847817196,-295.2358668681249,16.325887349613318,54.367502668935714,-31.787689337152145,-124.47968965078417,-22.324287673644516,-119.0016045443872,-22.655756179555357,-109.00320704538055,6.281598871658143,5.886874152649093,6.301831979160133
betaF0,218.1504449549434,-57.401099962489454,2379.1676025076467,1720.4552345212246,-2167.3377929044595,-1600.0021403583705,-19.550210782231098,-144.27077845426288,0.0,-53.389994736301766,-0.6379857175858556,-16.620199999314888,-4.590373344754468,5.52253888820998,-111.16835506077226,6.656255773538016,36.524008676049725,-16.92295869457002,-80.66717348631973,-12.24495761914898,-82.52927504367729,-12.626468355761022,-79.45021718933243,4.5904181298743065,4.861475781851994,5.687718556456962
qEG,1748.1517396363188,-1466.1845345175998,-3436.717289374902,-2167.3377929044595,6543.274045044467,2673.7401442135224,-154.47275923497403,-967.2537486653075,0.0,-872.5587279573938,-14.22852535137177,146.02080159062567,37.9703841231283,-40.31606857789121,1054.9545417208415,-51.63505978659276,-24.04251322577804,59.672165514330736,163.99210015072552,39.72025050143898,134.22530908300564,41.741091391682225,130.3313405726114,-6.887718575836717,-4.669826819996743,-5.5981646537434875
qEF,1493.0369765507953,-1162.32954924867,-2227.5229141178743,-1600.0021403583705,2673.7401442135224,3367.716547374994,-476.74331946639137,-853.3311112379245,0.0,-18.541455745118586,-0.3187613424509574,83.01186643939226,21.63899677285854,-23.00806962298519,601.9068179815193,-29.458779573335562,-10.33951348737347,48.45390868453667,177.4833470335758,34.031333515136666,171.82128856663152,35.65009225807985,168.7647068880686,-8.679688227130054,-8.307888609442209,-9.98517086904214
iG,-422.91523487941015,328.3158804818737,-25.57478148306788,-19.550210782231098,-154.47275923497403,-476.74331946639137,136.53928226404312,247.6756879253242,0.0,15.953686562313422,0.19677347139626788,-23.34064945206357,-5.965676255737912,6.108308907735519,-170.9424172004354,7.9612385299422765,-6.54691698213223,-7.090778161679275,-13.714327579894919,-4.546790734385229,-8.766704566229432,-4.939201837365585,-9.825216030509647,0.38135124360211087,0.001949822511928951,0.1379436770463767
iE,-1648.2323263177036,1021.4493568256371,-26.59811525804028,-144.27077845426288,-967.2537486653075,-853.3311112379245,247.6756879253242,929.7557663128005,0.0,-168.21075659508062,-2.0096385998982327,-39.423086011501425,-10.414016541876492,11.015710093881232,-301.6336829282201,14.255082713577815,-22.50442078666953,-30.76216392462451,-111.26346112910286,-22.487576342556594,-114.11103943739873,-23.672423079809555,-114.13923729967578,5.143712018279973,5.235864328770346,6.455420722587089
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,308.20459104115,-128.13709506668644,-196.15631790053928,-53.389994736301766,-872.5587279573938,-18.541455745118586,15.953686562313422,-168.21075659508062,0.0,1499.8076731823637,21.630168556245543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
