,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,14229.924354379225,-2334.6648519889313,-415.71230431142357,69.95770969920595,5067.53271508537,4912.294503787336,-1282.6802268545975,-5443.039671014489,149.20219354252066,706.680363530842,6.761918806084625,89.89359208636375,-41.49404349483322,159.3911434750638,640.3117041403686,31.86689685015284,593.8252257622852,247.1260967004405,884.5553890975995,193.8989147576355,1014.2850182737479,206.5984678366367,1012.1382153589864,-63.82347399230691,-65.37461311699428,-68.13915763728497
qN,-2334.6648519889313,7500.028810668211,447.71139357176287,13.821154747326375,-2883.6089629988564,-3129.3279498716283,812.6575317784409,3031.64309987138,-129.15346733760606,-233.5862527925398,-2.3628292393773633,-208.69822808086568,-78.50881064003958,30.858907823486753,-2105.4768680897055,244.48344297537577,-473.3671404983751,-6.425620160216155,-101.63157898482226,10.516713818579909,-19.303455782182517,8.737304885002331,-33.66000113359352,7.746755344157696,1.712352560257747,2.9462437087545013
betaG0,-415.71230431142357,447.71139357176287,4497.54778038921,2544.259927562508,-4408.719852751174,-2947.697134882028,41.559852091903224,395.6246197240561,231.99761019459277,-336.18668818087764,-3.27008174725796,-107.19895100912137,-38.955713357968385,29.39015284343153,-760.5891384918408,85.54147555820091,62.943039018120274,-94.31063402542206,-397.7410438753702,-66.27590017915256,-396.50831553687703,-67.58105280689648,-367.5813602667052,29.78620975266944,26.22591967837822,24.671439276385577
betaF0,69.95770969920595,13.821154747326375,2544.259927562508,1564.7633854989213,-2161.8741336552566,-1812.8843050872451,17.332734914440856,46.90296106967796,158.8080207817636,-96.64390144256994,-0.9425331507526914,-35.60253264761319,-12.388749666558017,7.366076814767864,-255.3209744397647,29.733107890812537,32.140049868019275,-54.50216992828931,-285.30627182820893,-39.61124390809508,-298.1837180075524,-40.4559546490932,-282.28835741356147,22.804562743372657,21.52841946868916,21.05194626359193
qEG,5067.53271508537,-2883.6089629988564,-4408.719852751174,-2161.8741336552566,9470.714502170524,3517.73634261625,-409.71355319292104,-2784.7252206646403,-171.74713998921158,-141.77777724044665,-1.445936251869474,347.1243285463436,126.01086157043507,-107.83819424802928,2506.605930036439,-253.64646195077137,17.91603939535927,143.74623721003923,375.061748480754,93.60928370860782,313.6584773279947,98.91948632530799,295.97888317843746,-25.574766396392153,-17.482983421304855,-16.879566544476027
qEF,4912.294503787336,-3129.3279498716283,-2947.697134882028,-1812.8843050872451,3517.73634261625,6482.66691789592,-1172.6912685408602,-2967.1696951823487,-114.80482070547124,0.1338601985086474,0.0012861251550494541,165.0934069117934,60.84178495322895,-53.902331221688755,1192.3614967772355,-121.31436054104097,11.267889622987266,161.63620453474982,793.3785684410652,119.31927584434916,853.9341257707824,126.0063617095042,840.5374634495836,-61.50724889243664,-59.9255548698402,-61.10495352818806
iG,-1282.6802268545975,812.6575317784409,41.559852091903224,17.332734914440856,-409.71355319292104,-1172.6912685408602,351.8132871942344,733.1715745354599,-13.654066191971477,35.80029750994679,0.3476669498255736,-56.41385769795148,-20.6121002018824,18.831258544508827,-406.90166410207513,39.429927438156426,-16.487094523246785,-23.03350925521556,-74.53234459959373,-15.610839759487176,-72.49850709411174,-17.017883904249853,-74.08308251411042,5.37897611219278,4.642830948572786,4.977778686125927
iE,-5443.039671014489,3031.64309987138,395.6246197240561,46.90296106967796,-2784.7252206646403,-2967.1696951823487,733.1715745354599,3022.9229817907453,-59.03172996530642,-342.29076422424885,-3.3289405104019982,-116.11981237023414,-45.40352714845608,45.853198365729774,-871.8185924720625,88.76055861655878,-46.40438356871622,-98.08154184368408,-404.0243869036501,-73.04845132683295,-437.37490382240867,-78.59812109343943,-441.5807189205452,29.614644573984048,28.806216742639624,30.394411918976186
Kd0,149.20219354252066,-129.15346733760606,231.99761019459277,158.8080207817636,-171.74713998921158,-114.80482070547124,-13.654066191971477,-59.03172996530642,105.26648474383575,-3.155443620884047e-26,0.0,2.1177113853385254,2.271066838688037,-5.9907964402521445,-0.2028923324748268,-1.6208218523377798,-23.21361896123984,-2.6291737087450335,-18.64165239606376,-2.1250308083154974,-21.535868965136487,-2.2515838861113653,-21.460128641037628,1.5073894431261725,1.5933722439445501,1.6387217134985754
gammaG0,706.680363530842,-233.5862527925398,-336.18668818087764,-96.64390144256994,-141.77777724044665,0.1338601985086474,35.80029750994679,-342.29076422424885,-3.155443620884047e-26,1285.3156270582554,12.41160951435046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
