,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,2776.48454757255,-624.3020551018484,47.45324622168995,183.57827457409223,1204.010382386232,1001.0809141781141,-305.63024313721405,-1244.2933832410476,0.0,221.61720083446545,2.479962513493825,-30.356629074094336,-13.533310335404325,47.495103972606856,171.0328449891493,1.1035177343615674,207.59854960451085,66.56949935809395,186.92917400749758,51.92498454366594,212.0162673563184,54.82118519205499,213.68742689553844,-9.722064615357802,-11.058906829334687,-13.79758271706781
qN,-624.3020551018484,2143.5558771123024,248.8077646985933,12.294045126893886,-1253.2293294424471,-853.9885205602533,253.04924686738815,795.2806656877738,0.0,-66.19982430581241,-0.7025023957440697,-110.82605748653512,-26.890702165768957,29.134275784168143,-1251.347811631541,59.89957815589302,-160.70057774824872,30.393341180082572,163.08358067741977,31.574855930137304,231.74802719092716,30.946134109969233,214.6955373546593,-11.402198917618293,-16.7193512757359,-18.539835271013736
betaG0,47.45324622168995,248.8077646985933,3152.917674233859,2181.4173757742888,-3181.5808937720108,-2108.042593784258,-3.303397049020602,15.755609335854466,0.0,-146.669537253572,-1.707932101603899,-49.34935793055975,-12.35577536353255,18.260123648164065,-391.6381378465997,20.77929301547076,56.83436648575515,-22.117596155785904,-50.1725553770249,-14.121526443828293,-35.85491696967319,-14.337967314460762,-30.873353052251183,2.3195200951269914,1.0254489094157362,0.7780790449198545
betaF0,183.57827457409223,12.294045126893886,2181.4173757742888,1593.8425383907695,-2046.907306831838,-1502.4357910212652,-12.93237198589164,-107.03283987357668,0.0,-38.49788800994635,-0.4397017082959577,-18.463999467459153,-4.696295610761954,7.315078906327393,-141.2046193442706,8.032699460080787,37.61247750918783,-13.231506075088895,-46.2102580628671,-9.2060690340471,-44.76021505799605,-9.682090749751765,-44.653593485549095,2.955897527799018,2.947006683641457,3.7106225429829047
qEG,1204.010382386232,-1253.2293294424471,-3181.5808937720108,-2046.907306831838,5719.808488655097,2495.552083424916,-152.49752063023732,-847.9463388571882,0.0,-814.7893223418178,-13.367252013050418,145.51340979397037,35.43081501215179,-48.38071752662819,1202.5454500260614,-57.86060641828012,-26.726720074805424,35.36092374312924,27.601572395432456,19.905726496566103,-14.314041054770005,21.925652542873173,-8.786044660987413,0.44509285059208875,4.096296604570785,4.27791727966471
qEF,1001.0809141781141,-853.9885205602533,-2108.042593784258,-1502.4357910212652,2495.552083424916,2684.4797034951584,-347.7399490144621,-645.7704338489893,0.0,-19.653818990204787,-0.33742047795350305,76.8350721351359,18.8099290072771,-26.023704493238736,640.1827153085316,-30.981016012672175,-14.171979705300357,33.20222152670027,75.18502012716716,22.114753325294167,62.301923775949064,23.99282577741109,67.37098915572915,-3.488756935003769,-2.3126466229506435,-3.5274274941946113
iG,-305.63024313721405,253.04924686738815,-3.303397049020602,-12.93237198589164,-152.49752063023732,-347.7399490144621,107.92496876992423,205.29683180969408,0.0,13.785971043244803,0.16608867187985174,-22.193916425493676,-5.320995449009611,6.923950752026593,-186.0974764168596,8.526279898767207,-6.45423997449548,-3.7484244874594603,2.745903059389426,-1.8594615502030383,8.994680153991482,-2.2491623010012107,7.068844183244243,-0.5331903994294594,-1.0889291250422235,-1.1176711796700889
iE,-1244.2933832410476,795.2806656877738,15.755609335854466,-107.03283987357668,-847.9463388571882,-645.7704338489893,205.29683180969408,770.0376215000372,0.0,-128.87635219997182,-1.4762921512658547,-49.396016546189585,-12.13766356502819,16.67270922453048,-433.8664991756408,20.258031808755202,-22.399622403234346,-19.851963176478133,-32.50540130355683,-13.305897764596262,-24.020405507290803,-14.733810171742883,-29.58262931966238,0.8425846969186515,-0.08089848991160901,0.5568980861117474
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,221.61720083446545,-66.19982430581241,-146.669537253572,-38.49788800994635,-814.7893223418178,-19.653818990204787,13.785971043244803,-128.87635219997182,0.0,1268.4644212401015,18.529754956773733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,2.479962513493825,-0.7025023957440697,-1.707932101603899,-0.4397017082959577,-13.367252013050418,-0.33742047795350305,0.16608867187985174,-1.4762921512658547,0.0,18.529754956773733,0.28227003292746233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-30.356629074094336,-110.82605748653512,-49.34935793055975,-18.463999467459153,145.51340979397037,76.8350721351359,-22.193916425493676,-49.396016546189585,0.0,0.0,0.0,223.22015905192612,54.288388004242634,-73.35069401544908,5.770089360930229,-0.32167441685577397,0.008273836800766439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-13.533310335404325,-26.890702165768957,-12.35577536353255,-4.696295610761954,35.43081501215179,18.8099290072771,-5.320995449009611,-12.13766356502819,0.0,0.0,0.0,54.288388004242634,14.017813278672524,-22.946055505255526,1.4167186248718509,-0.08070328352313069,0.001807046302798212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,47.495103972606856,29.134275784168143,18.260123648164065,7.315078906327393,-48.38071752662819,-26.023704493238736,6.923950752026593,16.67270922453048,0.0,0.0,0.0,-73.35069401544908,-22.946055505255526,58.1345105318692,-2.0929881869423648,0.12670174584208538,-0.0017333959096591082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,171.0328449891493,-1251.347811631541,-391.6381378465997,-141.2046193442706,1202.5454500260614,640.1827153085316,-186.0974764168596,-433.8664991756408,0.0,0.0,0.0,5.770089360930229,1.4167186248718509,-2.0929881869423648,1905.5058931119434,-90.52138139980997,5.358541852597931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1.1035177343615674,59.89957815589302,20.77929301547076,8.032699460080787,-57.86060641828012,-30.981016012672175,8.526279898767207,20.258031808755202,0.0,0.0,0.0,-0.32167441685577397,-0.08070328352313069,0.12670174584208538,-90.52138139980997,4.9600829787745875,6.90304779991097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,207.59854960451085,-160.70057774824872,56.83436648575515,37.61247750918783,-26.726720074805424,-14.171979705300357,-6.45423997449548,-22.399622403234346,0.0,0.0,0.0,0.008273836800766439,0.001807046302798212,-0.0017333959096591082,5.358541852597931,6.90304779991097,225.70308193581343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,66.56949935809395,30.393341180082572,-22.117596155785904,-13.231506075088895,35.36092374312924,33.20222152670027,-3.7484244874594603,-19.851963176478133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.55084714053834,195.9170907956651,0.0,0.0,0.0,0.0,-12.342197768204532,0.0,0.0
k_EA_stationary,186.92917400749758,163.08358067741977,-50.1725553770249,-46.2102580628671,27.601572395432456,75.18502012716716,2.745903059389426,-32.50540130355683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.9170907956651,992.1310562810392,0.0,0.0,0.0,0.0,-66.25223446189156,0.0,0.0
k_IAA_growth,51.92498454366594,31.574855930137304,-14.121526443828293,-9.2060690340471,19.905726496566103,22.114753325294167,-1.8594615502030383,-13.305897764596262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.380622823126934,154.16356586890356,0.0,0.0,0.0,-10.058948048610544,0.0
k_IAA_stationary,212.0162673563184,231.74802719092716,-35.85491696967319,-44.76021505799605,-14.314041054770005,62.301923775949064,8.994680153991482,-24.020405507290803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.16356586890356,1121.8620447431786,0.0,0.0,0.0,-78.67610292164746,0.0
k_EO_growth,54.82118519205499,30.946134109969233,-14.337967314460762,-9.682090749751765,21.925652542873173,23.99282577741109,-2.2491623010012107,-14.733810171742883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.266128473032246,159.36018095346012,0.0,0.0,-12.46593527153435
k_EO_stationary,213.68742689553844,214.6955373546593,-30.873353052251183,-44.653593485549095,-8.786044660987413,67.37098915572915,7.068844183244243,-29.58262931966238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.36018095346012,1097.1327657235481,0.0,0.0,-92.83217071053048
alpha_EA_loss,-9.722064615357802,-11.402198917618293,2.3195200951269914,2.955897527799018,0.44509285059208875,-3.488756935003769,-0.5331903994294594,0.8425846969186515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.342197768204532,-66.25223446189156,0.0,0.0,0.0,0.0,5.104561535592019,0.0,0.0
alpha_IAA_loss,-11.058906829334687,-16.7193512757359,1.0254489094157362,2.947006683641457,4.096296604570785,-2.3126466229506435,-1.0889291250422235,-0.08089848991160901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.058948048610544,-78.67610292164746,0.0,0.0,0.0,6.5425689505910025,0.0
