,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,7313.348040816055,-4319.446000788076,-891.3116598445249,-1049.480568138223,1084.5152144775093,8228.578719994377,-472.4313478089475,-3958.318070420283,-3.344302863927859,81.68742129683166,1.87893216501935,-22.302454724064564,-58.830539795663775,101.70741481551042,65.8584102442483,21.935025615776656,265.33391095004794,141.3262463381137,850.0471393307713,111.70372207567588,967.9451329827618,116.96767310741058,953.700299849743,-63.41205702368194,-70.32713640299531,-75.05934649282266
qN,-4319.446000788076,4716.026724745978,882.622182634422,867.9971859989853,-1198.4525981239533,-6273.352898362659,376.53773866227044,2984.856138250554,-7.039191903812325,-36.74563684422213,-0.8165647621073199,-123.8453692562564,-46.29377403917235,9.965983392523897,-1122.1734479340764,120.9968442208061,-226.394130424756,-34.76433204202428,-354.4640201726363,-19.318671976521184,-341.9470022032715,-21.213756879333626,-345.4630917119235,28.324510939198653,27.307901877071746,29.569539000014732
betaG0,-891.3116598445249,882.622182634422,1879.3871786188938,2352.3530496356007,-1773.542255591204,-3596.7973047421374,59.624030024315296,685.9676811850363,153.81173364170647,-68.68953182351164,-1.6040497019607767,-42.28209270398658,-19.48251114903951,13.32466105955478,-330.4411239133709,38.71449542057046,21.24577866964984,-47.63140333655409,-328.1862065540425,-33.86508206711889,-338.77491433030974,-34.17190093398378,-316.8103546163165,25.600646206883184,25.546723367328106,25.13723431434502
betaF0,-1049.480568138223,867.9971859989853,2352.3530496356007,3106.7898069543767,-2135.2421422401167,-4551.570762737067,55.954354768793046,768.9421585929181,206.14371732999055,-30.75574123742307,-0.7907976754372559,-17.004306787152256,-5.525446092881793,-0.12929732009159012,-143.54493641646306,18.651544485742917,27.251843073308436,-63.92910342084889,-490.4232858186699,-47.91304779543346,-530.0003507192192,-48.65493466946137,-504.45701665947,39.874613037574505,42.010800996524836,42.85888173961541
qEG,1084.5152144775093,-1198.4525981239533,-1773.542255591204,-2135.2421422401167,2772.250636517145,3633.339012944858,-95.32395846791603,-835.4347636012579,-141.07513214341967,-818.1015589324255,-24.427179752010396,87.71030981327122,41.74746046496693,-32.589915994796286,668.3489472564974,-72.40802500303235,-5.574809040126515,47.88211045271499,293.7319958167404,31.682103120246467,284.414928676946,32.45563239057147,267.1637108120258,-22.43079130291595,-20.94189764090125,-20.65655167422365
qEF,8228.578719994377,-6273.352898362659,-3596.7973047421374,-4551.570762737067,3633.339012944858,14459.612427627315,-628.4281002315407,-5275.659532638448,-252.54190415041694,-3.2436398244681666,-0.05218451755246937,110.93389633138095,58.81076121382976,-52.32983025542098,854.6211642121808,-94.85223456731191,10.374491559820461,187.46381391452962,1300.1397813586716,141.1666242591776,1419.3692020794113,146.76983831775303,1384.3891046601068,-101.43791757748455,-108.12807808898779,-113.50859729458432
iG,-472.4313478089475,376.53773866227044,59.624030024315296,55.954354768793046,-95.32395846791603,-628.4281002315407,43.518720599097016,297.8877220275172,-0.5097679912263731,1.2593981859322703,0.02139765461909965,-12.868760879090386,-6.8362008286191855,6.3565165007091515,-96.76214095205883,10.10837426247319,-4.354080701086975,-7.297809887470589,-39.40596577245478,-5.149460076064376,-40.72940064721145,-5.546312026175611,-41.34920106269606,2.8691849295891463,2.898390053753885,3.2191254914412397
iE,-3958.318070420283,2984.856138250554,685.9676811850363,768.9421585929181,-835.4347636012579,-5275.659532638448,297.8877220275172,2501.061694441932,24.22209905636252,-55.81310262473082,-1.3379511235994186,-43.98692608403886,-25.838363270208013,26.19969196970774,-332.3397243787309,36.0399007640711,-18.365479719677655,-68.99105891538997,-470.5354118806978,-52.63949232834605,-521.7667825665079,-55.42576006730005,-517.2235279928263,35.89589238610034,38.93457655266521,41.712145473418886
Kd0,-3.344302863927859,-7.039191903812325,153.81173364170647,206.14371732999055,-141.07513214341967,-252.54190415041694,-0.5097679912263731,24.22209905636252,63.88230094368889,-0.462081609133378,-0.016987640257883765,1.727577589283122,2.489619514250245,-4.2624065568322145,-0.22904993394602072,-0.769256471109725,-10.674395582132737,-2.709038572241846,-25.32083515962406,-2.1621183747945625,-29.02252407778155,-2.263584173189123,-28.707897551662676,2.059762393334413,2.314963563020722,2.445417619909072
gammaG0,81.68742129683166,-36.74563684422213,-68.68953182351164,-30.75574123742307,-818.1015589324255,-3.2436398244681666,1.2593981859322703,-55.81310262473082,-0.462081609133378,974.3115267867606,27.90756306240568,0.004890746631191071,0.003131344357903533,-0.0030451778168767273,0.035318211824970455,-0.004411238815776609,0.0017068775610198771,-0.0011386094084335676,-0.009510709753401656,-0.0011572211082715618,-0.012834220595578797,-0.0011715122564399452,-0.012348111023401585,0.0007866525649674626,0.0010198658847929154,0.0010567863110314726
gammaF0,1.87893216501935,-0.8165647621073199,-1.6040497019607767,-0.7907976754372559,-24.427179752010396,-0.05218451755246937,0.02139765461909965,-1.3379511235994186,-0.016987640257883765,27.90756306240568,0.8262626968426516,-0.0001537714826071504,-0.00016114466587881522,0.00023091377037691023,-0.0007161007230400207,8.591287796113821e-05,-0.00019767070599939414,-0.0005939031668489601,-0.00451689269374723,-0.0004683163194213136,-0.005120363881713853,-0.0004868631295781966,-0.005017561945876132,0.000345073121332862,0.00038157515070875395,0.0004002364161832662
