,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,41.67959213472299,-42.208204949996585,-33.86313994129307,0.54181707178327,241.44796825416324,204.45214546781946,-51.34376389756977,-283.3800792873209,-5.427595890516857,37.37480279541535,0.43804939586844766,0.21166695255901438,-0.2703952031294986,2.2573291619121223,3.3165910088900548,-0.11944762671846886,77.68321084115955,0.7244485358993896,57.2921563652004,0.5521409166249434,62.09887055667407,0.579607428567115,61.46573821498069,-3.1002325496435876,-3.516495523470608,-3.8543277452930345
qN,-42.208204949996585,47.941193943892515,32.599744250890566,-0.17119146145775083,-234.93815559710546,-198.66738961947618,50.04832967686896,271.40767758251826,5.446215589300407,-32.04084527176235,-0.35795013213536275,-0.7978687021854499,-4.057319265277274,0.026184962257972663,-10.039139360680501,1.1142860015315454,-79.21614860315249,-0.400727172079919,-28.323417842699218,-0.24333738607393698,-22.592641099622334,-0.2646123739034841,-23.44849581910985,1.21995012579608,0.8548900571278497,1.0922501202124113
betaG0,-33.86313994129307,32.599744250890566,3390.073771033869,2094.6953654775552,-3435.684104190312,-2171.1641734856225,21.543442476345238,336.880352252966,4.266069936093488,-328.11985711072185,-3.9798149762216397,-0.013037480197462818,1.561348795411835,-4.040096988165493,-0.8891106435408842,0.439121618775256,32.88261332656453,-6.556666460927178,-583.3008898914447,-4.909427559254506,-613.7169783396806,-4.784176174342038,-548.3943882115077,35.984626353821824,38.7477373181032,36.488981463761604
betaF0,0.54181707178327,-0.17119146145775083,2094.6953654775552,1384.6453981607858,-1910.6299260028252,-1437.7411686478526,18.118207375897335,-10.17062595403272,2.464136329128815,-91.79982774457704,-1.1010041648000726,0.04536233103133127,1.491788749698748,-2.9963021994356924,-0.19999624867689922,0.18023885772036272,13.15228487455952,-3.50231357470981,-338.4381920831503,-2.61598535490967,-357.28565457409525,-2.5467416967339487,-322.1312663102978,22.915351110311494,24.992765851168453,24.223440898176523
qEG,241.44796825416324,-234.93815559710546,-3435.684104190312,-1910.6299260028252,7784.3925017529045,2868.9557065364856,-235.61868236463175,-2286.388811915773,-2.994392282001878,-1693.6156494733466,-26.725674454583217,0.8395927711088942,4.046563690025346,0.17752690139481367,10.50174833372196,-1.395204835830434,25.757397201499874,13.768316661039215,1129.6086898273672,10.565902602986041,1227.1500591150811,10.704581913785544,1153.8005891425032,-65.69184830917737,-73.88884720198003,-74.76002876633312
qEF,204.45214546781946,-198.66738961947618,-2171.1641734856225,-1437.7411686478526,2868.9557065364856,3947.766715068471,-642.7414894481946,-1954.4427681029795,-3.927891485198039,-43.33514794108832,-0.7319389205426085,0.4472272509762819,2.455011087550183,-0.454346037212874,5.399756772538255,-0.7583225007255144,4.878577036250232,9.850898094107457,853.2079110820691,7.5957719587043995,934.9345288719073,7.721453048248984,886.6216133420618,-51.86606320583145,-59.09047620068607,-60.67891047498942
iG,-51.34376389756977,50.04832967686896,21.543442476345238,18.118207375897335,-235.61868236463175,-642.7414894481946,163.051601619745,486.6914660377615,0.3662093992263875,29.54097163923555,0.3790533660598855,-0.19472767090932797,-1.3711609970718353,0.9714008379263962,-2.1629304861252576,0.24281084289392416,-8.535563792842847,-1.6666086563536207,-126.75034541957133,-1.2969820982825795,-140.57156245537632,-1.343253268782659,-136.36983301026086,6.848763379629825,7.943232595278569,8.404837609862263
iE,-283.3800792873209,271.40767758251826,336.880352252966,-10.17062595403272,-2286.388811915773,-1954.4427681029795,486.6914660377615,2728.3206731105693,-0.3144402000989568,-375.3156338809223,-4.485107070164132,-0.4087953317932699,-3.539646453380588,3.5680720605069918,-4.464892179047333,0.3769978963702814,-32.56006423364047,-8.235566262473414,-677.5094320033655,-6.488699927638672,-764.6692063930165,-6.7539613865912465,-749.8563541660842,38.433936548213374,45.63149881364652,49.114010378675935
Kd0,-5.427595890516857,5.446215589300407,4.266069936093488,2.464136329128815,-2.994392282001878,-3.927891485198039,0.3662093992263875,-0.3144402000989568,9.340384048955151,-0.6518154268858359,-0.008408273335011077,0.1070088341844217,2.046561175873151,-3.041624729546019,-0.28174188719835735,-0.2596712654078461,-71.11782509314156,-0.017129935502083547,-1.9483616202579717,-0.014384465016655032,-2.3649199903299887,-0.016008529714797905,-2.5091041001748704,0.1414290743285701,0.18142776661714213,0.2127007271596573
gammaG0,37.37480279541535,-32.04084527176235,-328.11985711072185,-91.79982774457704,-1693.6156494733466,-43.33514794108832,29.54097163923555,-375.3156338809223,-0.6518154268858359,2652.432188262391,38.25297471124992,2.5709214053446597e-06,6.566579395277346e-05,-0.0001531016467344349,2.4446605414774017e-05,1.915037420573482e-05,0.0033558454595232915,-0.0017758471400740221,-0.22372820890384737,-0.001411628124205441,-0.2554881804611339,-0.0014737859936835463,-0.2523125606205851,0.016942106714184862,0.01997700910085596,0.021023928760346113
