,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,485.39922675279377,-102.95490309823388,33.38230850280713,39.16461895198847,138.6601024243865,173.44228062756505,-28.681114719107224,-183.36858732707577,0.0,50.17071968691412,0.7303276540376908,17.66800781400824,8.827178426969692,-4.336785422974174,28.366748391039174,0.8595853381761274,12.450973188339734,17.39790364263279,53.51551258955091,13.267908617412038,58.94211857734909,13.532611361748623,57.0372802263565,-2.3266654164133205,-2.9755400791912265,-4.057732948215833
qN,-102.95490309823388,586.5548028053886,60.98081987013569,29.102125905119973,-250.09166089994557,-228.52295469152128,33.15648499553537,138.51888365913476,0.0,-15.304620298197829,-0.22473109903367147,-76.74754337530086,-47.4737300890843,26.317453997356026,-369.0371224471932,23.914307121606925,-8.996254502312844,10.284720592898822,38.97728808957844,10.637199387349762,57.76671292505037,10.427711466875829,53.594267266363026,-1.7967884634207587,-3.0829672044140293,-3.902589249145995
betaG0,33.38230850280713,60.98081987013569,806.0058592541003,598.9752293579718,-783.0154745344495,-566.0555740594975,-3.0874119726995253,-14.948970180501993,0.0,-47.809022585506206,-0.713360953999302,-20.97580148608763,-11.963696777729059,6.372309485199776,-111.53451914618796,7.308498715728144,3.625931798158771,-7.181276874053598,-20.775570853854955,-4.84262584395146,-19.512375618099618,-5.17157327726545,-20.007155280318162,0.9265478344795508,1.0148893008135875,1.5148747225580355
betaF0,39.16461895198847,29.102125905119973,598.9752293579718,473.81609615284947,-550.1216586966132,-480.3333339668901,1.771186016196367,-20.740146698796817,0.0,-9.322824233262008,-0.13713467123239406,-11.521325906166085,-6.680864607798166,3.5913446902845245,-60.28853308838204,4.077868498567962,2.724463064037242,-5.265146219462826,-17.535890954074645,-3.7424289345447295,-17.976892079961328,-4.044244765435928,-18.779188234955477,0.8161095109997305,0.9925952238074571,1.509336062953851
qEG,138.6601024243865,-250.09166089994557,-783.0154745344495,-550.1216586966132,1237.8874282632494,623.9514247914624,-14.865466667449926,-93.20388544800309,0.0,-202.40376733247837,-3.375140967009897,53.21824634252305,29.704369874983424,-15.624105109767315,295.85333124761473,-18.274660167781015,-1.0621384937722642,10.43590147281653,20.182798572145245,6.163786811246769,12.78477046447358,6.766526398601627,14.600115635876127,-0.798321696747622,-0.5187213916968971,-0.9878104094582328
qEF,173.44228062756505,-228.52295469152128,-566.0555740594975,-480.3333339668901,623.9514247914624,755.3658403215439,-41.58008137178756,-112.07831334155811,0.0,-3.3141977633465074,-0.05919536395743046,37.93964310250018,20.761212411049254,-10.798979886425776,209.87641751846743,-12.683926505746157,-0.714167299258052,11.197979241167046,32.933832859816604,7.352094180617046,30.398969892749587,7.859371639919371,31.37801323997997,-1.4502626622428285,-1.5641532367712205,-2.3594419388450487
iG,-28.681114719107224,33.15648499553537,-3.0874119726995253,1.771186016196367,-14.865466667449926,-41.58008137178756,6.309328845975877,19.05285712884892,0.0,1.3322537310794056,0.020013586577718522,-5.04556080865378,-2.728029975341488,1.4085180984919283,-28.59878069845982,1.674954667754121,-0.33148831347786134,-0.4993422111883652,-0.3232508241714597,-0.19510355335696267,0.5883228712387135,-0.22997829829764718,0.44516490563680433,0.0012531118666738975,-0.04957486466258022,-0.05101477363712677
iE,-183.36858732707577,138.51888365913476,-14.948970180501993,-20.740146698796817,-93.20388544800309,-112.07831334155811,19.05285712884892,107.22053452291364,0.0,-27.30072190954983,-0.4035187485702276,-15.841628841767802,-8.951917187619326,4.735195359872924,-91.69637830592609,5.610087793583019,-1.5252494996396513,-5.4844785111413685,-15.619538227021877,-3.663512368678558,-14.443591749567565,-3.8085270864182554,-14.361062599152643,0.660965321858809,0.699342315441128,1.0046778668968732
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,50.17071968691412,-15.304620298197829,-47.809022585506206,-9.322824233262008,-202.40376733247837,-3.3141977633465074,1.3322537310794056,-27.30072190954983,0.0,316.0441149510434,5.041703594002062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,0.7303276540376908,-0.22473109903367147,-0.713360953999302,-0.13713467123239406,-3.375140967009897,-0.05919536395743046,0.020013586577718522,-0.4035187485702276,0.0,5.041703594002062,0.08126041570087002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
