,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,2341.521274843904,-2170.7640807187427,109.71647977138372,190.3482889369296,1133.3635136829776,2179.2425180096247,-538.8936705894249,-1955.9722137411184,2.8065342524632797,228.78854230175034,2.5899180851899497,5.859292755584153,3.0616961828638023,1.9328039942787578,25.283149356016672,0.45862779701112777,80.55830989383406,23.16768685249853,515.6016966422338,18.177078996875895,579.3526670274682,18.990741198854824,568.3686573704181,-34.85717169505512,-41.57161607043834,-45.32003911196577
qN,-2170.7640807187427,2137.6305593947304,-116.49511435020868,-187.7657030378207,-1028.449742974417,-2051.6350142086208,508.42307013163565,1827.0790949906443,-2.867503379957641,-202.56813274720315,-2.2930725977012054,-19.97523987898052,-30.955413913560246,12.085385638836513,-127.10499138352024,9.495782930497093,-79.99840877386318,-17.133261853032042,-395.9478525669714,-12.65119947057157,-421.9660748366511,-13.3121309272612,-416.7223566246267,27.471639507722298,31.252052138577113,34.29176838931265
betaG0,109.71647977138372,-116.49511435020868,3036.120744141841,1819.1798039055177,-2635.3177671746375,-1744.4332352344618,-34.3537264161331,-117.73227396731525,14.465623108619196,-242.055127358338,-2.841278524612646,-4.350823116460204,-8.628442640055875,4.332500277738354,-27.70255988485161,3.44347794479729,22.57931167221132,-19.794637351154215,-446.6179404028277,-15.023423932942706,-481.9414439821361,-15.134861150620145,-451.1788198579152,31.095923700533405,35.18647659229089,35.77627580137958
betaF0,190.3482889369296,-187.7657030378207,1819.1798039055177,1152.9784495878557,-1472.7521391553341,-1087.5973612169928,-20.4997294106236,-182.87184084203605,9.705519653774578,-65.06795552323506,-0.762009174947291,-1.5472824884604268,-3.1182689402216517,1.5763356201101684,-9.432639294274216,1.3023017116577036,11.490333909601457,-10.015151023107943,-244.70537560110094,-7.667631443870541,-267.61956204329346,-7.782974833912554,-254.2122216663741,18.345562724683724,21.276314158224643,22.432167133491728
qEG,1133.3635136829776,-1028.449742974417,-2635.3177671746375,-1472.7521391553341,5222.08157533597,2034.6779995875804,-141.5306642816287,-951.0852570463956,-9.743552098860606,-802.7764089504988,-11.18322159161545,12.86244455279817,23.60586418233646,-11.261697167366624,92.18147957816927,-8.53244469370771,0.33707139156833593,36.77048493891191,719.7657915389344,28.16577595676405,782.8896184269761,29.117590017836733,753.4869844440822,-44.947129972240134,-51.342631628692544,-54.31970185756137
qEF,2179.2425180096247,-2051.6350142086208,-1744.4332352344618,-1087.5973612169928,2034.6779995875804,4420.136253943369,-779.2422953220236,-1889.6148903356968,-12.096469308947631,-3.8149280697528805,-0.05468804038915988,6.466499059210819,12.092391773236251,-5.858734207308518,46.5043106636711,-4.361860428708394,0.8265364613114217,33.90177799500108,803.1251548981401,26.289065102583212,891.2476738640421,27.16847930283629,863.3723200134332,-56.99536799586116,-66.99259982992146,-71.71889471513762
iG,-538.8936705894249,508.42307013163565,-34.3537264161331,-20.4997294106236,-141.5306642816287,-779.2422953220236,209.66196814082565,469.51962665107976,0.2093411197852718,20.316914812644715,0.22813827757227498,-1.9760504239128733,-3.4985257567712797,1.6275535781600223,-14.728949802465257,1.1916511829865408,-4.279836197994214,-6.063693466163864,-124.53209881433754,-4.703126627207944,-138.0273080555772,-4.9236644901284095,-135.33404967064203,7.87670987897548,9.225690872855177,9.991788994259853
iE,-1955.9722137411184,1827.0790949906443,-117.73227396731525,-182.87184084203605,-951.0852570463956,-1889.6148903356968,469.51962665107976,1707.4157222260862,-1.0750049097076455,-207.63137107361706,-2.3669048212837356,-4.070600291679577,-7.837533636352516,3.880723587950801,-31.86601071161963,2.7225811372161886,-13.773425762508639,-19.701187772480587,-438.61944363497463,-15.40540840302021,-491.00595146652256,-16.11202681283132,-482.24240952570403,29.594452282685168,35.14731836608701,38.34984667698086
Kd0,2.8065342524632797,-2.867503379957641,14.465623108619196,9.705519653774578,-9.743552098860606,-12.096469308947631,0.2093411197852718,-1.0750049097076455,3.275984673437234,-0.3859515065070957,-0.005615008822665159,0.02565688077601702,0.10257241285294535,-0.07478791221163765,0.001560291386425126,-0.015327487335544412,-0.47937610046759893,-0.07434580928039036,-2.2121515713429294,-0.05869401405975758,-2.500771206934265,-0.06107164647002756,-2.4445539994125975,0.16005342309085296,0.18714341499782078,0.1898966719331329
gammaG0,228.78854230175034,-202.56813274720315,-242.055127358338,-65.06795552323506,-802.7764089504988,-3.8149280697528805,20.316914812644715,-207.63137107361706,-0.3859515065070957,1509.7612257846213,19.020072285934262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
