,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,57996.950145302806,-36686.369869012895,-8964.293803547856,-3075.8144148644287,24857.97296446195,27806.68196354987,-6126.769486042436,-25678.110262385962,3.4351199267288166,5450.679034439637,58.664914511514255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qN,-36686.369869012895,34253.022725813586,7370.400259531547,2980.6249516432704,-16858.63293772121,-22310.239565686978,4627.1146862385485,18425.116000275044,116.79535706215178,-3048.235986941634,-32.92461597392664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaG0,-8964.293803547856,7370.400259531547,26507.772792879718,15777.627964873014,-27150.0308789459,-20160.119815248952,937.1571090142786,4771.542311414575,1680.1021306867183,-3461.40536921323,-38.750199119179776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaF0,-3075.8144148644287,2980.6249516432704,15777.627964873014,10161.26498966186,-14466.741809909316,-12934.615799872045,622.4638288332935,1337.275552924064,1122.3952526451026,-962.468633242212,-10.769805884561055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEG,24857.97296446195,-16858.63293772121,-27150.0308789459,-14466.741809909316,62756.37681696883,19844.155417155038,-994.3342795538347,-14253.438784543016,-1249.5811051512924,-13622.830878958437,-193.63751261242842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEF,27806.68196354987,-22310.239565686978,-20160.119815248952,-12934.615799872045,19844.155417155038,46075.32941078241,-8414.860677139919,-18728.093595056926,-1097.0685587318842,-148.92055702029376,-2.3348680081507083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iG,-6126.769486042436,4627.1146862385485,937.1571090142786,622.4638288332935,-994.3342795538347,-8414.860677139919,2171.7842344940264,4198.646168110257,-19.47514764122714,317.4193270018495,3.4705324396273904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iE,-25678.110262385962,18425.116000275044,4771.542311414575,1337.275552924064,-14253.438784543016,-18728.093595056926,4198.646168110257,17402.481148383962,-224.56432670406014,-3460.608465754888,-38.069859924404824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kd0,3.4351199267288166,116.79535706215178,1680.1021306867183,1122.3952526451026,-1249.5811051512924,-1097.0685587318842,-19.47514764122714,-224.56432670406014,711.5358761031499,-27.033279764476745,-0.37458156017043154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,5450.679034439637,-3048.235986941634,-3461.40536921323,-962.468633242212,-13622.830878958437,-148.92055702029376,317.4193270018495,-3460.608465754888,-27.033279764476745,23992.996354427258,306.3318710371541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
