parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.15811622208664178,0.05,1.0
betaG0,0.4032195824222312,0.1,10.0
betaF0,0.2981766628750436,0.1,10.0
Kn0,0.008784234560368987,0.01,0.1
Kg0,13.440652747407707,0.01,10.0
Kf0,9.939222095834786,0.01,10.0
Kig0,42.78013880578091,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.715137072318122,1.0,100.0
Yxg,1.4054775296590392,0.1,10.0
Yxf,1.4054775296590392,0.1,10.0
Yeg,0.7821636182324984,0.1,10.0
Yef,0.5481198176735155,0.1,10.0
m0,0.01,0.0001,0.05
