candidate,family,medium,horizon_h,hybrid_score,dopt_score,new_logdet,new_min_eigenvalue,new_max_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace_inv,new_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,130.33494660357033,157.13297858084098,104.09796787912647,0.00030464646776712695,26532.07487031915,1.1482195390151273e-08,87091358.92755657,3266.192231640579,26,157.13297858084098,0.33470654018244145,213367.6661771356,1.5686844505510576e-06,637476.8358599548,3.8563099990812364,26,0.9535514190991964,0.046448580900803615,0.933658797538608,0.06634120246139197,0.6902416413554144,0.30975835864458556,0.7003573949848317,0.29964260501516826,0.8894161282846573,0.11058387171534267,0.8644689965181549,0.1355310034818451,0.7790580302467304,0.22094196975326963,0.9041371516489578,0.0958628483510422,0.9269544489790064,0.07304555102099364,0.7955430469671403,0.2044569530328597,0.8104139108341932,0.18958608916580677,0.761405420146114,0.238594579853886,0.8802161302366553,0.11978386976334465,0.789550980777318,0.210449019222682,0.6744438202242139,0.3255561797757861,0.8175146118601213,0.1824853881398787,0.8831096543706335,0.11689034562936651,0.04106114133099298,0.9589388586690071,0.0023825478611257723,0.9976174521388742,0.07138583781264451,0.9286141621873555,0.0019971398719967727,0.9980028601280032,0.06331830043115896,0.9366816995688411,0.0018978457254092984,0.9981021542745907,0.3403231110754856,0.6596768889245144,0.29372795668518875,0.7062720433148113,0.22969613274367007,0.7703038672563299,0.7503259745665066,0.11689034562936651
synthetic_lit_SM410_24C_highN_strip,literature_temp_strip,synthetic,168.0,129.1006646805009,156.28638421344087,101.540731746834,0.0008206985769842304,26237.82176464844,3.127921914958655e-08,31970107.540655084,1272.3444810882734,26,156.28638421344087,0.2805631352943547,216385.73741883243,1.2965879296901238e-06,771255.0588366139,4.407969359918523,26,0.9759224433658011,0.02407755663419886,0.9736112878943658,0.026388712105634204,0.8754368436035925,0.12456315639640747,0.9447568827861278,0.055243117213872206,0.8903030564089371,0.10969694359106286,0.943624827594411,0.05637517240558898,0.9672473422204756,0.03275265777952441,0.9159364335718145,0.08406356642818547,0.9500609242002349,0.04993907579976509,0.923824176243443,0.07617582375655696,0.9667974176152301,0.03320258238476992,0.6281581512389329,0.3718418487610671,0.8801301808973981,0.11986981910260186,0.7860720528434985,0.21392794715650154,0.6433241948081705,0.3566758051918295,0.7644444714258248,0.23555552857417517,0.9207279213965652,0.07927207860343477,0.037156123784112566,0.9628438762158874,0.0028360033795389867,0.9971639966204611,0.06453798078550753,0.9354620192144925,0.0023698712939763385,0.9976301287060236,0.057279643825202106,0.9427203561747979,0.0022808487567136794,0.9977191512432864,0.32702632579092616,0.6729736742090738,0.2978327329685373,0.7021672670314627,0.23930124477183423,0.7606987552281658,0.7531097119837511,0.07927207860343477
synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,128.57653601685226,155.64571605100653,107.23570178780983,0.0005975565604367979,25404.661094386764,2.3521532454878127e-08,42514236.77085334,1671.1140124109613,26,155.64571605100653,0.2958401348414535,215254.74536954588,1.3743721855402532e-06,727604.946113566,4.4064075593105985,26,0.9548748248437204,0.04512517515627956,0.9310499302204717,0.06895006977952833,0.8138609190091526,0.18613908099084742,0.9012825239097297,0.09871747609027026,0.8826525571859465,0.11734744281405352,0.9418227606181425,0.05817723938185748,0.8804801402581289,0.11951985974187107,0.922685383634719,0.07731461636528103,0.963322889523724,0.036677110476275976,0.8787283341349226,0.12127166586507743,0.9168696064716672,0.08313039352833285,0.7591479900525602,0.24085200994743983,0.9053774526217204,0.09462254737827958,0.8264855396390623,0.17351446036093765,0.6685097691794927,0.3314902308205073,0.8014296852301229,0.19857031476987708,0.8806799078042942,0.11932009219570583,0.051110123171330055,0.94888987682867,0.0022778292486033912,0.9977221707513966,0.08771137286298368,0.9122886271370163,0.0018878378062989294,0.998112162193701,0.07761270879237017,0.9223872912076299,0.0017982025649877192,0.9982017974350123,0.3817297226539016,0.6182702773460984,0.3497879281605467,0.6502120718394533,0.29550456155714383,0.7044954384428561,0.7334972836497652,0.11932009219570583
synthetic_viable_biomass_step,biomass_input,synthetic,216.0,127.32111548742662,154.38192861937816,111.50453079410518,0.00982805978983014,16559.254296733176,5.935085972904607e-07,1684895.5593318965,104.5536621576295,26,154.38192861937816,0.2833998455817771,204880.0362738305,1.3832477323608126e-06,722936.3017232516,4.822087174110969,26,0.921550683817533,0.07844931618246698,0.9101453116772764,0.08985468832272359,0.9032995770990434,0.0967004229009566,0.9053433817004518,0.09465661829954819,0.8807903427417236,0.11920965725827637,0.9063258269639428,0.09367417303605718,0.9532127455131718,0.04678725448682819,0.9076970413061038,0.09230295869389615,0.8991505883253272,0.10084941167467276,0.9354601551354614,0.06453984486453856,0.9571142196035525,0.042885780396447526,0.7286692827874607,0.2713307172125393,0.7651521857377918,0.23484781426220824,0.6598726398095504,0.34012736019044965,0.6778751327317157,0.32212486726828427,0.766962579410454,0.23303742058954602,0.7840338391943117,0.2159661608056883,0.063835949739534,0.936164050260466,0.002983219728645081,0.9970167802713549,0.10926097738532521,0.8907390226146747,0.002626097700011705,0.9973739022999883,0.09818255735030067,0.9018174426496993,0.002632471985801146,0.9973675280141988,0.5538759361493297,0.44612406385067027,0.46666429753707905,0.533335702462921,0.3432865102489959,0.6567134897510041,0.7096050512336555,0.2159661608056883
natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,127.15219530398392,154.26670233809023,89.82399188620386,0.00010384042989563388,17907.155244103407,5.798823346317232e-09,172448778.01547256,9511.460361134501,25,154.26670233809023,0.2797112492532862,207812.93801828037,1.3459761067844644e-06,742955.2389224791,4.732708003017145,26,0.9589861343558002,0.04101386564419984,0.9326715437169684,0.06732845628303163,0.8763588137854863,0.1236411862145137,0.9371144009659664,0.06288559903403357,0.879264604466141,0.12073539553385904,0.9427539026889729,0.057246097311027144,0.9737834051341507,0.026216594865849263,0.907227907227016,0.09277209277298404,0.9660386830917961,0.03396131690820392,0.9295908173111438,0.07040918268885621,0.9697386182848063,0.030261381715193658,0.5337780922194443,0.4662219077805557,0.6139807571898589,0.3860192428101411,0.5822724306622525,0.41772756933774746,0.5227645148250812,0.47723548517491876,0.7900554136372633,0.20994458636273672,0.8744036234894851,0.12559637651051492,0.05567888044884635,0.9443211195511536,0.003012800325324789,0.9969871996746752,0.0964046774959803,0.9035953225040196,0.002596148438822502,0.9974038515611775,0.08660952652821141,0.9133904734717886,0.0025570514673850906,0.997442948532615,0.4969756611470261,0.5030243388529738,0.4176127313574792,0.5823872686425208,0.31138512206986235,0.6886148779301376,0.7147916694176648,0.12559637651051492
synthetic_fast_CO2_aroma_strip_highN,co2_aroma_loss,synthetic,168.0,126.76938423412972,153.81964651783892,97.01006523894175,0.00748044549085666,24634.261617673823,3.03660227651793e-07,3293154.3512728293,204.203440561588,26,153.81964651783892,0.296671895696034,213787.83885092265,1.3876930385311e-06,720620.4630517707,4.439450949751673,26,0.9427617217983104,0.057238278201689585,0.9050408730957797,0.09495912690422026,0.812717557889833,0.18728244211016698,0.9283626308105191,0.07163736918948094,0.8560679094199621,0.14393209058003786,0.9472147334425581,0.05278526655744187,0.9467398254559678,0.0532601745440322,0.9035818482993051,0.0964181517006949,0.97432056958888,0.025679430411119974,0.8633662140443368,0.13663378595566322,0.9143006279531628,0.0856993720468372,0.7774812559901575,0.2225187440098425,0.9988483633315614,0.0011516366684386492,0.9777419663286577,0.02225803367134227,0.713125579731328,0.28687442026867205,0.8553115180418193,0.14468848195818074,0.9457336322949095,0.054266367705090524,0.06541287821367518,0.9345871217863249,0.002826652664078042,0.997173347335922,0.11080005221896211,0.889199947781038,0.0023323102898757356,0.9976676897101243,0.09860533619076524,0.9013946638092347,0.002263334305526391,0.9977366656944736,0.3370387263804725,0.6629612736195275,0.3132446623390752,0.6867553376609248,0.2673489110492374,0.7326510889507626,0.7271892714556003,0.054266367705090524
synthetic_lit_SM230_18C_midN_reference,literature_nitrogen_mid,synthetic,216.0,126.34126386303961,153.4077622175513,99.85045834829766,0.00035537358188858384,21771.149416028828,1.6323142848256922e-08,61262712.04609262,2805.6839164707885,26,153.4077622175513,0.2917140707285557,211641.3004485416,1.378341893148039e-06,725509.4000778487,4.687009631029099,26,0.956736278784346,0.04326372121565403,0.9357324923252517,0.06426750767474831,0.8212633678374075,0.1787366321625925,0.9078378735551941,0.09216212644480593,0.8565167469824726,0.1434832530175274,0.9295852855801371,0.07041471441986291,0.895823876454942,0.10417612354505801,0.9007382247553639,0.09926177524463609,0.9832911600556965,0.0167088399443035,0.8837203168958225,0.11627968310417747,0.929837502804742,0.07016249719525802,0.8162741726505554,0.18372582734944465,0.9450669784792686,0.05493302152073143,0.9095746253022866,0.09042537469771339,0.7024780330595974,0.29752196694040256,0.8340275148629908,0.16597248513700924,0.9027194849022878,0.09728051509771218,0.06601230090895033,0.9339876990910496,0.0024559961269551194,0.9975440038730449,0.11206158771909093,0.8879384122809091,0.0020390715490352764,0.9979609284509647,0.0996973179242912,0.9003026820757087,0.001975340137380271,0.9980246598626197,0.46767725379382924,0.5323227462061708,0.42811436583847495,0.571885634161525,0.3633567979929648,0.6366432020070352,0.7018057243857955,0.09728051509771218
natural_cold_hot_switch,natural_temperature,natural,216.0,124.51879113610619,151.5844565595181,73.16745237592198,9.616372629266775e-14,12929.562682831482,7.437508031138497e-18,1000000000000.0,864928.5616009178,25,151.5844565595181,0.28037951393762883,202922.65605272143,1.381706308164936e-06,723742.8056097641,5.081740255275131,26,0.9106164327729636,0.08938356722703644,0.8702568505290276,0.12974314947097243,0.9202973987055403,0.07970260129445972,0.9369398096188033,0.0630601903811967,0.9004516342350714,0.09954836576492865,0.9406108518003845,0.059389148199615494,0.9800926997063845,0.019907300293615537,0.921777202059009,0.07822279794099096,0.9809175599298496,0.019082440070150364,0.9426934858750667,0.05730651412493326,0.9674286750590808,0.03257132494091919,0.4823276541149518,0.5176723458850482,0.577474774595797,0.422525225404203,0.5476020088980942,0.4523979911019058,0.45843366565842886,0.5415663343415711,0.7722944286953921,0.2277055713046079,0.8888853962391575,0.11111460376084248,0.048101303836679196,0.9518986961633208,0.004608816088261156,0.9953911839117389,0.08343151173341715,0.9165684882665829,0.00410692429652572,0.9958930757034743,0.0750090525974179,0.9249909474025821,0.004324592410760096,0.9956754075892399,0.746709114467631,0.253290885532369,0.6690124136210267,0.3309875863789733,0.5271973643876915,0.4728026356123085,0.6523926437841854,0.11111460376084248
natural_aroma_matrix_cold_hot,natural_aroma_matrix,natural,216.0,124.17780061351742,151.23283634342152,72.43818553276944,4.49207641983197e-14,12329.089978350414,3.643477683851727e-18,1000000000000.0,914578.9381273306,25,151.23283634342152,0.28093845663818773,202266.62165116973,1.3889511494521124e-06,719967.7255708103,5.064462554641691,26,0.9252929647554256,0.07470703524457445,0.8891081560116877,0.11089184398831231,0.9199688050750167,0.08003119492498334,0.937708881538683,0.06229111846131696,0.906351934065044,0.093648065934956,0.9460142841933102,0.05398571580668976,0.9782521949638496,0.02174780503615037,0.9283260065101546,0.07167399348984538,0.9814987997681133,0.018501200231886727,0.9429655931186277,0.05703440688137229,0.9655035813326078,0.03449641866739217,0.5028287417162931,0.4971712582837069,0.6008660357303479,0.3991339642696521,0.5728837310384687,0.4271162689615313,0.4763040489008949,0.523695951099105,0.7780430954188418,0.22195690458115824,0.8966078666687003,0.10339213333129971,0.05091187688316688,0.9490881231168331,0.004840203609813483,0.9951597963901865,0.08830441549150228,0.9116955845084977,0.004318541858752509,0.9956814581412475,0.0795371563301684,0.9204628436698316,0.004542650741474538,0.9954573492585255,0.7332883735606572,0.26671162643934276,0.6490787326247296,0.3509212673752704,0.5032371422804054,0.4967628577195946,0.6552081767756172,0.10339213333129971
natural_lit_midN_24C_matrix_transfer,natural_literature_transfer,natural,216.0,123.9451167672228,151.02596718129226,71.62301610872161,4.573490715113575e-14,13293.433538680634,3.440413420510087e-18,1000000000000.0,848180.3603757222,25,151.02596718129226,0.27930456425676276,203588.52040566283,1.3719072357332868e-06,728912.257296681,5.179261849191512,26,0.9626306085452974,0.03736939145470264,0.940320450533018,0.05967954946698195,0.9197429265122343,0.08025707348776567,0.9252137878736344,0.0747862121263656,0.8728314386172801,0.12716856138271992,0.9088793182690805,0.09112068173091947,0.9788307272517563,0.02116927274824365,0.8940554623845489,0.10594453761545108,0.9796704289705419,0.020329571029458093,0.9398897229063149,0.060110277093685105,0.9711470971414073,0.028852902858592655,0.5865082332905038,0.41349176670949617,0.6878634486412906,0.31213655135870944,0.6579856004577064,0.3420143995422936,0.5696851476613098,0.43031485233869016,0.8106130062720375,0.18938699372796253,0.8931828386864344,0.10681716131356556,0.07908998987163081,0.9209100101283691,0.00387133607442248,0.9961286639255775,0.13453152697260562,0.8654684730273944,0.0034537695284133528,0.9965462304715866,0.12200489976927095,0.877995100230729,0.003622565918556055,0.996377434081444,0.6901503654482527,0.3098496345517473,0.5908134267332192,0.40918657326678076,0.44204516164128155,0.5579548383587185,0.6569655557348977,0.10681716131356556
natural_control_18C,natural_baseline,natural,216.0,123.47352303496461,150.55436664870794,70.63768075630405,-2.9878801037534075e-13,13177.505011844667,-2.2674095749291965e-17,1000000000000.0,859317.6759549706,25,150.55436664870794,0.2793588174252772,203524.37917812128,1.3726061642020135e-06,728541.0965507108,5.285142866327866,26,0.9627435031408245,0.037256496859175536,0.940876728153876,0.05912327184612398,0.9208681281542314,0.07913187184576864,0.9327825855170301,0.06721741448296992,0.8778106122899247,0.12218938771007526,0.9205948167248041,0.07940518327519586,0.9852565373284667,0.014743462671533258,0.8999952102162033,0.10000478978379668,0.9803699504926869,0.019630049507313063,0.9405050775412787,0.059494922458721344,0.970958054993301,0.029041945006698988,0.5885432318376198,0.4114567681623802,0.6908748652931826,0.30912513470681735,0.661114897445966,0.33888510255403403,0.5718085480640773,0.4281914519359227,0.8113460095212801,0.1886539904787199,0.8950906508963385,0.10490934910366145,0.07808663083980577,0.9219133691601942,0.003773076942269455,0.9962269230577305,0.13257645072244267,0.8674235492775573,0.003339558123366943,0.996660441876633,0.11999746631011352,0.8800025336898865,0.003521715070354649,0.9964782849296453,0.7401038443753915,0.25989615562460855,0.6607658562042867,0.33923414379571326,0.5257206133524823,0.4742793866475177,0.6386980116038061,0.10490934910366145
synthetic_natural_like_control,synthetic_baseline,synthetic,216.0,123.27806970911885,150.35972994369797,77.57210244334138,9.169839174883513e-14,13246.507601830668,6.922457941756845e-18,1000000000000.0,845742.1327309986,25,150.35972994369797,0.27935404913113754,203576.45598519663,1.3722316157790427e-06,728739.9506768254,5.313844698106295,26,0.9611751915660133,0.038824808433986724,0.9405435405681772,0.05945645943182276,0.9206047032486508,0.07939529675134915,0.9316777457721297,0.0683222542278703,0.8767974993043205,0.1232025006956795,0.9187231919642564,0.08127680803574355,0.9839011292842901,0.016098870715709923,0.8998907273608068,0.10010927263919323,0.9798235874116121,0.02017641258838787,0.9401790342942548,0.059820965705745244,0.970974365795288,0.029025634204712047,0.8007078828142994,0.1992921171857006,0.9495568083522761,0.05044319164772393,0.9102915995766998,0.0897084004233002,0.6914968384247167,0.30850316157528335,0.8270977985587834,0.1729022014412166,0.9064150248909497,0.09358497510905028,0.07968094253346837,0.9203190574665316,0.0037506869704240445,0.996249313029576,0.1350986843267998,0.8649013156732002,0.003319200305739362,0.9966807996942606,0.1223109963476694,0.8776890036523306,0.0035027573158681853,0.9964972426841319,0.7402574604998362,0.2597425395001638,0.6609518059319703,0.33904819406802966,0.5258483553634022,0.47415164463659776,0.6356151169959172,0.09358497510905028
