process,sample_id,sample_datetime,t_h,ethanol_status,ethanol_sample_type,sample_volume_ml,reactor_volume_before_sample_ml,reactor_volume_after_sample_ml,cumulative_sample_volume_removed_ml,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_final_calc,ethanol_g_l_for_model_manual
F1,DOE-LAB001-1,2026-06-15 15:30:00,0.0,measured,ethanol_50mL,50.0,2000.0,1950.0,50.0,0.05,,0.05,0.3945000000000001
F1,DOE-LAB001-2,2026-06-16 08:30:00,17.0,measured,ethanol_50mL,50.0,1950.0,1900.0,100.0,0.82,,0.82,6.4698
F1,DOE-LAB001-3,2026-06-16 12:00:00,20.5,not_measured,small_5mL,5.0,1900.0,1895.0,105.0,,,,
F1,DOE-LAB001-4,2026-06-16 14:30:00,23.0,not_measured,small_5mL,5.0,1895.0,1890.0,110.0,,,,
F1,DOE-LAB001-5,2026-06-16 16:30:00,25.0,measured,ethanol_50mL,50.0,1890.0,1840.0,160.0,1.18,,1.18,9.3102
F1,DOE-LAB001-6,2026-06-17 10:00:00,42.5,measured,ethanol_50mL,50.0,1840.0,1790.0,210.0,2.62,,2.62,20.6718
F1,DOE-LAB001-7,2026-06-17 12:30:00,45.0,measured,ethanol_50mL,50.0,1790.0,1740.0,260.0,3.19,,3.19,25.1691
F1,DOE-LAB001-8,2026-06-17 16:00:00,48.5,not_measured,small_5mL,5.0,1740.0,1735.0,265.0,,,,
F1,DOE-LAB001-9,2026-06-18 10:00:00,66.5,measured,ethanol_50mL,50.0,1735.0,1685.0,315.0,5.16,,5.16,40.7124
F1,DOE-LAB001-10,2026-06-18 12:30:00,69.0,not_measured,small_5mL,5.0,1685.0,1680.0,320.0,,,,
F1,DOE-LAB001-11,2026-06-18 16:00:00,72.5,pending_TBD,ethanol_50mL,50.0,1680.0,1630.0,370.0,TBD,,,
F1,DOE-LAB001-12,2026-06-19 10:00:00,90.5,pending_TBD,ethanol_50mL,50.0,1630.0,1580.0,420.0,TBD,,,
F1,DOE-LAB001-13,2026-06-19 12:00:00,92.5,not_measured,small_5mL,5.0,1580.0,1575.0,425.0,,,,
F1,DOE-LAB001-14,2026-06-19 16:00:00,96.5,pending_TBD,ethanol_50mL,50.0,1575.0,1525.0,475.0,TBD,,,
F1,DOE-LAB001-15,2026-06-22 10:00:00,162.5,pending_TBD,ethanol_50mL,50.0,1525.0,1475.0,525.0,TBD,,,
F1,DOE-LAB001-16,2026-06-22 16:00:00,168.5,pending_TBD,ethanol_50mL,50.0,1475.0,1425.0,575.0,TBD,,,
F1,DOE-LAB001-17,2026-06-23 10:00:00,186.5,not_measured,small_5mL,5.0,1425.0,1420.0,580.0,,,,
F1,DOE-LAB001-18,2026-06-23 16:00:00,192.5,not_measured,small_5mL,5.0,1420.0,1415.0,585.0,,,,
F1,DOE-LAB001-19,2026-06-24 11:00:00,211.5,pending_TBD,ethanol_50mL,50.0,1415.0,1365.0,635.0,TBD,,,
F2,DOE-LAB002-1,2026-06-15 15:30:00,0.0,measured,ethanol_50mL,50.0,2000.0,1950.0,50.0,1.31,,1.31,10.3359
F2,DOE-LAB002-2,2026-06-16 08:30:00,17.0,measured,ethanol_50mL,50.0,1950.0,1900.0,100.0,1.89,,1.89,14.9121
F2,DOE-LAB002-3,2026-06-16 12:00:00,20.5,not_measured,small_5mL,5.0,1900.0,1895.0,105.0,,,,
F2,DOE-LAB002-4,2026-06-16 14:30:00,23.0,not_measured,small_5mL,5.0,1895.0,1890.0,110.0,,,,
F2,DOE-LAB002-5,2026-06-16 16:30:00,25.0,measured,ethanol_50mL,50.0,1890.0,1840.0,160.0,2.13,,2.13,16.8057
F2,DOE-LAB002-6,2026-06-17 10:00:00,42.5,measured,ethanol_50mL,50.0,1840.0,1790.0,210.0,2.6,,2.6,20.514000000000003
F2,DOE-LAB002-7,2026-06-17 12:30:00,45.0,measured,ethanol_50mL,50.0,1790.0,1740.0,260.0,2.74,,2.74,21.618600000000004
F2,DOE-LAB002-8,2026-06-17 16:00:00,48.5,not_measured,small_5mL,5.0,1740.0,1735.0,265.0,,,,
F2,DOE-LAB002-9,2026-06-18 10:00:00,66.5,measured,ethanol_50mL,50.0,1735.0,1685.0,315.0,3.21,,3.21,25.3269
F2,DOE-LAB002-10,2026-06-18 12:30:00,69.0,not_measured,small_5mL,5.0,1685.0,1680.0,320.0,,,,
F2,DOE-LAB002-11,2026-06-18 16:00:00,72.5,pending_TBD,ethanol_50mL,50.0,1680.0,1630.0,370.0,TBD,,,
F2,DOE-LAB002-12,2026-06-19 10:00:00,90.5,pending_TBD,ethanol_50mL,50.0,1630.0,1580.0,420.0,TBD,,,
F2,DOE-LAB002-13,2026-06-19 12:00:00,92.5,not_measured,small_5mL,5.0,1580.0,1575.0,425.0,,,,
F2,DOE-LAB002-14,2026-06-19 16:00:00,96.5,pending_TBD,ethanol_50mL,50.0,1575.0,1525.0,475.0,TBD,,,
F2,DOE-LAB002-15,2026-06-22 10:00:00,162.5,pending_TBD,ethanol_50mL,50.0,1525.0,1475.0,525.0,TBD,,,
F2,DOE-LAB002-16,2026-06-22 16:00:00,168.5,pending_TBD,ethanol_50mL,50.0,1475.0,1425.0,575.0,TBD,,,
F2,DOE-LAB002-17,2026-06-23 10:00:00,186.5,not_measured,small_5mL,5.0,1425.0,1420.0,580.0,,,,
F2,DOE-LAB002-18,2026-06-23 16:00:00,192.5,not_measured,small_5mL,5.0,1420.0,1415.0,585.0,,,,
F2,DOE-LAB002-19,2026-06-24 11:00:00,211.5,not_measured,small_5mL,5.0,1415.0,1410.0,590.0,,,,
F2,DOE-LAB002-20,2026-06-25 16:00:00,240.5,pending_TBD,ethanol_50mL,50.0,1410.0,1360.0,640.0,TBD,,,
F2,DOE-LAB002-21,2026-06-26 12:00:00,260.5,pending_TBD,ethanol_50mL,50.0,1360.0,1310.0,690.0,TBD,,,
F2,DOE-LAB002-22,2026-07-01 15:18:00,383.8,pending_TBD,ethanol_50mL,50.0,1310.0,1260.0,740.0,TBD,,,
F3,DOE-LAB003-1,2026-06-15 15:30:00,0.0,measured,ethanol_50mL,50.0,2000.0,1950.0,50.0,0.37,,0.37,2.9193
F3,DOE-LAB003-2,2026-06-16 08:30:00,17.0,measured,ethanol_50mL,50.0,1950.0,1900.0,100.0,0.68,,0.68,5.365200000000001
F3,DOE-LAB003-3,2026-06-16 12:00:00,20.5,not_measured,small_5mL,5.0,1900.0,1895.0,105.0,,,,
F3,DOE-LAB003-4,2026-06-16 14:30:00,23.0,not_measured,small_5mL,5.0,1895.0,1890.0,110.0,,,,
