,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,8114.057160404847,55.875104390839866,-4796.773183579157,-6.1085585775184645,200.6183234549896,606.3521067467864,271.9004703973253,1056.6168783361024,441.0907469864053,-310.1210670417332,5596.58680752741,-246.66861610897894,-1287.0794649490601,37.6729913477607,53.72878705493352,173.6018122757887,17.599555077839728
sN,55.875104390839866,1.2339402940437665,9.442713260666345,0.04114092684075611,1.0295348715026376,3.19802634032456,2.0365042012041257,5.713351805460372,1.4734895276275037,-0.37618140629338803,20.186942757247582,-1.1625252957831782,-4.460819838951483,0.2689168154635787,0.1836207669718192,0.9422058672411868,0.08195710435694678
qN,-4796.773183579157,9.442713260666345,5244.018263077909,5.3962663340232195,-143.00464510012222,-300.63136461585526,-126.12628125564332,-527.2088834689029,-349.7623509183088,183.65326216168657,-4503.522379623778,172.60049046442415,1006.1218804409643,-12.439135477249248,-43.97189645308471,-81.4229792796078,-8.830426635299453
qXG,-6.1085585775184645,0.04114092684075611,5.3962663340232195,2.6286562826458675,1.2944374191186032,-38.659803694385616,2.3282712924403217,-53.77967063404094,-0.7881387668340671,67.48797097673084,39.15841578986245,0.8694041157443719,2.2760216331093925,-3.074270792737316,0.4498604806571018,-22.266528861048414,-2.7443191365909323
qXF,200.6183234549896,1.0295348715026376,-143.00464510012222,1.2944374191186032,13.918544504401542,-36.552618462300025,0.9067882200312738,-63.7445067658917,14.356294713381876,38.66250155299704,301.0811142817049,-9.93331044439167,-39.15830318184924,-3.1145499248147535,2.842236576025518,-0.24662444509556788,-0.03528085335091995
betaG0,606.3521067467864,3.19802634032456,-300.63136461585526,-38.659803694385616,-36.552618462300025,1347.3325760149964,11.46446549649082,2044.3235147214928,43.50491210621942,-1267.1455467855299,-1205.22545715281,-38.494739865142826,-127.9930409129984,124.87795173857653,-13.316583171769977,-77.31102750086312,-7.3524565965714554
sG,271.9004703973253,2.0365042012041257,-126.12628125564332,2.3282712924403217,0.9067882200312738,11.46446549649082,81.38118213579159,101.87833880902758,6.189089716059266,76.91588157978185,22.893808712279053,-6.8216882207553535,-40.990216822021125,4.260424584846162,0.2987853882485283,57.52324739602635,4.999562268590595
betaF0,1056.6168783361024,5.713351805460372,-527.2088834689029,-53.77967063404094,-63.7445067658917,2044.3235147214928,101.87833880902758,3348.5570728362623,66.260533712572,-1860.7017589211378,-2132.656602686385,-53.36778384158228,-220.16015565150275,189.26326365407087,-23.23299173756877,-29.367396896666932,-3.6983036148873603
sF,441.0907469864053,1.4734895276275037,-349.7623509183088,-0.7881387668340671,14.356294713381876,43.50491210621942,6.189089716059266,66.260533712572,37.0535313244808,-38.54412540408769,457.3409693007399,-17.60259194230779,-102.9885940295048,2.82396610742549,4.465498346362667,4.868745687611713,0.6729565316580334
qEG,-310.1210670417332,-0.37618140629338803,183.65326216168657,67.48797097673084,38.66250155299704,-1267.1455467855299,76.91588157978185,-1860.7017589211378,-38.54412540408769,2140.552739774148,1258.457939959821,29.52109629125788,92.4669099390985,-120.38857957803992,14.709238015813066,-695.9713447302021,-91.900401136167
qEF,5596.58680752741,20.186942757247582,-4503.522379623778,39.15841578986245,301.0811142817049,-1205.22545715281,22.893808712279053,-2132.656602686385,457.3409693007399,1258.457939959821,8768.009139919988,-232.64599326508738,-1250.8037717239442,-116.00159680101216,86.68226884910733,-5.916435677854249,-0.8692445226167788
iG,-246.66861610897894,-1.1625252957831782,172.60049046442415,0.8694041157443719,-9.93331044439167,-38.494739865142826,-6.8216882207553535,-53.36778384158228,-17.60259194230779,29.52109629125788,-232.64599326508738,11.68961850910329,50.28722874215066,-3.6477843583220553,-2.1494382891270902,-2.617708397468596,-0.318208112646451
iE,-1287.0794649490601,-4.460819838951483,1006.1218804409643,2.2760216331093925,-39.15830318184924,-127.9930409129984,-40.990216822021125,-220.16015565150275,-102.9885940295048,92.4669099390985,-1250.8037717239442,50.28722874215066,295.5111282647256,-10.905305181596647,-12.218440328671981,-31.480469118116012,-3.467986798064072
Kd0,37.6729913477607,0.2689168154635787,-12.439135477249248,-3.074270792737316,-3.1145499248147535,124.87795173857653,4.260424584846162,189.26326365407087,2.82396610742549,-120.38857957803992,-116.00159680101216,-3.6477843583220553,-10.905305181596647,51.705720791705275,-1.3097452099589364,-1.096844885469678,-0.16515766839019358
m0,53.72878705493352,0.1836207669718192,-43.97189645308471,0.4498604806571018,2.842236576025518,-13.316583171769977,0.2987853882485283,-23.23299173756877,4.465498346362667,14.709238015813066,86.68226884910733,-2.1494382891270902,-12.218440328671981,-1.3097452099589364,0.8653079523819249,-0.7603686749614973,-0.10319612564416661
gammaG0,173.6018122757887,0.9422058672411868,-81.4229792796078,-22.266528861048414,-0.24662444509556788,-77.31102750086312,57.52324739602635,-29.367396896666932,4.868745687611713,-695.9713447302021,-5.916435677854249,-2.617708397468596,-31.480469118116012,-1.096844885469678,-0.7603686749614973,871.0035352731829,107.44463893162967
gammaF0,17.599555077839728,0.08195710435694678,-8.830426635299453,-2.7443191365909323,-0.03528085335091995,-7.3524565965714554,4.999562268590595,-3.6983036148873603,0.6729565316580334,-91.900401136167,-0.8692445226167788,-0.318208112646451,-3.467986798064072,-0.16515766839019358,-0.10319612564416661,107.44463893162967,14.053069914911568
