,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,53.363817014808475,0.16676952197626857,-54.05834036831464,0.37217203093051815,1.2075082972164282,91.88345961108371,63.15449662252154,90.12884147043339,27.83761542140582,106.3169251179987,142.44916867131,-32.404930778511535,-115.51152940506446,15.505144780773152,1.1820225954922732,51.52496311889921,2.7645726884368163
sN,0.16676952197626857,0.042668657823585115,0.11004466728338691,0.003496079966683424,0.00708864371744264,0.34723579914292957,0.25812583016219726,0.346506361567198,0.10108891674350033,0.5789180236113995,0.5819200497184113,-0.13966587512666068,-0.4516558952004145,0.06432327235463244,0.004983405818793952,0.2163355270968921,0.01158695606367145
qN,-54.05834036831464,0.11004466728338691,57.43469932201083,-0.4617690764050473,-1.4922006817343159,-68.53619001649692,-62.883573411699345,-68.08935379262408,-28.75467790531916,-136.08784711328087,-176.40409371309528,34.26333579045505,117.60191399735834,-12.908964923937813,-1.5278982306514068,-44.531841005327465,-2.267687994625503
qXG,0.37217203093051815,0.003496079966683424,-0.4617690764050473,0.07770265162192018,0.039307678608486156,-9.670900500794781,1.355902436230234,-7.3302531306931735,-0.27040154559512686,21.551516789063424,6.440133531630001,0.12363764923524329,-0.896479269714005,-1.0978151863486099,0.11656774308333874,-5.19442208380141,-0.3888429955226448
qXF,1.2075082972164282,0.00708864371744264,-1.4922006817343159,0.039307678608486156,0.29161533253010313,-12.227016624582426,-0.058698638979843024,-13.187461548929232,1.6737331167309044,12.922419095562226,30.967355181600883,-2.779635102063575,-3.7160636855143996,-1.385885959069359,0.26298003087090366,-0.5557687545208482,-0.045548179178008824
betaG0,91.88345961108371,0.34723579914292957,-68.53619001649692,-9.670900500794781,-12.227016624582426,3929.261496272661,57.23107973620012,3287.493959744335,170.65774374747573,-3517.2597080405894,-2106.206554016495,-146.99284513862617,-353.17731890735206,455.5199963407696,-29.111222126302582,-256.52666702800417,-14.010133565131575
sG,63.15449662252154,0.25812583016219726,-62.883573411699345,1.355902436230234,-0.058698638979843024,57.23107973620012,182.9073842630905,155.96792335061264,18.054772178346756,461.14125589758714,-9.018271338211845,-20.97511490743608,-207.62973729491702,16.221662875221742,1.1269300455392557,176.80676221431776,9.592848946680753
betaF0,90.12884147043339,0.346506361567198,-68.08935379262408,-7.3302531306931735,-13.187461548929232,3287.493959744335,155.96792335061264,2986.2719494302787,118.122459074251,-2696.7412236083237,-2261.551786408895,-84.37599461661625,-339.72116729436425,416.58644101882516,-28.280182227380767,-56.077726297059606,-3.2126091710467444
sF,27.83761542140582,0.10108891674350033,-28.75467790531916,-0.27040154559512686,1.6737331167309044,170.65774374747573,18.054772178346756,118.122459074251,42.83674870437647,-114.5883370589505,200.86540904033754,-41.37613123610428,-97.94648311568257,34.32715303919163,0.9585382288766731,5.74426322230572,0.3850905156737909
qEG,106.3169251179987,0.5789180236113995,-136.08784711328087,21.551516789063424,12.922419095562226,-3517.2597080405894,461.14125589758714,-2696.7412236083237,-114.5883370589505,7437.181875669281,2225.5290836962477,66.32966850338187,-264.65300661203446,-410.84062223305364,40.941988166584984,-1861.7372838696874,-141.19903217162252
qEF,142.44916867131,0.5819200497184113,-176.40409371309528,6.440133531630001,30.967355181600883,-2106.206554016495,-9.018271338211845,-2261.551786408895,200.86540904033754,2225.5290836962477,4301.1220069443725,-300.84448525304066,-448.99671047680795,-238.3627513937454,39.96751565612405,-104.14903360079043,-8.710344342302045
iG,-32.404930778511535,-0.13966587512666068,34.26333579045505,0.12363764923524329,-2.779635102063575,-146.99284513862617,-20.97511490743608,-84.37599461661625,-41.37613123610428,66.32966850338187,-300.84448525304066,56.40049014819675,106.93133879990899,-16.47935456322535,-1.7113607224501244,-2.2381001539458203,-0.13079483835439987
iE,-115.51152940506446,-0.4516558952004145,117.60191399735834,-0.896479269714005,-3.7160636855143996,-353.17731890735206,-207.62973729491702,-339.72116729436425,-97.94648311568257,-264.65300661203446,-448.99671047680795,106.93133879990899,389.3306445625667,-69.87956872009669,-3.513708857597686,-169.54302459382194,-9.219863118493206
Kd0,15.505144780773152,0.06432327235463244,-12.908964923937813,-1.0978151863486099,-1.385885959069359,455.5199963407696,16.221662875221742,416.58644101882516,34.32715303919163,-410.84062223305364,-238.3627513937454,-16.47935456322535,-69.87956872009669,254.35325145491106,-3.278411162206103,-0.8800171275718883,-0.07081550940813533
m0,1.1820225954922732,0.004983405818793952,-1.5278982306514068,0.11656774308333874,0.26298003087090366,-29.111222126302582,1.1269300455392557,-28.280182227380767,0.9585382288766731,40.941988166584984,39.96751565612405,-1.7113607224501244,-3.513708857597686,-3.278411162206103,0.4504934790376295,-6.477431729151342,-0.5035784633011215
gammaG0,51.52496311889921,0.2163355270968921,-44.531841005327465,-5.19442208380141,-0.5557687545208482,-256.52666702800417,176.80676221431776,-56.077726297059606,5.74426322230572,-1861.7372838696874,-104.14903360079043,-2.2381001539458203,-169.54302459382194,-0.8800171275718883,-6.477431729151342,2758.8061719169123,189.08249642571076
gammaF0,2.7645726884368163,0.01158695606367145,-2.267687994625503,-0.3888429955226448,-0.045548179178008824,-14.010133565131575,9.592848946680753,-3.2126091710467444,0.3850905156737909,-141.19903217162252,-8.710344342302045,-0.13079483835439987,-9.219863118493206,-0.07081550940813533,-0.5035784633011215,189.08249642571076,13.683112186020836
