,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,64605.07144056528,587.2075747190731,-45349.560845720014,564.1879673705268,872.1312660399009,-851.8672150719377,4975.71502461619,-591.5266718586414,4286.263175572012,16955.584400816784,26383.377005002818,-3923.144123403744,-10727.294877120972,184.76358619937682,570.2196276378562,5637.421183512978,13.758762732223264
sN,587.2075747190731,13.365332446342912,-161.70806205313093,6.646570676677447,6.947643151901312,-10.639187794676799,45.56479409215791,3.3884055808102307,25.045178881845025,174.52676495056699,156.47380043716566,-26.448359112163907,-72.57159530060164,3.2065985922060727,3.635689880126848,49.62847344466937,0.11714688036335578
qN,-45349.560845720014,-161.70806205313093,41859.94541784046,-375.40096142203436,-699.1458370019096,1244.8480633480983,-3555.9386933657993,1423.9861811999672,-3640.4382783979026,-12518.365160584406,-22941.548480079327,3187.828491857383,8576.388544040952,-61.02048047131473,-491.27522769403976,-3580.0266802140504,-8.711741507607066
qXG,564.1879673705268,6.646570676677447,-375.40096142203436,41.62359789837965,9.805173627398192,-478.37592442236553,106.53186573096875,-313.8093794899402,-3.3259201589035445,1375.4152143325405,329.77206904951515,-2.7034645164300706,-90.46599246358146,-22.958536447955943,15.537355136451865,-339.3152304115278,-1.0418569941667986
qXF,872.1312660399009,6.947643151901312,-699.1458370019096,9.805173627398192,54.07828703651984,-352.1583083033574,-1.8979169573704038,-425.8470761158387,139.9749108107326,357.24393972804285,1357.9621207260914,-156.0518086508849,-207.99780329942314,-24.9901669495728,25.204919311308178,-1.2596967697566617,-0.0045688409674621904
betaG0,-851.8672150719377,-10.639187794676799,1244.8480633480983,-478.37592442236553,-352.1583083033574,20332.267004204732,-370.7517880207522,15840.85166593406,608.2843710909972,-19783.808111161525,-12921.599244324363,-466.9474353167732,-397.87869166864834,1535.5922820149074,-386.17512349013936,-2509.8441489213105,-6.4842899321409515
sG,4975.71502461619,45.56479409215791,-3555.9386933657993,106.53186573096875,-1.8979169573704038,-370.7517880207522,1242.4697702877295,606.0099548183114,75.7203768116143,3459.022533113838,-117.43311945356635,-71.63074261010937,-1104.6205308412298,130.62079275972656,20.482342141663693,1710.651061364464,4.433730483663106
betaF0,-591.5266718586414,3.3884055808102307,1423.9861811999672,-313.8093794899402,-425.8470761158387,15840.85166593406,606.0099548183114,13965.928285434695,-139.8998633062482,-13524.83936372299,-15114.825767169974,142.2244911134582,-156.2329728556543,1310.0352947538042,-384.3696011969902,-448.87261675002486,-1.162161880016029
sF,4286.263175572012,25.045178881845025,-3640.4382783979026,-3.3259201589035445,139.9749108107326,608.2843710909972,75.7203768116143,-139.8998633062482,875.788562412544,-319.57880978865427,4625.336849976385,-620.3745870431857,-1238.8765847123082,17.294682782121505,82.31357838802549,-47.25645230617051,-0.12745894249888365
qEG,16955.584400816784,174.52676495056699,-12518.365160584406,1375.4152143325405,357.24393972804285,-19783.808111161525,3459.022533113838,-13524.83936372299,-319.57880978865427,53027.515955901166,12908.74922739037,87.9778179789975,-2796.3961508024245,-1123.890007364701,608.0749687168111,-15543.00763606831,-47.784011556583046
qEF,26383.377005002818,156.47380043716566,-22941.548480079327,329.77206904951515,1357.9621207260914,-12921.599244324363,-117.43311945356635,-15114.825767169974,4625.336849976385,12908.74922739037,43477.72633861107,-4318.167421366188,-7156.269765882376,-1110.0098659585583,870.0619544962698,-40.02038619420425,-0.14067804903515888
iG,-3923.144123403744,-26.448359112163907,3187.828491857383,-2.7034645164300706,-156.0518086508849,-466.9474353167732,-71.63074261010937,142.2244911134582,-620.3745870431857,87.9778179789975,-4318.167421366188,697.4369709203461,1067.5362035685964,-37.63399044448885,-70.798551851978,90.6000147048266,0.2309976234300518
iE,-10727.294877120972,-72.57159530060164,8576.388544040952,-90.46599246358146,-207.99780329942314,-397.87869166864834,-1104.6205308412298,-156.2329728556543,-1238.8765847123082,-2796.3961508024245,-7156.269765882376,1067.5362035685964,2926.394419614877,-113.6493419817558,-145.80981629520176,-1262.4464986811909,-3.1799494020129115
Kd0,184.76358619937682,3.2065985922060727,-61.02048047131473,-22.958536447955943,-24.9901669495728,1535.5922820149074,130.62079275972656,1310.0352947538042,17.294682782121505,-1123.890007364701,-1110.0098659585583,-37.63399044448885,-113.6493419817558,681.671446606994,-31.3855121209222,-28.7818468388981,-0.08730359352115097
m0,570.2196276378562,3.635689880126848,-491.27522769403976,15.537355136451865,25.204919311308178,-386.17512349013936,20.482342141663693,-384.3696011969902,82.31357838802549,608.0749687168111,870.0619544962698,-70.798551851978,-145.80981629520176,-31.3855121209222,20.42412430313541,-108.27538956221488,-0.33539977329823645
gammaG0,5637.421183512978,49.62847344466937,-3580.0266802140504,-339.3152304115278,-1.2596967697566617,-2509.8441489213105,1710.651061364464,-448.87261675002486,-47.25645230617051,-15543.00763606831,-40.02038619420425,90.6000147048266,-1262.4464986811909,-28.7818468388981,-108.27538956221488,24258.722611192657,69.29385542811777
gammaF0,13.758762732223264,0.11714688036335578,-8.711741507607066,-1.0418569941667986,-0.0045688409674621904,-6.4842899321409515,4.433730483663106,-1.162161880016029,-0.12745894249888365,-47.784011556583046,-0.14067804903515888,0.2309976234300518,-3.1799494020129115,-0.08730359352115097,-0.33539977329823645,69.29385542811777,0.20327237879327226
