,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0
mu0,5322.064488064979,-3039.72070530717,535.4805645871664,482.63694207621256,1138.3835007938255,1600.9005580084402,-271.04517087181176,-1104.748983026676,-12.450641919541324,396.9051742266408,21.667237396367334
qN,-3039.72070530717,3178.843498267392,-244.2988442965554,-192.9320954988596,-655.1998387487477,-1348.5984798230472,185.72561499404569,728.4998587177042,72.27611094130819,-218.79664481921577,-12.219598264859975
betaG0,535.4805645871666,-244.29884429655544,1850.8403976685279,1466.0681828166657,-1537.579557199378,-764.7532060963631,-92.97887785116069,-227.19825441247647,413.0694890505721,-158.92209574489212,-9.432051072660457
betaF0,482.63694207621256,-192.93209549885958,1466.0681828166657,1281.704780421334,-1034.7728486001129,-949.9993090292954,-46.755418665857704,-195.39171865389588,375.5669287314834,-40.34833062494546,-2.681176072981659
qEG,1138.3835007938255,-655.1998387487475,-1537.579557199378,-1034.7728486001129,3810.249735784243,725.3361495555761,40.43194280534851,-262.2490038169247,-305.85572612281567,-812.4615761845487,-59.59882531443246
qEF,1600.9005580084402,-1348.5984798230472,-764.7532060963632,-949.9993090292954,725.3361495555761,2846.481204943434,-230.55777435378434,-494.37143552490375,-303.77344699376545,-17.29672930361124,-1.3125589041803236
iG,-271.04517087181176,185.72561499404569,-92.97887785116068,-46.755418665857704,40.431942805348505,-230.55777435378434,38.720181976154,86.21724442512037,-11.197852280550162,-2.9926307896329707,-0.18255422046518255
iE,-1104.748983026676,728.4998587177043,-227.19825441247644,-195.39171865389588,-262.2490038169247,-494.3714355249038,86.21724442512037,349.4458494776847,-45.114113143643664,-118.37887369869763,-6.553890173973636
Kd0,-12.45064191954133,72.27611094130819,413.06948905057203,375.5669287314835,-305.8557261228156,-303.7734469937655,-11.19785228055016,-45.11411314364367,400.4952287715174,-14.665198376704762,-1.0899808058257339
gammaG0,396.9051742266408,-218.7966448192157,-158.9220957448921,-40.348330624945454,-812.4615761845486,-17.29672930361124,-2.992630789632971,-118.37887369869766,-14.665198376704762,1362.7590638215088,89.6900992794225
gammaF0,21.667237396367334,-12.21959826485998,-9.432051072660455,-2.6811760729816583,-59.59882531443246,-1.3125589041803236,-0.18255422046518258,-6.5538901739736355,-1.089980805825734,89.6900992794225,6.117303427427045
