fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
natural_reduced11,natural,LAB004,X,12,2.921376726044274,329.15732111765476,0.49340456068391736,5.237344437766583,-0.14403961855130815
natural_reduced11,natural,LAB004,Xd,12,0.28358649000000014,69.259515536804,0.1537277057006967,2.402420923721251,-0.056975000000000116
natural_reduced11,natural,LAB004,N,13,0.047158332491049906,280.9042285172665,0.06022926230473912,4.648442489506703,-0.03931361545034011
natural_reduced11,natural,LAB004,G,13,296.3678258931011,47.418852142896164,4.774675388830122,1.909870155532049,-0.7861603110763079
natural_reduced11,natural,LAB004,F,13,766.3565642379345,122.61705027806951,7.677923217991932,3.0711692871967724,-3.6706700151880076
natural_reduced11,natural,LAB004,E,5,329.9025723206853,77.80140425723788,8.122839064276546,3.9446521838366913,-5.11864940540145
natural_reduced11,natural,LAB004,Gly,13,2.892317961076471,23.61075886593038,0.47168421322520687,1.3476691806434482,-0.18854861782637775
natural_reduced11,natural,LAB005,X,12,3.0971265183164913,307.00142629415893,0.5080294051788482,5.058008717981802,-0.14434584891653743
natural_reduced11,natural,LAB005,Xd,12,0.8217890401737679,189.80483218497577,0.26169145957497475,3.977067933635027,0.006831390804382849
natural_reduced11,natural,LAB005,N,13,0.06161039073509096,335.65579261524215,0.06884228951579276,5.081306559834648,-0.044540657406304314
natural_reduced11,natural,LAB005,G,13,212.12872344194662,33.94059575071145,4.039504191224335,1.6158016764897338,-1.4035287496042725
natural_reduced11,natural,LAB005,F,13,598.2520962519907,95.7203354003185,6.78375943112548,2.713503772450192,5.68451606868313
natural_reduced11,natural,LAB005,E,5,85.0978932821007,20.468037375636996,4.125479203246593,2.0232665358591286,-0.10028819028140248
natural_reduced11,natural,LAB005,Gly,13,41.334356295146165,250.44503204201465,1.7831337215299916,4.389191550248218,-0.43326690652391486
natural_reduced11,natural,LAB006,X,14,6.852919793752047,320.7244576047824,0.6996386717315511,4.786323205646797,-0.5391540519536131
