candidate,batch,channel,amount,start_datetime,nominal_time_h,nominal_calendar_time,adjusted_time_h,adjusted_calendar_time,date,weekday,clock,shift_h,shift_class,adjustment_rule
fructose_rich_iG_probe,1,N,0.08,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,2026-06-15,Monday,08:00,0.0,minor,initial_formulation_or_inoculation
fructose_rich_iG_probe,1,N,0.06,2026-06-15 08:00:00,48.0,2026-06-17 08:00:00,49.0,2026-06-17 09:00:00,2026-06-17,Wednesday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
fructose_rich_iG_probe,1,G,35.0,2026-06-15 08:00:00,72.0,2026-06-18 08:00:00,73.0,2026-06-18 09:00:00,2026-06-18,Thursday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
cold_synthesis_hot_stripping,2,N,0.08,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,2026-06-29,Monday,08:00,0.0,minor,initial_formulation_or_inoculation
cold_synthesis_hot_stripping,2,N,0.05,2026-06-29 08:00:00,48.0,2026-07-01 08:00:00,49.0,2026-07-01 09:00:00,2026-07-01,Wednesday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
cold_synthesis_hot_stripping,2,G,35.0,2026-06-29 08:00:00,96.0,2026-07-03 08:00:00,97.0,2026-07-03 09:00:00,2026-07-03,Friday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
low_temp_growth_separation_plus_co2,1,N,0.07,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,2026-06-15,Monday,08:00,0.0,minor,initial_formulation_or_inoculation
low_temp_growth_separation_plus_co2,1,N,0.07,2026-06-15 08:00:00,32.0,2026-06-16 16:00:00,32.0,2026-06-16 16:00:00,2026-06-16,Tuesday,16:00,0.0,minor,nearest_workday_09_11_14_or_16
low_temp_growth_separation_plus_co2,1,N,0.06,2026-06-15 08:00:00,64.0,2026-06-18 00:00:00,56.0,2026-06-17 16:00:00,2026-06-17,Wednesday,16:00,-8.0,moderate,nearest_workday_09_11_14_or_16
combined_stress_long_horizon,2,N,0.05,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,2026-06-29,Monday,08:00,0.0,minor,initial_formulation_or_inoculation
combined_stress_long_horizon,2,N,0.05,2026-06-29 08:00:00,60.0,2026-07-01 20:00:00,56.0,2026-07-01 16:00:00,2026-07-01,Wednesday,16:00,-4.0,minor,nearest_workday_09_11_14_or_16
combined_stress_long_horizon,2,G,25.0,2026-06-29 08:00:00,72.0,2026-07-02 08:00:00,73.0,2026-07-02 09:00:00,2026-07-02,Thursday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
combined_stress_long_horizon,2,F,25.0,2026-06-29 08:00:00,96.0,2026-07-03 08:00:00,97.0,2026-07-03 09:00:00,2026-07-03,Friday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
combined_stress_long_horizon,2,E,20.0,2026-06-29 08:00:00,120.0,2026-07-04 08:00:00,120.0,2026-07-04 08:00:00,2026-07-04,Saturday,08:00,0.0,minor,automated_E_nominal_time
yan_saturation_scan,1,N,0.025,2026-06-15 08:00:00,24.0,2026-06-16 08:00:00,25.0,2026-06-16 09:00:00,2026-06-16,Tuesday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
yan_saturation_scan,1,N,0.045,2026-06-15 08:00:00,48.0,2026-06-17 08:00:00,49.0,2026-06-17 09:00:00,2026-06-17,Wednesday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
yan_saturation_scan,1,N,0.065,2026-06-15 08:00:00,72.0,2026-06-18 08:00:00,73.0,2026-06-18 09:00:00,2026-06-18,Thursday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
glucose_rich_growth_yield,2,N,0.08,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,2026-06-29,Monday,08:00,0.0,minor,initial_formulation_or_inoculation
glucose_rich_growth_yield,2,N,0.06,2026-06-29 08:00:00,36.0,2026-06-30 20:00:00,32.0,2026-06-30 16:00:00,2026-06-30,Tuesday,16:00,-4.0,minor,nearest_workday_09_11_14_or_16
glucose_rich_growth_yield,2,F,35.0,2026-06-29 08:00:00,72.0,2026-07-02 08:00:00,73.0,2026-07-02 09:00:00,2026-07-02,Thursday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
high_biomass_low_N_maintenance,3,N,0.015,2026-07-13 08:00:00,72.0,2026-07-16 08:00:00,73.0,2026-07-16 09:00:00,2026-07-16,Thursday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
high_biomass_low_N_maintenance,3,G,20.0,2026-07-13 08:00:00,48.0,2026-07-15 08:00:00,49.0,2026-07-15 09:00:00,2026-07-15,Wednesday,09:00,1.0,minor,nearest_workday_09_11_14_or_16
