,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,131570.61167048948,-73638.44894683195,-18052.81999378612,-6710.011460802675,68927.58076079562,70628.21507414186,-13998.948721468354,-66107.42415521304,359.3210079851206,10525.523891007084,110.08113476701665,-371.4423620096476,1021.8808179933222,51.27992299059552,6210.095116136805,-20.88522739778315,-466.4848289624798,3853.108049398308,-0.3211368320935495,1848.1190884531538,107.3212759377965,-241.40623409349723,1431.82331360499,8440.009445996557,1130.0445399499881,9614.816999552419,1188.0906335851473,9534.224433373163,-586.6328626668616,-650.2154471915658,-700.7539220703626
qN,-73638.44894683195,69573.92325855848,12997.538177658354,5381.25730506615,-42678.3881266746,-49888.266337199886,9428.167398409425,43769.21632116498,-228.944372957559,-5715.287089053622,-59.38101573214075,532.694411894391,-921.7636989619302,-39.92407288868771,-4353.346309845116,16.244611829431186,350.95770849325163,-3121.424006962573,0.22734927185007658,-758.5304506977609,-6.162010412240932,90.46358942656616,-11.624461529796179,-1568.1235902532642,99.95981250634509,-875.3172462114751,81.98395564174885,-1058.753820404704,112.07522644206247,51.25180486673154,52.51691213003506
betaG0,-18052.81999378612,12997.538177658354,80118.15971492148,47712.50431201488,-82433.80848522614,-57437.525189090644,1233.8160838136375,12335.710911414346,3435.5172793574357,-7502.728339811283,-82.70832123332927,-567.0862914330345,70.43330622013042,-33.3943614357505,-3926.6727990564773,11.662133054616794,539.4565701855314,568.6818238190682,-0.07534945909169896,-502.7327341267354,17.93465697353316,67.78814384363295,-689.5101882797168,-6436.993674395922,-491.610185696685,-6675.296151908426,-492.8754134671021,-6166.67554071402,465.38930434418216,468.86877446927264,454.48641644775716
betaF0,-6710.011460802675,5381.25730506615,47712.50431201488,32810.895619447125,-43630.534706429666,-40969.977181448754,1080.9429654057183,4200.971438530954,2352.4321115713506,-2073.2895877362666,-23.306108806246353,-233.24548067380277,7.240074587370233,-18.24494965914059,-1961.6450518824483,6.8684612898692805,288.67846089232984,332.49539931043705,-0.04584886401502463,-300.9160541151908,10.27012471308188,40.122449463503905,-407.699027481145,-3834.952535828433,-298.61701672175536,-4053.0831460769564,-302.3157292486697,-3797.6471657394773,289.0773212832436,300.4407413603918,301.9896863706018
qEG,68927.58076079562,-42678.3881266746,-82433.80848522614,-43630.534706429666,179117.36769527843,62357.506362866596,-3457.694532857382,-47160.65312526601,-2771.9755296521953,-25499.88949241184,-403.0187954654563,1482.633082528974,-395.7362092325945,57.37295105797179,7733.740803570099,-17.339923547084183,-877.1463501150241,106.73722649191188,0.020833414762100363,615.2203190989584,-21.04064203344183,-82.69280650498489,1155.5185740456798,10187.738654495224,801.0004579982677,10495.520308364732,834.3205352397716,10083.54176994552,-683.1071089864415,-681.3236329467493,-689.9716029604291
qEF,70628.21507414186,-49888.266337199886,-57437.525189090644,-40969.977181448754,62357.506362866596,128486.23686407723,-19168.13561532885,-50735.47213735073,-2311.6169019371173,-371.87545446703285,-6.183577904223761,1198.614627676488,-492.85531686391914,55.45104655514269,6422.4814443189225,-18.974461309025173,-823.5832602883337,55.85872490397217,0.010668634009615627,660.7251003693251,-16.554752798220765,-83.55364767696307,1072.628980415347,9356.027912596928,785.5925099753583,10034.280887682022,819.9518896500769,9748.960158704447,-657.8372020988786,-689.9868003818202,-716.7864036283208
iG,-13998.948721468354,9428.167398409425,1233.8160838136375,1080.9429654057183,-3457.694532857382,-19168.13561532885,5088.123196074865,10193.581774039736,-65.36292708918972,699.4223947939889,7.486284634112654,-213.4380472149569,71.30955614133308,-6.167650951559404,-932.5724564338009,1.3842948714138847,91.92307914970047,-122.34234480741013,0.010531907867041798,-39.38434653801766,0.8989568580222485,4.97437888694299,-117.90981591817001,-946.6966249699133,-79.23423510808517,-964.7664104355571,-86.2712154676392,-971.6717987601756,53.32763728568654,50.97657785987224,54.25267684768997
iE,-66107.42415521304,43769.21632116498,12335.710911414346,4200.971438530954,-47160.65312526601,-50735.47213735073,10193.581774039736,48767.03554776836,-320.4969228037591,-7452.135999149441,-80.70435311623159,-988.9741339192179,509.9729846095865,-36.037443720663596,-4391.721062515721,11.39547071570824,518.7302844887018,-409.1857285728768,0.033577625532325815,-325.81735398263663,5.991844524000124,39.42765922034317,-658.9266550907452,-6051.223792449262,-495.4690132698468,-6691.440950736066,-526.7429737345905,-6669.985411416389,408.3937513844724,444.3729921713727,476.53404865961363
Kd0,359.3210079851206,-228.944372957559,3435.5172793574357,2352.4321115713506,-2771.9755296521953,-2311.6169019371173,-65.36292708918972,-320.4969228037591,1380.2504589411833,-29.31579574318856,-0.4270968624875849,63.211289052183744,-91.95196233074891,-1.4896277109406886,-128.51467640273071,0.6418242101775302,-0.7336574869282879,-330.50489531081814,0.0040906310594104,-20.19750909324972,0.35199053618106285,2.768069534706206,-17.049236028944275,-184.55750429622745,-13.66181097376892,-212.46635905514555,-14.34120687478772,-210.99777139181552,16.16091677405397,18.025821119667423,18.842889913688285
gammaG0,10525.523891007084,-5715.287089053622,-7502.728339811283,-2073.2895877362666,-25499.88949241184,-371.87545446703285,699.4223947939889,-7452.135999149441,-29.31579574318856,48829.19676678478,651.206268668197,-0.0206015708513182,0.0296058875498121,-0.003793541904643211,-0.2359574988162576,0.0031500376590388583,0.0392156962106271,0.0093807094947264,-4.2665354576952554e-08,-0.0546513117528206,0.002874045191624338,0.006403247445032306,-0.005742493297057001,-0.4631426759150364,-0.005068556279653899,-0.5327154904833528,-0.0052189361611463,-0.5252052478095744,0.035454414945269394,0.0420672225513746,0.044414424524530496
gammaF0,110.08113476701665,-59.38101573214075,-82.70832123332927,-23.306108806246353,-403.0187954654563,-6.183577904223761,7.486284634112654,-80.70435311623159,-0.4270968624875849,651.206268668197,9.665707893431279,-0.0016299579315703998,0.0015981653734534848,-6.535486529497434e-05,-0.005575647229687738,2.900056561922695e-05,0.0008973021518776859,0.00012875288204713297,1.7034886602357958e-09,-0.0006859460239690869,5.1367497832082364e-06,7.747114751534162e-05,-0.001074098918112544,-0.0077385527312183655,-0.0008436623156647866,-0.008735822836340616,-0.0008728691010527094,-0.008519028026066428,0.0006018872203245737,0.0006723064855366277,0.0007178913542259167
kPyrS,-371.4423620096476,532.694411894391,-567.0862914330345,-233.24548067380277,1482.633082528974,1198.614627676488,-213.4380472149569,-988.9741339192179,63.211289052183744,-0.0206015708513182,-0.0016299579315703998,9048.02903466275,-7082.753069227759,4.946092190661009,361.50787832583256,-4.061696030452912,-98.62520077781666,2.4284472047097645,-8.808370881654e-05,-1232.2478841023794,39.65671160048776,171.8985861699605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrD,1021.8808179933222,-921.7636989619302,70.43330622013042,7.240074587370233,-395.7362092325945,-492.85531686391914,71.30955614133308,509.9729846095865,-91.95196233074891,0.0296058875498121,0.0015981653734534848,-7082.753069227759,7429.460254094671,-4.258045350397426,-268.26509447814686,3.9048823398215955,95.0950434009051,-1.0603884289538523,3.200186626127399e-05,1536.3830643962506,-47.179738367306314,-211.44469886010515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,51.27992299059552,-39.92407288868771,-33.3943614357505,-18.24494965914059,57.37295105797179,55.45104655514269,-6.167650951559404,-36.037443720663596,-1.4896277109406886,-0.003793541904643211,-6.535486529497434e-05,4.946092190661009,-4.258045350397426,7.37852282445413,515.3330483613988,-5.987515330925724,-166.25606159113386,3.281163825118782,-0.00010929134913932744,146.51369741297236,-5.429091329203014,-21.559454438690008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS,6210.095116136805,-4353.346309845116,-3926.6727990564773,-1961.6450518824483,7733.740803570099,6422.4814443189225,-932.5724564338009,-4391.721062515721,-128.51467640273071,-0.2359574988162576,-0.005575647229687738,361.50787832583256,-268.26509447814686,515.3330483613988,43368.09404653653,-371.3776340955222,-10448.019511010472,474.73782872234676,-0.02111616802061724,8553.021557451675,-366.18415520672585,-1281.8180639646316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-20.88522739778315,16.244611829431186,11.662133054616794,6.8684612898692805,-17.339923547084183,-18.974461309025173,1.3842948714138847,11.39547071570824,0.6418242101775302,0.0031500376590388583,2.900056561922695e-05,-4.061696030452912,3.9048823398215955,-5.987515330925724,-371.3776340955222,6.654431347776287,129.57944829051905,-0.6975449545667978,4.750079556844534e-05,-131.35506376068597,8.34036285793581,22.606573655432804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,-466.4848289624798,350.95770849325163,539.4565701855314,288.67846089232984,-877.1463501150241,-823.5832602883337,91.92307914970047,518.7302844887018,-0.7336574869282879,0.0392156962106271,0.0008973021518776859,-98.62520077781666,95.0950434009051,-166.25606159113386,-10448.019511010472,129.57944829051905,5087.061990472762,443.1618368771902,-0.025066519574720385,-3829.824829182812,77.21406120383956,533.4093668454631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,3853.108049398308,-3121.424006962573,568.6818238190682,332.49539931043705,106.73722649191188,55.85872490397217,-122.34234480741013,-409.1857285728768,-330.50489531081814,0.0093807094947264,0.00012875288204713297,2.4284472047097645,-1.0603884289538523,3.281163825118782,474.73782872234676,-0.6975449545667978,443.1618368771902,7662.800480713656,-0.5373034389449631,-607.8916805027711,39.726129814005354,90.66730720009308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.3211368320935495,0.22734927185007658,-0.07534945909169896,-0.04584886401502463,0.020833414762100363,0.010668634009615627,0.010531907867041798,0.033577625532325815,0.0040906310594104,-4.2665354576952554e-08,1.7034886602357958e-09,-8.808370881654e-05,3.200186626127399e-05,-0.00010929134913932744,-0.02111616802061724,4.750079556844534e-05,-0.025066519574720385,-0.5373034389449631,0.00015835473425043469,0.02928610267293035,-0.005707496056824314,-0.0074926863762159466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qO2,1848.1190884531538,-758.5304506977609,-502.7327341267354,-300.9160541151908,615.2203190989584,660.7251003693251,-39.38434653801766,-325.81735398263663,-20.19750909324972,-0.0546513117528206,-0.0006859460239690869,-1232.2478841023794,1536.3830643962506,146.51369741297236,8553.021557451675,-131.35506376068597,-3829.824829182812,-607.8916805027711,0.02928610267293035,7939.850947894241,123.93379157477321,-967.3092643258514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kLaO2,107.3212759377965,-6.162010412240932,17.93465697353316,10.27012471308188,-21.04064203344183,-16.554752798220765,0.8989568580222485,5.991844524000124,0.35199053618106285,0.002874045191624338,5.1367497832082364e-06,39.65671160048776,-47.179738367306314,-5.429091329203014,-366.18415520672585,8.34036285793581,77.21406120383956,39.726129814005354,-0.005707496056824314,123.93379157477321,64.11513961977997,3.2157830956421742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2sat,-241.40623409349723,90.46358942656616,67.78814384363295,40.122449463503905,-82.69280650498489,-83.55364767696307,4.97437888694299,39.42765922034317,2.768069534706206,0.006403247445032306,7.747114751534162e-05,171.8985861699605,-211.44469886010515,-21.559454438690008,-1281.8180639646316,22.606573655432804,533.4093668454631,90.66730720009308,-0.0074926863762159466,-967.3092643258514,3.2157830956421742,145.1337569775322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,1431.82331360499,-11.624461529796179,-689.5101882797168,-407.699027481145,1155.5185740456798,1072.628980415347,-117.90981591817001,-658.9266550907452,-17.049236028944275,-0.005742493297057001,-0.001074098918112544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.1282406308554,3589.5881570591428,0.0,0.0,0.0,0.0,-256.1533876098125,0.0,0.0
k_EA_stationary,8440.009445996557,-1568.1235902532642,-6436.993674395922,-3834.952535828433,10187.738654495224,9356.027912596928,-946.6966249699133,-6051.223792449262,-184.55750429622745,-0.4631426759150364,-0.0077385527312183655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589.5881570591428,37975.899492808065,0.0,0.0,0.0,0.0,-2839.436413923601,0.0,0.0
k_IAA_growth,1130.0445399499881,99.95981250634509,-491.610185696685,-298.61701672175536,801.0004579982677,785.5925099753583,-79.23423510808517,-495.4690132698468,-13.66181097376892,-0.005068556279653899,-0.0008436623156647866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.5512751592379,2845.474023093847,0.0,0.0,0.0,-201.6736813819976,0.0
k_IAA_stationary,9614.816999552419,-875.3172462114751,-6675.296151908426,-4053.0831460769564,10495.520308364732,10034.280887682022,-964.7664104355571,-6691.440950736066,-212.46635905514555,-0.5327154904833528,-0.008735822836340616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.474023093847,43286.78115520136,0.0,0.0,0.0,-3256.874284252222,0.0
k_EO_growth,1188.0906335851473,81.98395564174885,-492.8754134671021,-302.3157292486697,834.3205352397716,819.9518896500769,-86.2712154676392,-526.7429737345905,-14.34120687478772,-0.0052189361611463,-0.0008728691010527094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.06407404730476,2969.722675922401,0.0,0.0,-234.686083461108
k_EO_stationary,9534.224433373163,-1058.753820404704,-6166.67554071402,-3797.6471657394773,10083.54176994552,9748.960158704447,-971.6717987601756,-6669.985411416389,-210.99777139181552,-0.5252052478095744,-0.008519028026066428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2969.722675922401,42770.69326984372,0.0,0.0,-3527.156624200072
alpha_EA_loss,-586.6328626668616,112.07522644206247,465.38930434418216,289.0773212832436,-683.1071089864415,-657.8372020988786,53.32763728568654,408.3937513844724,16.16091677405397,0.035454414945269394,0.0006018872203245737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.1533876098125,-2839.436413923601,0.0,0.0,0.0,0.0,239.42017238110282,0.0,0.0
alpha_IAA_loss,-650.2154471915658,51.25180486673154,468.86877446927264,300.4407413603918,-681.3236329467493,-689.9868003818202,50.97657785987224,444.3729921713727,18.025821119667423,0.0420672225513746,0.0006723064855366277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.6736813819976,-3256.874284252222,0.0,0.0,0.0,278.44202700338417,0.0
alpha_EO_loss,-700.7539220703626,52.51691213003506,454.48641644775716,301.9896863706018,-689.9716029604291,-716.7864036283208,54.25267684768997,476.53404865961363,18.842889913688285,0.044414424524530496,0.0007178913542259167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-234.686083461108,-3527.156624200072,0.0,0.0,337.24478981225076
