,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldS,kAcAld,kAcStress,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,130594.77340445676,-76516.86166507179,-18075.828499625284,-6783.69402276892,68884.55618365857,72992.21079837304,-14454.822072844754,-67424.70006159085,365.1433806816405,10539.097752904936,110.29415251328211,-316.3477767742943,922.5561728740297,6294.939556805266,-502.80686469406453,3610.6052018090913,1869.7765844602368,126.04493802675822,-241.2289250637998,1345.0544406097497,9096.361376531795,1062.5424938048495,10348.09156167611,1116.359973514366,10241.565959322492,-637.5692782511961,-712.234356894552,-765.4121453123919
qN,-76516.86166507179,71154.88450634896,13077.05274215502,5348.31440822721,-43914.971003579834,-53171.56408200545,10143.43351054185,46270.93460358865,-234.8007078398011,-5987.022228596582,-62.55237941026728,462.6572476203068,-840.5320525205423,-4659.348320780556,398.2805839900948,-2970.929447034504,-820.4270391859495,-16.48693232688358,99.23743822917488,-106.3058155067143,-2685.8463173867976,11.859011961994785,-2182.156356042112,-6.07172606711751,-2320.3542004308792,190.48197020913605,148.19401833286338,159.83466467535885
betaG0,-18075.828499625284,13077.05274215502,80328.97499165089,47325.5282783132,-82308.58509706342,-57521.52764584136,1313.8059275177752,12489.917969218495,3466.3103670416167,-7693.022800781851,-84.97181317961821,-611.192547159763,119.12486085387738,-4145.558681991402,586.7484582299629,495.14032948986693,-518.4012810964713,13.105978920463022,67.2703773143392,-684.7387709021053,-7229.900262764505,-493.28942788632406,-7567.119640977349,-494.29446337599444,-7006.063378748697,523.0906426110932,537.7179810116697,525.8621819690169
betaF0,-6783.69402276892,5348.31440822721,47325.5282783132,32202.392728568448,-43039.355071823105,-40652.851164795065,1131.5836660165323,4260.075762154007,2373.1543683071222,-2126.285778145127,-23.949666444709795,-261.7566256368298,38.03862645052242,-2087.9323404962943,314.7142114103578,278.41365504523753,-309.7519285621447,7.5831409732403925,39.784952133903886,-401.1992569286191,-4232.262395876645,-295.4656625698904,-4499.050295472028,-298.3876151015208,-4216.712464781032,319.73218189004854,337.0799717315117,339.7589372532172
qEG,68884.55618365857,-43914.971003579834,-82308.58509706342,-43039.355071823105,180202.72698675908,62797.36092085032,-3717.099518883993,-48044.12847724658,-2793.3364787391893,-25477.87087021277,-398.67497899577955,1533.0039081951602,-449.10448723592395,8008.084236554425,-931.6526293131878,172.84001349022859,630.4303382092828,-15.052259302959532,-81.71445545340327,1158.005872722916,11571.363509134975,817.202525935429,12088.799492723836,848.2782346646396,11606.132950794054,-773.965110376726,-792.6236428349946,-808.4418143084808
qEF,72992.21079837304,-53171.56408200545,-57521.52764584136,-40652.851164795065,62797.36092085032,132979.43312806264,-20189.974792462013,-53623.22490252144,-2336.432602898061,-340.18809508661076,-5.617878403227611,1339.3117321171862,-636.1144030863765,6939.783229536832,-926.398727583595,93.57947055132067,695.455173200862,-10.608893955637626,-85.40289142876003,1073.9059611796713,10811.81189997168,793.7863051900965,11691.54239629509,826.021545766486,11339.05851554243,-765.8007568802182,-820.9371647526978,-856.0507241535154
iG,-14454.822072844754,10143.43351054185,1313.8059275177752,1131.5836660165323,-3717.099518883993,-20189.974792462013,5326.48356290797,10793.577958823014,-65.05210976205343,712.420751122581,7.609784777006778,-235.03806234092917,90.94206928575304,-1011.1192226182504,105.84942629075125,-119.79568471590797,-43.81491727838399,0.2544441534460498,5.3260394951231325,-122.50965619136387,-1201.1485676095735,-84.88769361635048,-1258.61310984104,-91.56776070978712,-1256.0920880908448,70.33231662244873,71.88652779842056,76.92611783687262
iE,-67424.70006159085,46270.93460358865,12489.917969218495,4260.075762154007,-48044.12847724658,-53623.22490252144,10793.577958823014,50765.30109761799,-323.0779710287767,-7608.936521505657,-82.47910234096653,-1057.609575368251,581.5460555270452,-4654.1753222760035,571.065005015113,-397.62358405923385,-342.65478839355393,3.549123247937189,40.75602547439694,-658.4946698122692,-6862.888873323647,-499.53456156600475,-7624.545820034931,-529.3007658444317,-7573.877106726974,466.5164099423929,515.7516269821442,553.5924714316976
Kd0,365.1433806816405,-234.8007078398011,3466.3103670416167,2373.1543683071222,-2793.3364787391893,-2336.432602898061,-65.05210976205343,-323.0779710287767,1386.7300624873822,-30.084274124844136,-0.43827778007720436,63.71354609052557,-92.41359699870969,-130.44570113152153,-0.5163166388997388,-331.5000513826122,-20.50570604612252,0.34107680000780594,2.8078424765373393,-17.195666081098803,-188.92527950287564,-13.777124325012558,-217.39645140825752,-14.460474572793448,-215.79946877275017,16.497256965068345,18.425304156408302,19.26414258685493
gammaG0,10539.097752904936,-5987.022228596582,-7693.022800781851,-2126.285778145127,-25477.87087021277,-340.18809508661076,712.420751122581,-7608.936521505657,-30.084274124844136,49311.78806650334,652.1928798927433,-0.0206015708513182,0.0296058875498121,-0.2359574988162576,0.0392156962106271,0.0093807094947264,-0.0546513117528206,0.002874045191624338,0.006403247445032306,-0.005742493297057001,-0.4631426759150364,-0.005068556279653899,-0.5327154904833528,-0.0052189361611463,-0.5252052478095744,0.035454414945269394,0.0420672225513746,0.044414424524530496
gammaF0,110.29415251328211,-62.55237941026728,-84.97181317961821,-23.949666444709795,-398.67497899577955,-5.617878403227611,7.609784777006778,-82.47910234096653,-0.43827778007720436,652.1928798927433,9.595640795222616,-0.0016299579315703998,0.0015981653734534848,-0.005575647229687738,0.0008973021518776859,0.00012875288204713297,-0.0006859460239690869,5.1367497832082364e-06,7.747114751534162e-05,-0.001074098918112544,-0.0077385527312183655,-0.0008436623156647866,-0.008735822836340616,-0.0008728691010527094,-0.008519028026066428,0.0006018872203245737,0.0006723064855366277,0.0007178913542259167
kPyrS,-316.3477767742943,462.6572476203068,-611.192547159763,-261.7566256368298,1533.0039081951602,1339.3117321171862,-235.03806234092917,-1057.609575368251,63.71354609052557,-0.0206015708513182,-0.0016299579315703998,9199.607008446437,-7195.448729827906,354.5817777241085,-99.40974789707165,2.5064163424086003,-1251.0627588262873,28.695896617796762,168.49018308726275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrD,922.5561728740297,-840.5320525205423,119.12486085387738,38.03862645052242,-449.10448723592395,-636.1144030863765,90.94206928575304,581.5460555270452,-92.41359699870969,0.0296058875498121,0.0015981653734534848,-7195.448729827906,7487.129449361453,-264.3474413170205,95.49268241456717,-1.091501377065946,1560.2161313130255,-37.86215946248752,-209.04836684499264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
