,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,5903.452948904372,-2691.486021209815,-265.2306995661399,102.90643934865153,2425.6989220089495,3528.996571932128,-697.1414177908534,-2716.4973699054362,0.0,470.5684921187369,6.195421725277986,54.79003581647187,-7.917062412972804,2.916574567057188,604.2892133708203,-2.38496795037587,-32.73515269485827,56.42236377475925,-0.021549700547082065,84.3775410482116,-11.274586793876711,-16.220086951634695,128.46155488775352,678.5977441921026,99.15049570926055,758.2199344950997,101.00879233753585,731.0874157171697,-43.47763392909974,-52.5272881773972,-62.69434077056195
qN,-2691.486021209815,2577.568245550966,11.706281405885193,-130.95087768390806,-1017.6100553122941,-2006.7234252180742,395.3286125253016,1534.8761700367,0.0,-256.7799884833759,-3.4806001181818216,-26.69978492296,4.561538036378509,-2.102175448836648,-407.3068336853637,1.754912982445953,22.219813091782527,-39.253788631081896,0.013807438180292696,-38.93870105369995,5.700438551965017,7.685211012174888,-24.824504082169472,-184.25098089426282,-11.642961764677613,-149.48679592073916,-12.439078639442613,-149.9135646739778,12.915302584208353,12.03904104207942,15.09047856902515
betaG0,-265.2306995661399,11.706281405885193,2879.1731414828982,1885.5635969893806,-2672.4552574242343,-1836.147354669442,-26.169656329784672,74.49181285269887,0.0,-314.9033392770492,-4.253130321951196,-78.5935034966268,28.30207482130042,-1.3936902628701275,-281.7992870127733,1.14825338756222,18.306057647957072,13.986097356286471,-0.00549012880838437,-12.30521727112017,2.0975104629970724,2.6885480392362737,-53.87061501968664,-304.22866615957423,-39.49109887631284,-322.50302770362515,-39.68663740640781,-305.2588917210955,20.178461138681097,23.158677811164914,26.973761799074275
betaF0,102.90643934865153,-130.95087768390806,1885.5635969893806,1336.2547251893288,-1513.625167095697,-1392.5851520356937,4.020637720412079,-83.23709851248384,0.0,-79.07396637073627,-1.0653223015530229,-41.58086706944823,16.11282859547271,-0.7504488268421668,-145.52014429083644,0.630486792069514,9.542632592150355,8.826881106988914,-0.0033697273394324347,-6.586336604668762,1.1440130440492655,1.4577951563528464,-29.88691056069191,-180.39012677512676,-22.294504350911144,-195.08050790246688,-22.606677797886306,-187.40739641402212,12.427877777039521,14.669044263699325,17.523744931446828
qEG,2425.6989220089495,-1017.6100553122941,-2672.4552574242343,-1513.625167095697,5242.280373546074,2093.2885364376916,-96.49893384743542,-1033.8591442568224,0.0,-619.914474834967,-9.133668144090066,150.1496220719136,-46.560845099092475,2.5835052133256555,565.2577995808517,-2.0631736563565704,-34.56963021997101,-0.8639233442579676,0.00010414822982261894,21.612008961181882,-3.584604021971506,-4.635370008036544,93.90126018973183,463.19517615379357,66.45159004979978,473.23963272058575,68.19142373132942,457.2707428820946,-29.515358743205333,-32.56340854813413,-39.064264858234296
qEF,3528.996571932128,-2006.7234252180742,-1836.147354669442,-1392.5851520356937,2093.2885364376916,5140.933473410457,-732.7538472312483,-1757.4283453267317,0.0,-3.0460686920790607,-0.0471989304796111,162.63333164093518,-61.15497395075761,2.923307160930643,578.3087208636283,-2.4446277780517076,-35.175462770450345,0.5110732563307694,-0.00024581890353130167,22.94144901611207,-3.974521684569195,-5.067425209756324,99.76525623396144,578.617008950442,73.58509977813442,621.1998377473207,74.95421825157617,599.1082008249483,-38.767805600505525,-45.34846112132158,-54.182817658693125
iG,-697.1414177908534,395.3286125253016,-26.169656329784672,4.020637720412079,-96.49893384743542,-732.7538472312483,152.35235208206743,342.66171937011404,0.0,18.00887052956407,0.23957645688261986,-22.656534243766735,7.4319771292650305,-0.39628802804723084,-84.54828658369551,0.32255233184442456,4.9504092854072415,-2.3846497503330246,0.0009654178771657205,-3.0466776405111764,0.5147149966800272,0.6617108650803354,-12.363648229534302,-61.60233133871402,-8.61510113552507,-62.261028288463,-8.870080222136268,-60.28542238973692,3.9406756549521123,4.311627227546421,5.166591797165766
iE,-2716.4973699054362,1534.8761700367,74.49181285269887,-83.23709851248384,-1033.8591442568224,-1757.4283453267317,342.66171937011404,1355.7327383030258,0.0,-234.47175060916373,-3.1452662944289873,-86.13925879911747,31.860068792611283,-1.539434318256519,-307.14747971483996,1.2761344326943564,18.263971877071402,-7.232867868531228,0.0027064821773319972,-11.562404831777192,1.983537182263579,2.535655661782006,-52.76725468731872,-301.4174663893109,-39.49026548094599,-327.29068600730017,-40.220559889512174,-316.0645486660483,19.77777700610864,23.337592094235923,27.911680708777347
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,470.5684921187369,-256.7799884833759,-314.9033392770492,-79.07396637073627,-619.914474834967,-3.0460686920790607,18.00887052956407,-234.47175060916373,0.0,1511.6384798879626,20.898046937308745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
