,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,6120.180532311165,-1387.1240291711076,-245.55415839988615,174.83654236205544,2731.0940168782477,2425.3953384391793,-644.2155499735483,-2642.324050713662,0.0,466.8632461460101,5.327120757125273,-62.02184073154815,139.56106722627638,1.9270092843381963,444.93449066579745,-1.3846502393891311,-11.703777937911083,448.006804174925,-0.10956536429852992,63.92144167264987,-8.731667591429769,-13.412491140988456,139.70195782900436,392.14572095920283,108.04445537451149,440.69530388488687,113.87517121581364,442.1945383456332,-20.53365680399884,-22.919355265200583,-28.174699841984822
qN,-1387.1240291711076,2623.8055512339065,109.20411221696685,-84.27959344752729,-1053.7777151343594,-1067.3098162782487,281.7749362702651,1086.446957451943,0.0,-142.961515852108,-1.5658834831303876,79.47297018087147,-119.95081650112688,-0.8868932509085163,-196.82878034964662,0.5972754097161866,0.21987561164052816,-342.4682850448544,0.07571599408691074,-9.043768657267009,1.4914217684615574,2.0086231061332067,56.123367053279786,305.26690183752027,59.602546387964914,440.77703443168315,58.273097707306995,408.51663500868256,-21.324349877585362,-31.5832591728604,-35.22734679623726
betaG0,-245.55415839988615,109.20411221696685,5412.95074969977,3742.6112605436724,-5294.504565297612,-3642.004050390182,-29.58669408954732,68.23202649389623,0.0,-303.86453797555566,-3.603533060541467,-49.301802518621436,1.4173213964557678,-0.9566581947462535,-212.85653501242027,0.7071976413886149,18.110576737022107,121.28080915431111,-0.02954926733607375,-14.535366549726525,3.7821071595200033,4.499596043792183,-46.98675563542409,-111.23149727453776,-30.053799545893117,-82.83833034941297,-30.458696087372772,-72.24565276137493,5.180168021826831,2.6772995271632185,2.338276821510066
betaF0,174.83654236205544,-84.27959344752729,3742.6112605436724,2731.6637280620903,-3436.0635807273256,-2632.3560227552734,-20.691330687230423,-152.0773647919158,0.0,-80.64688047057716,-0.9411145985048532,-18.671591003850967,-1.6596025983770897,-0.40459602034672926,-87.9659415276187,0.303200191584329,8.548537403615061,80.87687162159189,-0.01876645953508412,-7.5698993383918385,2.1599910546324517,2.5225434216753517,-28.188947434815706,-97.21330497367087,-19.612160140179704,-94.33163522805421,-20.665147597283898,-94.28313372387538,5.805165732459013,5.650619125293843,6.977799435311204
qEG,2731.0940168782477,-1053.7777151343594,-5294.504565297612,-3436.0635807273256,9480.046997281388,3967.950058841499,-119.11210757128453,-1346.3801332574687,0.0,-1677.3636161275103,-27.40874976102962,112.58659303750414,-5.471986806826541,1.993385623937691,477.8189498710643,-1.4146174275005619,-32.479837946667494,-60.31775260537075,0.011232599689914437,21.645259063464973,-4.687984593200507,-5.814310679339893,72.5180227769357,62.306844605964926,40.2526896045594,-24.710714879687316,44.14926554682019,-15.592126850563215,0.3510433817706541,7.728135265052729,8.324180827443836
qEF,2425.3953384391793,-1067.3098162782487,-3642.004050390182,-2632.3560227552734,3967.950058841499,5029.692123359775,-636.6181968464214,-1243.6715469814412,0.0,-38.721392885057455,-0.664476491073812,72.93593142891258,6.9762665297610855,1.5940017273101,352.078192275709,-1.2022937517362136,-23.407271629020364,-31.352918344829472,0.005728446251493487,17.308754346036146,-4.069060892643122,-4.946783611472738,71.68599562988699,168.00962812570842,47.656895125503205,141.0695692925939,51.42315506051001,149.30873075780568,-7.765136185465997,-5.221914109905117,-7.317055333418413
iG,-644.2155499735483,281.7749362702651,-29.58669408954732,-20.691330687230423,-119.11210757128453,-636.6181968464214,181.6804702455495,343.74160478916883,0.0,27.54723132448966,0.3369557868120588,-14.926189741928612,-0.7140266119320285,-0.28246364011909375,-68.61188613859917,0.20076991941842406,3.8295848867897755,-13.139837149668919,0.003722838753880077,-2.2454524040989776,0.3881555177001645,0.5107492332176845,-7.872310335154954,3.49597954591561,-3.941714878257314,15.75717162079783,-4.8003435381562936,11.393467688114736,-0.8699901081247,-1.9252470960874366,-1.9032509123207806
iE,-2642.324050713662,1086.446957451943,68.23202649389623,-152.0773647919158,-1346.3801332574687,-1243.6715469814412,343.74160478916883,1407.910836487977,0.0,-264.8291745216303,-3.096332621466095,-53.80201270816729,-0.09583580603559254,-1.0827295569429665,-241.34615692822516,0.7989716825172137,13.591088578759466,-46.52291305326089,0.012302840363779812,-8.39658669825863,1.4996063583747223,1.9515189271783075,-42.71660326055178,-78.38737371240222,-28.748283006162442,-62.36935317544954,-31.669601135826415,-72.78298352778683,2.6209884961370182,0.8644780043826246,2.138208133697288
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,466.8632461460101,-142.961515852108,-303.86453797555566,-80.64688047057716,-1677.3636161275103,-38.721392885057455,27.54723132448966,-264.8291745216303,0.0,2606.930605880475,38.194062841845366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,5.327120757125273,-1.5658834831303876,-3.603533060541467,-0.9411145985048532,-27.40874976102962,-0.664476491073812,0.3369557868120588,-3.096332621466095,0.0,38.194062841845366,0.5815206107070403,5.390942946775912e-10,-6.29132846390299e-10,5.116839403259528e-11,4.508104689019624e-09,-7.027184641451372e-11,-3.305851348096289e-10,-3.274684659126366e-10,6.666284798583544e-14,3.2897452295121197e-10,-1.2571629022439817e-10,-1.3955317825054162e-10,8.11691892867982e-10,5.068860215926042e-09,6.215610791481879e-10,5.6257724307796094e-09,6.267986828411326e-10,5.393947700859546e-09,-3.5322426830858625e-10,-4.1388300292179047e-10,-4.765731591098721e-10
kPyrS,-62.02184073154815,79.47297018087147,-49.301802518621436,-18.671591003850967,112.58659303750414,72.93593142891258,-14.926189741928612,-53.80201270816729,0.0,0.0,5.390942946775912e-10,376.14613544298277,-214.25956182700054,0.22016385190978516,21.54939961226637,-0.2924021558954798,-1.502178686667278,0.04893658182940585,-1.1520146379197176e-05,-35.99511037698092,8.330027554478512,10.32000334628148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrD,139.56106722627638,-119.95081650112688,1.4173213964557678,-1.6596025983770897,-5.471986806826541,6.9762665297610855,-0.7140266119320285,-0.09583580603559254,0.0,0.0,-6.29132846390299e-10,-214.25956182700054,183.8724521140945,-0.12398061456153268,-11.374432268638001,0.1687473267341955,0.8035232426319592,-0.017261642276416155,3.624476266236169e-06,23.03330354090771,-7.3013020331263885,-8.412125477117343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,1.9270092843381963,-0.8868932509085163,-0.9566581947462535,-0.40459602034672926,1.993385623937691,1.5940017273101,-0.28246364011909375,-1.0827295569429665,0.0,0.0,5.116839403259528e-11,0.22016385190978516,-0.12398061456153268,0.244483709282772,23.994965134573253,-0.32438467091719203,-1.6719590413703818,0.055122956540426704,-1.3020415334009837e-05,1.9220768304955056,-0.6810280544067039,-0.765738525097497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS,444.93449066579745,-196.82878034964662,-212.85653501242027,-87.9659415276187,477.8189498710643,352.078192275709,-68.61188613859917,-241.34615692822516,0.0,0.0,4.508104689019624e-09,21.54939961226637,-11.374432268638001,23.994965134573253,2677.5394928645815,-30.419271494791225,-182.78224201595805,11.479143686740292,-0.003211537245583359,201.98128276726894,-64.91545434280552,-74.29484950998854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-1.3846502393891311,0.5972754097161866,0.7071976413886149,0.303200191584329,-1.4146174275005619,-1.2022937517362136,0.20076991941842406,0.7989716825172137,0.0,0.0,-7.027184641451372e-11,-0.2924021558954798,0.1687473267341955,-0.32438467091719203,-30.419271494791225,0.43801003472415734,2.138942492283805,-0.05414420766222757,1.2000284977145155e-05,-2.4769426260330367,0.9131198194967037,1.0200012994938872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,-11.703777937911083,0.21987561164052816,18.110576737022107,8.548537403615061,-32.479837946667494,-23.407271629020364,3.8295848867897755,13.591088578759466,0.0,0.0,-3.305851348096289e-10,-1.502178686667278,0.8035232426319592,-1.6719590413703818,-182.78224201595805,2.138942492283805,13.280984323927001,16.924265535632358,-0.005034102538600573,-14.755682613614885,4.8205438243893495,5.50135508723662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,448.006804174925,-342.4682850448544,121.28080915431111,80.87687162159189,-60.31775260537075,-31.352918344829472,-13.139837149668919,-46.52291305326089,0.0,0.0,-3.274684659126366e-10,0.04893658182940585,-0.017261642276416155,0.055122956540426704,11.479143686740292,-0.05414420766222757,16.924265535632358,482.21121533512985,-0.1132620316859871,-20.560264630747945,7.361102109634812,8.263551577554292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.10956536429852992,0.07571599408691074,-0.02954926733607375,-0.01876645953508412,0.011232599689914437,0.005728446251493487,0.003722838753880077,0.012302840363779812,0.0,0.0,6.666284798583544e-14,-1.1520146379197176e-05,3.624476266236169e-06,-1.3020415334009837e-05,-0.003211537245583359,1.2000284977145155e-05,-0.005034102538600573,-0.1132620316859871,4.148682520309353e-05,0.005598920467659123,-0.001689600276064673,-0.0019593765661301828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qO2,63.92144167264987,-9.043768657267009,-14.535366549726525,-7.5698993383918385,21.645259063464973,17.308754346036146,-2.2454524040989776,-8.39658669825863,0.0,0.0,3.2897452295121197e-10,-35.99511037698092,23.03330354090771,1.9220768304955056,201.98128276726894,-2.4769426260330367,-14.755682613614885,-20.560264630747945,0.005598920467659123,100.75445809637347,-16.948990241286115,-24.650744838395216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kLaO2,-8.731667591429769,1.4914217684615574,3.7821071595200033,2.1599910546324517,-4.687984593200507,-4.069060892643122,0.3881555177001645,1.4996063583747223,0.0,0.0,-1.2571629022439817e-10,8.330027554478512,-7.3013020331263885,-0.6810280544067039,-64.91545434280552,0.9131198194967037,4.8205438243893495,7.361102109634812,-0.001689600276064673,-16.948990241286115,3.6892246402189297,4.8597641576634345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2sat,-13.412491140988456,2.0086231061332067,4.499596043792183,2.5225434216753517,-5.814310679339893,-4.946783611472738,0.5107492332176845,1.9515189271783075,0.0,0.0,-1.3955317825054162e-10,10.32000334628148,-8.412125477117343,-0.765738525097497,-74.29484950998854,1.0200012994938872,5.50135508723662,8.263551577554292,-0.0019593765661301828,-24.650744838395216,4.8597641576634345,6.671465007262765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
