,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,5852.602980973227,-2647.1935377820837,-316.50383884683566,155.60216120215358,3041.472135994883,2837.142488442898,-706.2121867448219,-2874.6058181450485,0.0,490.35603800270013,5.846343597066762,-68.41695837826092,140.71218752637776,2.128849997593482,482.87711142696486,-1.553053363134635,-14.944216145547166,390.6310628003875,-0.06798839607838784,74.93032871624243,-10.377983869708308,-15.165141671070968,127.18533055767546,534.145388048005,99.35388994613376,599.6941082787275,103.17483240454061,588.1548063982509,-26.66962012052129,-30.721925193356054,-36.425772776161004
qN,-2647.1935377820837,2474.8496065493305,110.17535881872676,-123.21745703139801,-1446.0990265419182,-1519.5945586688788,380.238781854475,1508.857093956305,0.0,-227.55354963348736,-2.6662192927526642,84.42452305906609,-126.29307652207959,-1.3416801811679895,-287.530854707859,0.9794968031316962,5.760300908296851,-320.8590561821814,0.05172176214832975,-26.14216454636529,4.314957802132274,5.75791272571706,24.98294228706535,206.5108010361778,32.50599269272517,338.9590654401985,31.444347672997125,313.3866183291457,-14.26953310538365,-23.488947081934143,-25.78516099763369
betaG0,-316.50383884683566,110.17535881872676,5633.222415328681,3901.989295188232,-5538.546222383045,-3794.0261317545073,-27.968412631242582,100.07218752435111,0.0,-331.25564774799517,-4.0781189629701435,-51.87615511321423,0.41697003797533655,-1.1190775081233701,-240.9452673472056,0.8468174184131574,19.942292063672408,106.81846515877037,-0.018562393921398145,-16.230765315555356,4.146719975840212,4.9110048857150534,-52.028423650184855,-228.14596253679665,-36.34792450360137,-216.34174174908367,-36.437988107559725,-196.25723900182126,11.527193213018652,10.726446475083828,11.385297551686584
betaF0,155.60216120215358,-123.21745703139801,3901.989295188232,2843.0806157498605,-3568.954738599623,-2750.813862363543,-16.663715340681115,-147.6142983135609,0.0,-90.21839990368956,-1.1008635083277478,-20.51559854850367,-2.446439547112966,-0.5067405549740042,-106.13566437828308,0.3905224787686424,9.747019137233748,71.83765683499529,-0.011973062743266646,-8.657773125119917,2.397523849930865,2.795411040095249,-29.15161046567265,-152.66386074898142,-21.099396261899482,-156.0131002015674,-21.64163855742096,-149.9119042573199,8.564975703994651,9.034793487578154,10.473348426120962
qEG,3041.472135994883,-1446.0990265419182,-5538.546222383045,-3568.954738599623,10019.62162606311,4228.564647986454,-143.104219420719,-1505.41368907301,0.0,-1731.3076650216904,-28.304150320809676,119.98534739108476,-5.040080629400561,2.33105894097097,538.5945069145931,-1.7005754410594118,-36.33721226971582,-48.58567846066705,0.006234670260252841,25.092636295180927,-5.444970322152212,-6.680804405512349,87.3970461379529,273.8684954524342,57.12714662906451,213.66324868809983,59.60805942724309,205.6777309628292,-11.340027012987674,-6.865271663120194,-8.110694600603496
qEF,2837.142488442898,-1519.5945586688788,-3794.0261317545073,-2750.813862363543,4228.564647986454,5674.734918095489,-723.9279622098711,-1507.3141502189565,0.0,-37.13934575858759,-0.6382086930376158,77.63190822434917,12.169536140879261,1.9254822065762967,416.3198041308918,-1.4646510028000335,-27.434587369013915,-20.215561558566097,0.002451022201129899,21.17167380866978,-5.0050202001039885,-6.022126891398509,77.55608963279937,320.8333730765868,54.434305796923724,308.71743137262183,56.756744876088604,302.63475707041437,-15.70860895166559,-14.880842674320972,-17.766937940249605
iG,-706.2121867448219,380.238781854475,-27.968412631242582,-16.663715340681115,-143.104219420719,-723.9279622098711,188.4206572583628,383.0333733157912,0.0,26.95930350855638,0.3412611864596075,-15.041007134394194,-1.3725105947111393,-0.3234117444667381,-75.73457077162202,0.23521450843227315,4.280376209314989,-12.671417233982645,0.002504959460898691,-2.7563412766196884,0.522034350671957,0.6619031402651692,-9.594785195712833,-19.819090011382805,-5.943820785770908,-9.943091109591048,-6.497581436707512,-12.009459337074913,0.4516328329917462,-0.309349770971851,-0.12594902815231035
iE,-2874.6058181450485,1508.857093956305,100.07218752435111,-147.6142983135609,-1505.41368907301,-1507.3141502189565,383.0333733157912,1582.3596653363516,0.0,-282.44174887128514,-3.448832940497285,-55.791251799390494,-1.9442022379604926,-1.2753699929203737,-273.0251618344912,0.9695820675396857,15.716983546346881,-44.86640323927809,0.008231287008939096,-10.590267972686668,2.0889641164794375,2.617840797955191,-49.78019852611381,-200.85110074190445,-36.44262957436337,-205.41695763988338,-38.295690510949036,-205.55789141246524,9.39465817420378,9.530059824177858,11.71854737372445
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,490.35603800270013,-227.55354963348736,-331.25564774799517,-90.21839990368956,-1731.3076650216904,-37.13934575858759,26.95930350855638,-282.44174887128514,0.0,2740.306414211799,40.52833748401334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
