,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,13597.090530830175,-7226.655744461228,-743.4665316912027,311.2782418482949,9227.727976897591,4404.591998494363,-1459.2673607331758,-6587.869635305229,-17.548083042493033,1164.3293928238584,11.410418247132286,158.38357041905738,-66.15976836168097,5.086440439327768,796.6908197541304,-0.5103419114388138,-76.62312048069417,104.77034043532613,-0.0016966752110098638,358.13663999205363,40.303432729058194,-37.53677868044039,226.5570176569436,1223.7317580594088,182.40758890907057,1414.0071251681757,194.66983863901297,1414.7867844191326,-83.65820294382519,-87.52295744835365,-88.70154060555737
qN,-7226.655744461228,5681.18646971988,184.39439438374035,-337.2333451605985,-5083.896895578375,-2588.0316090413753,886.599605887372,4020.243054788322,13.990965165174778,-688.4520239356106,-6.892082928118969,-96.9051920145273,45.90178188479173,-3.6426048997930027,-535.7445457082242,0.3792084587552631,55.98065557225588,-70.61321305672445,0.0010550065714860222,-107.82826507647405,-11.131862345381005,10.752408294636036,-55.67135250158123,-429.4779813607956,-33.65192548557646,-415.3086543314266,-37.79578480203484,-428.19270124843365,31.420003625640835,28.365319295382516,29.30451796985644
betaG0,-743.4665316912027,184.39439438374035,4892.971508113404,2235.96849864704,-4968.680717828838,-1946.5336130690694,-123.78954720837274,297.8296776564278,-4.83945235104899,-620.2604505649136,-6.164170483355929,-130.94138327379727,66.50717124022474,-2.901884645260221,-428.21993309647195,0.304381294367734,55.181364120058916,20.093354365459867,-0.00034812629334712543,-5.351705145904572,-0.32596088238155463,0.45949879871337235,-94.27736770165389,-566.5406892156791,-71.43664510171237,-616.6547603288789,-74.76603574217478,-602.2005819089384,40.300364686302224,39.235076581387084,37.70097988658448
betaF0,311.2782418482949,-337.2333451605985,2235.96849864704,1090.4241969291168,-1703.4443257430257,-913.7361245982006,-59.38301220462061,-218.659563168848,-6.511667764230065,-174.6155813724581,-1.7405058348998832,-48.566172854087824,25.08222952746764,-1.0861863949662827,-158.29133157779788,0.1150172939244399,20.902480901886857,9.06609812220858,-0.00015318124333213532,-2.0679145058364368,-0.12569755587427692,0.17751231070345777,-36.84286993203103,-227.05861840412607,-27.90352818713579,-246.6648389705315,-29.060156775225774,-239.7194816247415,16.66640782844632,16.192866980320957,15.49338270226515
qEG,9227.727976897591,-5083.896895578375,-4968.680717828838,-1703.4443257430257,13897.269724723055,2843.4534835319773,-282.5012781524694,-4571.80415863947,-1.8734111524811432,-205.10931514823048,-2.1009426273870786,319.7817153337611,-153.12558541034934,6.935910077839724,1068.7912436291804,-0.7062388612646873,-123.48171229416263,7.7732732998392535,-0.00012248338774568492,11.156449145289097,0.6815210841523006,-0.9576633620882608,208.4705810545267,1167.3809138106571,156.53698804691345,1266.8686495195232,166.90804857090214,1261.392566640038,-82.17942549664846,-80.56574490428918,-80.41106993748605
qEF,4404.591998494363,-2588.0316090413753,-1946.5336130690694,-913.7361245982006,2843.4534835319773,4881.055153955159,-1279.8700963091198,-2273.8861024223893,-7.735029663556999,0.4326801097445062,0.004404971120521971,183.71409075006588,-91.2632744456568,4.011988419122416,603.8971530517131,-0.41584839321805867,-71.75777406760365,3.7826286452219624,-5.828970761585137e-05,6.5494396979784035,0.3979774864868268,-0.5617137710447391,121.17803779035874,707.2483324297918,92.36983115923566,778.0549290546054,98.39919513601006,774.5967708358274,-49.390681451169584,-49.04103207185699,-48.734836298452215
iG,-1459.2673607331758,886.599605887372,-123.78954720837274,-59.38301220462061,-282.5012781524694,-1279.8700963091198,439.5300369888795,758.100862755887,2.9174446651719554,63.46134804568846,0.630081629463289,-43.55718221316084,20.003482514083714,-0.9328474494252755,-147.89871583107848,0.0931468553023672,15.974703060381945,-5.16323793757103,8.710150075832812e-05,-1.38071514826195,-0.08456969853992405,0.11851427594930955,-26.6044960177204,-140.33804138126865,-19.72307142513004,-150.90446716032025,-21.27919653282577,-152.2146232022493,9.529755024913541,9.284485735168564,9.448462038197896
iE,-6587.869635305229,4020.243054788322,297.8296776564278,-218.659563168848,-4571.80415863947,-2273.8861024223893,758.100862755887,3449.6150966358405,14.590743132428658,-592.0531330444555,-5.870955186472799,-147.19355589920917,74.93041966968607,-3.2045786113146857,-475.4389949667109,0.3341067960243618,55.99240728083378,-13.322578583953701,0.00021175055405067158,-4.9258611863780795,-0.2981857190040061,0.42204052221890126,-93.09339623442473,-553.325482760825,-72.86763249656495,-623.8661057209349,-78.20369463367376,-627.293886390121,38.47478588418073,39.460175007835176,40.069753919301036
Kd0,-17.548083042493033,13.990965165174778,-4.83945235104899,-6.511667764230065,-1.8734111524811432,-7.735029663556999,2.9174446651719554,14.590743132428658,5.38024488327351,-1.1480504653453436,-0.01220481429433619,-0.08960483704057719,0.05645839322057622,-0.007771119422426848,-0.9758082029167937,0.0009460284906154018,0.11667305764800535,-0.18881410264898038,2.2536024063404394e-06,-0.0211082877802887,-0.0012307058887917586,0.0018035909867100946,-0.2580244371180908,-1.9648240026910533,-0.2098172364437714,-2.2769017821843534,-0.23006541749658055,-2.316564707796879,-0.051753307367355415,-0.06407459208198422,-0.10641034775664027
gammaG0,1164.3293928238584,-688.4520239356106,-620.2604505649136,-174.6155813724581,-205.10931514823048,0.4326801097445062,63.46134804568846,-592.0531330444555,-1.1480504653453436,2354.075829735162,22.93800587231129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,11.410418247132286,-6.892082928118969,-6.164170483355929,-1.7405058348998832,-2.1009426273870786,0.004404971120521971,0.630081629463289,-5.870955186472799,-0.01220481429433619,22.93800587231129,0.22758875084238936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
