,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,15839.306057699945,-9484.643570801481,-3321.4272945238586,-1264.2812843928582,10439.15987354029,10165.496874558365,-2384.809560712353,-9138.671183576269,30.347328755513963,950.6385303459053,8.668358921298651,-48.157755160025204,145.53081769254362,13.98436118748435,1405.7947701343887,-5.218637440256457,-148.33409373533348,559.7838527200245,-0.004552766377127441,476.74247316603055,32.0384893959691,-55.72942602979969,290.7678161120601,2090.4667233747186,233.6427662862842,2406.883122707602,248.59686852954118,2404.4528074353016,-152.2005011752946,-162.80871081348045,-166.24254856712164
qN,-9484.643570801481,7654.589124023722,2152.164666668933,850.4093457061458,-6034.243764841766,-7166.20068213802,1611.625166967445,6015.153317968305,-41.28053611942724,-519.8150498305627,-4.846251439994518,79.5949495893659,-136.36187182125732,-11.591823059263536,-1090.0152200611699,4.570424982168045,122.01724254959299,-459.64009169153553,0.003426035653950763,-237.06878129805966,-3.8388877445989564,27.316585027329626,-79.46708314706797,-876.1313044503058,-48.00061491485231,-856.6830342970843,-53.59764866292804,-878.6595511645456,68.72697159029093,63.85037500164189,66.50839490698185
betaG0,-3321.4272945238586,2152.164666668933,7334.227415963949,3584.6472404622536,-7238.445256020311,-6639.0233346431905,589.9903497395517,2392.927993513989,341.8533128836191,-519.1374748752545,-4.779290421147601,-110.55206200466276,59.20450458010982,-9.123327382301152,-866.4050503493359,3.593798919431448,138.72431841867098,68.85756020163625,-0.0006971219421703333,-154.38849516468713,1.1968447400170796,17.75791365294132,-164.01251873637165,-1414.784572423782,-123.20253371679067,-1517.7177504382691,-126.34090954999003,-1444.9191710067807,109.41110000861138,108.79464630524718,104.46271222610247
betaF0,-1264.2812843928582,850.4093457061458,3584.6472404622536,1844.8069794708858,-3067.853019660797,-3529.4729310490584,336.5961046866643,982.1919231159761,194.5758685269788,-145.88800153867098,-1.3480114771132072,-46.240766951899566,28.92937972134795,-4.32150179834011,-391.26466365997663,1.8117978855920525,64.40761368426838,31.072207157839266,-0.00030386094623447514,-75.38343575687149,0.6415079695506295,8.708585335557032,-76.29230659515322,-713.1379845629768,-57.60023767421282,-769.6079010606377,-58.923226803578984,-733.577091826928,57.07703552728998,57.31283755628253,55.291485416291
qEG,10439.15987354029,-6034.243764841766,-7238.445256020311,-3067.853019660797,14973.865213661513,7119.259992898541,-914.1909335024399,-6305.451803960085,-225.0288218510785,-131.12155782963802,-1.2244373160562914,231.58010174614316,-92.35580146715446,12.589218351494635,1399.8199085003762,-3.9685141800654677,-187.8750927720669,32.67665934901689,-0.00028339447487712863,166.9213845874062,-0.9304811618819109,-18.988170019988384,266.3381298513503,1871.5572073512108,195.78984736087196,1957.1773842520204,205.52986299305044,1902.4178019002168,-135.21582757952496,-130.15916658866414,-128.25993711333612
qEF,10165.496874558365,-7166.20068213802,-6639.0233346431905,-3529.4729310490584,7119.259992898541,14740.16433971361,-2879.1857451838537,-6998.223121218483,-319.36433779589845,0.23890103606289062,0.0212443116167364,247.69314651706952,-192.41537778213433,15.465861679847585,1421.5748256819593,-6.445274021204168,-217.0746392983794,20.038058083456242,-0.0001582466323028533,223.51491253172927,-1.749555050495305,-25.71946481845585,235.2247921393802,2128.500740180064,181.0262100260829,2359.8214401813248,190.8994855213737,2327.5188172412522,-167.15339378123488,-172.97951228511812,-173.1589164309755
iG,-2384.809560712353,1611.625166967445,589.9903497395517,336.5961046866643,-914.1909335024399,-2879.1857451838537,739.135951958038,1540.8463334853514,20.7624166435886,57.74727653280946,0.5274997281508212,-52.43906501099835,34.970859418119495,-2.5446176260782907,-260.08086872112546,0.9457988873940942,35.05080076354773,-20.070221264846285,0.00018876720405073126,-30.317036192874706,0.1957402225847192,3.4664410084099435,-41.043012470816045,-309.68476785972075,-30.72343228516617,-336.0229981743412,-32.995300339807144,-338.15628940685934,22.97379797034005,23.239897781378225,23.84082378977731
iE,-9138.671183576269,6015.153317968305,2392.927993513989,982.1919231159761,-6305.451803960085,-6998.223121218483,1540.8463334853514,5835.095038383167,21.380865127142112,-536.4717727667949,-4.938117495301304,-179.82146255549432,128.87530433902566,-9.100329558924676,-893.0692590925879,3.4275715567771683,126.83160267801446,-58.28349907781536,0.0005209049279131133,-112.36030409080749,0.6715801445710684,12.78760464431367,-154.81728252468025,-1272.5083965482784,-121.25003383595956,-1435.0840001690399,-129.58538661146696,-1439.364163428595,95.86143426618192,100.84258839320763,103.18080047036312
Kd0,30.347328755513963,-41.28053611942724,341.8533128836191,194.5758685269788,-225.0288218510785,-319.36433779589845,20.7624166435886,21.380865127142112,111.26857952831823,-0.009134970854869945,-0.0011927078747362826,8.058423078741072,-9.465009847156185,-0.4511710584681851,-36.31254699559461,0.21777618826782155,4.03569421635006,-22.01466012556042,0.00013266702246475412,-9.051567756672727,0.12416506087016002,1.0785433945911027,-4.682581235587779,-55.24973947008108,-3.803764762279936,-64.09755327765032,-4.06152982279122,-64.27892755586096,4.611832985006398,5.013697478934841,5.0901551370979385
gammaG0,950.6385303459053,-519.8150498305627,-519.1374748752545,-145.88800153867098,-131.12155782963802,0.23890103606289062,57.74727653280946,-536.4717727667949,-0.009134970854869945,1961.3109403608682,17.91627023152654,-0.0010052628578394373,0.000843510227044546,-2.6648368891890006e-05,-0.0028078709192258925,7.16076824550993e-06,0.0005888858978931341,0.001738140026616484,-1.2116077740637813e-08,-0.0004207486515011369,-3.729083358578491e-06,4.286471877550509e-05,-0.0006163751671044821,-0.004788873211253642,-0.0004968978125368563,-0.005510037053838963,-0.0005249265125852507,-0.005455071482980075,0.000345820852879185,0.00036953856100355555,0.00037515987489357525
