candidate,family,medium,horizon_h,status,error,new_logdet,new_min_eigenvalue,new_max_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace,new_trace_inv,new_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_sN,var_reduction_sN,var_ratio_qN,var_reduction_qN,var_ratio_qXG,var_reduction_qXG,var_ratio_qXF,var_reduction_qXF,var_ratio_betaG0,var_reduction_betaG0,var_ratio_sG,var_reduction_sG,var_ratio_betaF0,var_reduction_betaF0,var_ratio_sF,var_reduction_sF,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_m0,var_reduction_m0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,weak_mean_var_reduction,weak_worst_var_reduction
synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,ok,,38.35422956285873,8.853543275572102e-05,17888.674220650995,4.949245073372412e-09,202051016.9076353,30343.571187275527,11113.31497333975,16,96.59331361869204,0.03591474387018439,148369.02371748805,2.420636260205517e-07,4131145.254822788,304622.4049684112,28.96987453875984,17,0.8921556943216856,0.10784430567831438,0.9191478730849688,0.08085212691503119,0.8833813895796311,0.11661861042036892,0.7708608291775602,0.22913917082243984,0.8042710080054911,0.19572899199450888,0.5621652361358102,0.43783476386418985,0.6310392610318329,0.36896073896816706,0.1649614351233941,0.8350385648766059,0.4097394661459032,0.5902605338540968,0.9243600471165551,0.07563995288344494,0.6171343813279542,0.3828656186720458,0.33023336641844675,0.6697666335815533,0.5776290128037193,0.42237098719628074,0.9120245684588725,0.08797543154112752,0.7107349541889724,0.28926504581102763,0.616655680383423,0.383344319616577,0.4446875331340437,0.5553124668659564,0.3203209813585213,0.08085212691503119
synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,ok,,40.65173059438492,0.00041293555776456963,13776.552580336125,2.997379463088397e-08,33362475.866490204,30703.844858875564,2576.4167280442116,17,96.20532201532798,0.06436899362686875,143710.5586366708,4.479071978949474e-07,2232605.335881521,304982.67864001123,16.772088718232016,17,0.9116114116889109,0.08838858831108909,0.9337051948497894,0.06629480515021058,0.9038052703375022,0.09619472966249776,0.8152354665133936,0.18476453348660637,0.6685684324625826,0.3314315675374174,0.5138207286223402,0.4861792713776598,0.7555220670820749,0.24447793291792508,0.3207382240520162,0.6792617759479838,0.39748811240126614,0.6025118875987339,0.8482842563347428,0.1517157436652572,0.6167357760658384,0.3832642239341616,0.5440527961598232,0.45594720384017684,0.7974452871410431,0.20255471285895688,0.7747339463030551,0.22526605369694486,0.3962820889546469,0.6037179110453531,0.6635078418115995,0.3364921581884005,0.6709777044945571,0.32902229550544293,0.31265338579859914,0.06629480515021058
synthetic_high_biomass_low_N_maintenance,maintenance,synthetic,216.0,ok,,27.215191316266008,0.0003739902183674472,13294.33460640322,2.8131548470828675e-08,35547278.921989,22463.8161280105,2947.9461036513885,17,94.50065207885226,0.043374642309985605,137684.62276938514,3.1502895121872804e-07,3174311.427985833,296742.6499091462,24.323358488092435,17,0.958962453137251,0.041037546862748964,0.9758180962253532,0.024181903774646796,0.9739559959150635,0.026044004084936456,0.5866952674795755,0.41330473252042454,0.4780237598600048,0.5219762401399952,0.8444282231580409,0.1555717768419591,0.8755949849601572,0.1244050150398428,0.8439730973209909,0.1560269026790091,0.8100669946000978,0.1899330053999022,0.6984770712058816,0.30152292879411835,0.7180756986287863,0.2819243013712137,0.9276290157610635,0.07237098423893651,0.8274193382658129,0.17258066173418707,0.7327270222586504,0.2672729777413496,0.5889046587159754,0.4110953412840246,0.8529339093570593,0.14706609064294074,0.8129664190958164,0.18703358090418365,0.24588495491814977,0.024181903774646796
synthetic_late_ethanol_death_probe,death,synthetic,216.0,ok,,38.63084588423324,0.00018929110327655434,7684.483014337616,2.4632900212464167e-08,40596112.97795958,18925.665467961535,5323.334988597688,17,93.5786043053704,0.02838898365582505,140101.97646320617,2.0263085769729033e-07,4935082.501076401,293204.49924909713,36.45408975728244,17,0.8512083699749287,0.14879163002507134,0.6940817732451086,0.30591822675489144,0.8781004270142047,0.12189957298579535,0.9086942489253995,0.09130575107460048,0.8773619130449326,0.1226380869550674,0.9063836660518633,0.09361633394813673,0.7497987457372934,0.25020125426270656,0.874002846242919,0.12599715375708098,0.8230792946684817,0.17692070533151827,0.9193576005059093,0.08064239949409069,0.8390069300754213,0.16099306992457874,0.9311817606156912,0.06881823938430875,0.7538652399869675,0.24613476001303247,0.6846158759265119,0.31538412407348815,0.8989694839514842,0.10103051604851576,0.9329844930467265,0.06701550695327352,0.9438934481562135,0.056106551843786545,0.1732655483310881,0.056106551843786545
synthetic_viable_biomass_step,biomass_input,synthetic,216.0,ok,,36.067953585427766,8.629016500486974e-05,13196.200373303012,6.5390159715550976e-09,152928208.82377836,24592.12700191661,11509.251779117198,16,93.1373855637926,0.029006544064108037,139822.9778816421,2.0745191172127383e-07,4820394.238369661,298870.9607830522,35.86200142420991,17,0.9251962086207125,0.0748037913792875,0.9518753246733893,0.04812467532661069,0.9143494947208494,0.08565050527915063,0.9038353742435814,0.0961646257564186,0.8676249861337512,0.13237501386624884,0.9170781267558392,0.08292187324416078,0.8178356618957544,0.1821643381042456,0.9171186526254677,0.08288134737453234,0.9732507666322916,0.026749233367708403,0.9230724278367567,0.07692757216324331,0.80009518129085,0.19990481870915,0.9505111803491916,0.049488819650808424,0.7821715685620589,0.21782843143794106,0.802237052203161,0.197762947796839,0.8798033812059988,0.12019661879400123,0.8967270056295275,0.10327299437047255,0.8758320015661635,0.12416799843383652,0.12488068772543226,0.026749233367708403
synthetic_ethanol_inhibition_challenge,ethanol_inhibition,synthetic,216.0,ok,,30.552666594777783,9.921064882349148e-06,8430.172135514196,1.1768519933957453e-09,849724524.0793211,20039.416690370286,91712.34046635918,16,93.08781826596666,0.028506955869967977,140861.94863263972,2.0237513499342938e-07,4941318.507495833,294318.250471506,36.50470715729995,17,0.965831396627343,0.034168603372657036,0.9936450353767035,0.006354964623296544,0.9610516709357011,0.0389483290642989,0.8848589676399238,0.11514103236007622,0.8331599501487755,0.16684004985122447,0.9233089667184486,0.07669103328155136,0.9205048669659142,0.07949513303408584,0.8575780379185249,0.14242196208147506,0.890618797500026,0.10938120249997396,0.9137012059696739,0.08629879403032614,0.8091175504466201,0.19088244955337985,0.9483669503753375,0.05163304962466253,0.7822914495135405,0.21770855048645954,0.6622026324946823,0.33779736750531775,0.8952683800669583,0.1047316199330417,0.9335486902475811,0.06645130975241886,0.9445818306689289,0.05541816933107113,0.12593193993769647,0.006354964623296544
synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,ok,,34.2427550315752,6.397476901475165e-06,16366.49859437401,3.9088854983767266e-10,2558273964.3186727,33794.2580728568,120030.8433860755,16,93.0831633035692,0.026863961834602896,148594.46690497606,1.807870938544569e-07,5531368.300023964,308073.09185399243,38.62555106349439,17,0.9469186540463365,0.05308134595366354,0.9855000516729018,0.014499948327098222,0.9372627244007842,0.06273727559921582,0.8637117425471033,0.13628825745289674,0.8393563924909048,0.16064360750909523,0.8395178219386529,0.16048217806134712,0.9293936440716638,0.0706063559283362,0.9255089460078508,0.07449105399214917,0.9548639549712995,0.0451360450287005,0.8497625787336425,0.15023742126635753,0.9007546080671343,0.09924539193286575,0.8954421456267503,0.10455785437324971,0.9260298306599157,0.07397016934008427,0.8915088123571664,0.10849118764283361,0.950012940624901,0.04998705937509895,0.8715348033496036,0.12846519665039635,0.9102571239545253,0.0897428760454747,0.08778307033000154,0.014499948327098222
natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,ok,,29.767742062011894,4.1303429230953455e-05,10771.49007210012,3.834513976662889e-09,260789243.71799597,24408.898991739432,24006.15703640894,16,92.98610556842151,0.034414083938755655,141960.94543787924,2.424193769110599e-07,4125082.7914093905,298687.7327728751,30.469424914728794,17,0.9355735441013758,0.06442645589862417,0.9772255921185501,0.02277440788144991,0.927774730031599,0.07222526996840095,0.844749060429795,0.15525093957020497,0.8216410670460884,0.1783589329539116,0.8339452620413181,0.16605473795868186,0.9166432016171332,0.0833567983828668,0.7909013802413566,0.2090986197586434,0.8016379891323858,0.19836201086761418,0.9199181094449578,0.08008189055504222,0.8822657968643698,0.11773420313563021,0.9292803611883164,0.07071963881168364,0.8522111438849758,0.14778885611502424,0.9124433773239335,0.08755662267606645,0.7418705238722697,0.2581294761277303,0.9254988436664755,0.0745011563335245,0.9213729992627824,0.07862700073721762,0.128470620164561,0.02277440788144991
synthetic_low_yan_ladder,nitrogen_saturation,synthetic,216.0,ok,,20.102818176581884,4.632397453005758e-06,6377.64187543556,7.263495730056792e-10,1376747556.7748165,15478.090007180048,180635.98166269806,16,92.90115142147536,0.027924916177360613,138728.30848107827,2.0129212619333139e-07,4967904.204258582,289756.92378831573,37.01827958163297,17,0.7353421954139365,0.26465780458606347,0.6522934321458146,0.3477065678541854,0.7467781923245386,0.25322180767546143,0.9209852838182713,0.07901471618172873,0.7778771187281749,0.2221228812718251,0.9105332247074476,0.08946677529255243,0.8400948509252036,0.15990514907479636,0.9393018618170741,0.06069813818292591,0.9614660833934138,0.03853391660658623,0.7991763013711842,0.20082369862881577,0.8223430125830519,0.17765698741694813,0.9192851111739034,0.08071488882609656,0.8175087661326589,0.18249123386734112,0.973958292540357,0.02604170745964296,0.9140168310002217,0.08598316899977831,0.9210151571310551,0.07898484286894492,0.9561024762149272,0.043897523785072834,0.12646817079699024,0.02604170745964296
natural_cold_hot_switch,natural_temperature,natural,216.0,ok,,9.159697334017475,8.249999099187656e-19,6475.607775764861,1.2740115499372126e-22,1000000000000.0,17133.741656084476,1017778.5995032076,15,92.59409845393303,0.02702282636836474,138437.1920085831,1.9519918004902414e-07,5122972.339068487,291412.5754372201,38.388195390476675,17,0.8065498159174971,0.19345018408250292,0.9134996014640341,0.08650039853596592,0.786392449974628,0.21360755002537202,0.9363554937141558,0.06364450628584417,0.935073347553524,0.064926652446476,0.9302356866173624,0.06976431338263755,0.8785896080961738,0.12141039190382619,0.9421152964447036,0.0578847035552964,0.9515631098773166,0.048436890122683374,0.9467632971020575,0.05323670289794247,0.8680522301887827,0.13194776981121725,0.9545961950132023,0.04540380498679775,0.8688606217429049,0.1311393782570951,0.9741316453550174,0.025868354644982605,0.9443568553271726,0.05564314467282738,0.9138128581521641,0.08618714184783594,0.896333639589334,0.10366636041066601,0.07874232191282027,0.025868354644982605
