analysis,direction,eigenvalue,relative_eigenvalue
reduced2_hybrid,1,0.9377261264044976,2.2963733335228157e-06
reduced2_hybrid,2,27.126855317812886,6.643025657502712e-05
reduced2_hybrid,3,33.22201270315178,8.135653034430382e-05
reduced2_hybrid,4,34.48850341130503,8.445800678552117e-05
reduced2_hybrid,5,47.126202457171615,0.00011540614214065822
reduced2_hybrid,6,156.88710279911353,0.0003841967810184808
reduced2_hybrid,7,184.6576223055301,0.0004522032902293607
reduced2_hybrid,8,293.87188397056167,0.0007196552797453038
reduced2_hybrid,9,467.3111916605274,0.0011443863285548505
reduced2_hybrid,10,762.2425046411976,0.0018666360166877097
reduced2_hybrid,11,1239.4618173106485,0.003035286087319844
reduced2_hybrid,12,1497.6175542832439,0.003667477015552634
reduced2_hybrid,13,2281.3512239502443,0.00558674219216449
reduced2_hybrid,14,2898.7405754426386,0.007098651056860572
reduced2_hybrid,15,3575.323409720174,0.008755517315361318
reduced2_hybrid,16,10306.440283336384,0.02523917587851212
reduced2_hybrid,17,13227.282876079751,0.032391951995683274
reduced2_hybrid,18,16396.758344914208,0.04015359875260279
reduced2_hybrid,19,17206.108779424827,0.04213559616416214
reduced2_hybrid,20,39738.25219677653,0.09731398123178536
reduced2_hybrid,21,44767.10761470104,0.10962901560556602
reduced2_hybrid,22,45509.25541800953,0.11144644222626254
reduced2_hybrid,23,53166.854505511415,0.13019893919547104
reduced2_hybrid,24,89228.83165114514,0.2185101852400553
reduced2_hybrid,25,108505.3107472203,0.2657158578922241
reduced2_hybrid,26,145937.47754112512,0.3573825260388065
reduced2_hybrid,27,408350.9038863261,1.0
