,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,12996.303894945077,-6641.830381147739,-2035.2776137227925,-415.3929813491422,12063.046861185587,1842.7889967930637,-644.5836386259565,-6695.292513512799,42.237566075511296,1071.083931645568,7.5194524770538,-99.86258650514158,189.787727089224,10.571352917311627,1112.8020879917694,-3.71482013649792,-102.19939771834771,525.7398083323652,-0.006369621823192651,411.687776205556,31.7767546805398,-49.36696758761268,256.16827860031367,1512.7931720668303,202.83150874998228,1726.2466988117826,212.76327254165167,1705.3657735249426,-119.33366906087636,-131.78684395056183,-140.28282300822147
qN,-6641.830381147739,5711.218852362268,1177.8958120832758,166.98975359611467,-7179.706100981463,-834.5973305990142,280.05076811290695,4012.8799040128133,-62.75298834808345,-531.6524812785902,-3.822149864169401,127.36841169997194,-176.1958842526402,-8.298590030730626,-803.9007466107743,3.132362750023402,78.5486430065077,-419.75470776249864,0.004570439680449067,-158.48329966868096,-0.23791983167999736,18.304502389491578,-33.889275613586,-388.68844822021197,-10.414695684402968,-299.67867428642575,-13.312019910055128,-319.0501502891383,32.75818294259624,25.098950760993258,28.62714086142292
betaG0,-2035.2776137227925,1177.8958120832758,8164.436989705223,2647.3059745330784,-9962.783576822283,-1853.9489067279617,-404.4494738580883,1374.0737869238606,442.055773058898,-551.3780439006425,-3.9017944837800553,-60.60129385586207,9.498210904588207,-8.509336883930942,-809.572895406399,3.3873293964520013,124.11430601945911,42.14106442710896,-0.0008114116025686179,-156.45464573095595,1.348715965281816,17.990787022511668,-161.09001662013407,-1276.2500481163434,-117.68385656056164,-1334.9339095927214,-117.35759940366427,-1233.886704026695,112.2591126706402,113.38458734737736,110.49974732286641
betaF0,-415.3929813491422,166.98975359611467,2647.3059745330784,912.912617081035,-2845.833440024567,-814.8868389051247,-50.91681097874358,272.4471102651654,153.763929249266,-123.98747169825903,-0.8785316545410984,-10.936367697219291,-8.059865123471774,-2.6101446671226,-254.24483962063738,0.9956820819083175,38.17267240605607,8.908270306394337,-0.00020338745164038012,-50.21232863313929,0.4212623082797887,5.763017547197568,-55.01570906393494,-430.7108998913577,-40.14637840555842,-448.2978793607241,-40.081554464571234,-413.68136887552924,37.818225680051306,37.95537124742733,36.940028378823
qEG,12063.046861185587,-7179.706100981463,-9962.783576822283,-2845.833440024567,22960.592114365216,2323.5642306920645,322.46733526693225,-7236.413241811779,-475.93362503555255,-72.76391679491387,-0.5266101387240408,283.1798943165777,-154.44099332806238,17.418376464903062,1776.5368215864155,-6.3976603352765595,-245.82486284260912,39.96831037605073,-0.00048065530305381926,247.11921203620366,-1.7385540282129186,-28.160683967344998,326.14337638016724,2289.8913618332886,237.98163551347034,2408.1448596695186,245.81032657460543,2315.9603687453427,-193.78653505688436,-197.13827555530636,-201.6831293386379
qEF,1842.7889967930637,-834.5973305990142,-1853.9489067279617,-814.8868389051247,2323.5642306920645,2141.5302254903363,-656.1432105203862,-966.9024968486303,-73.01092249275703,7.6109236262908455,0.055052139997278586,34.3187107530427,18.038684998125184,2.800692659203867,360.76674165192503,-0.5767464173244097,-43.727062486972294,12.677616872236017,-0.00014229479466371873,41.24361416297462,-0.17172599853841344,-4.627985668949686,83.36413918971832,459.09098094567577,58.36956051289503,444.1357219099366,59.62032555334708,410.5618899714432,-34.78306290898073,-31.340145349066212,-30.43720989362738
iG,-644.5836386259565,280.05076811290695,-404.4494738580883,-50.91681097874358,322.46733526693225,-656.1432105203862,357.08564406391594,300.8748328958157,-36.46024517337392,58.512536077756394,0.41348866311049515,-11.499846764467048,-5.445811976608845,0.00252421807883,-46.6281852401381,-0.2459896777026421,1.0989989177263153,-13.043215279255143,0.00020298664001281032,6.700337845204733,-0.12720450984584816,-0.8073305986214543,-11.565478679060256,15.110749017599973,-6.680647184523343,38.232081449708815,-7.351053813835112,36.18668036183107,-4.0867659353532275,-6.3705903945521065,-6.381391470273299
iE,-6695.292513512799,4012.8799040128133,1374.0737869238606,272.4471102651654,-7236.413241811779,-966.9024968486303,300.8748328958157,3936.675771793453,0.3740903086834315,-584.8328476658404,-4.139767006153121,-140.4022162536488,94.2307251115255,-6.037528974611133,-631.4980318754173,2.061714584041367,84.99277537436755,-32.21866227311077,0.0005207278197902515,-67.72046544886776,0.27927566597190673,7.574350100818151,-118.47076057804759,-797.4439287047979,-90.1695391967291,-878.8273163911765,-95.32305215988617,-876.6682645104969,64.85638672527324,69.38102890218087,74.46058748324107
Kd0,42.237566075511296,-62.75298834808345,442.055773058898,153.763929249266,-475.93362503555255,-73.01092249275703,-36.46024517337392,0.3740903086834315,140.2034850863807,8.709444006068149e-05,0.00010015232139434001,19.595809377421528,-22.611732132104965,-0.613031174131241,-50.68418097547135,0.29088336801954395,4.452547989703691,-40.44623496187414,0.00036096041103443556,-13.915728573638479,0.19408037246089813,1.6519089946856516,-6.554121358316541,-71.21499259895123,-5.22845199330941,-81.62883277309024,-5.4508911474646915,-80.53288159305015,6.751033422744587,7.555037340873465,7.898994554829708
gammaG0,1071.083931645568,-531.6524812785902,-551.3780439006425,-123.98747169825903,-72.76391679491387,7.6109236262908455,58.512536077756394,-584.8328476658404,8.709444006068149e-05,2063.143079599094,14.515027375163369,0.0013221296745215996,-0.0014517285399256647,6.794944705791275e-05,0.005373719129352338,-3.406901349234637e-05,-0.0009479712452365166,-0.000744320021294334,6.829668558645766e-09,0.0010425213706469058,-1.0423151109583857e-05,-0.00012082591639124766,0.000717889853097971,0.007828603884120836,0.0005738516414482337,0.008990902102523055,0.0006002901126610144,0.008897965110316845,-0.0007397295107253902,-0.0008289863470610306,-0.0008676975715870256
